SSB検証 N=16 den=16 M=120  床H⊥/H=3.17e-32  −2π/N=-0.392699
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       160   0.1292   1.0041  -0.392702    2.7e-06
   1       140   0.1827   1.0043  -0.392704    5.1e-06
   2       160   0.1636   1.0020  -0.392701    1.5e-06
   3       160   0.1442   1.0024  -0.392700    1.4e-06
   4       180   0.1336   1.0020  -0.392700    6.2e-07
   5       160   0.1480   1.0035  -0.392701    2.2e-06
   6       160   0.1327   1.0030  -0.392703    3.6e-06
   7       180   0.1296   1.0031  -0.392701    1.4e-06
   8       160   0.1404   1.0031  -0.392703    3.5e-06
   9       160   0.1446   1.0026  -0.392700    1.4e-06
  10       160   0.1266   1.0033  -0.392702    2.6e-06
  11       160   0.1402   1.0034  -0.392701    1.9e-06
  12       140   0.1847   1.0050  -0.392705    5.5e-06
  13       140   0.1874   1.0034  -0.392703    3.8e-06
  14       160   0.1489   1.0029  -0.392701    1.9e-06
  15       160   0.1484   1.0033  -0.392703    3.8e-06
  16       160   0.1465   1.0026  -0.392702    3.0e-06
  17       160   0.1933   1.0021  -0.392700    8.1e-07
  18       160   0.1515   1.0037  -0.392701    2.3e-06
  19       160   0.1850   1.0019  -0.392700    1.0e-06
  20       160   0.1766   1.0024  -0.392701    1.7e-06
  21       160   0.1519   1.0034  -0.392702    2.9e-06
  22       160   0.1880   1.0023  -0.392700    1.4e-06
  23       160   0.1622   1.0024  -0.392701    1.8e-06
  24       160   0.1947   1.0035  -0.392702    2.7e-06
  25       160   0.1621   1.0024  -0.392701    2.0e-06
  26       160   0.1345   1.0047  -0.392703    3.9e-06
  27       160   0.1468   1.0044  -0.392702    3.1e-06
  28       160   0.1399   1.0030  -0.392703    4.1e-06
  29       160   0.1809   1.0024  -0.392700    9.4e-07
  30       160   0.1450   1.0030  -0.392701    1.9e-06
  31       180   0.1311   1.0019  -0.392700    8.4e-07
  32       180   0.1573   1.0021  -0.392700    8.2e-07
  33       160   0.1400   1.0031  -0.392701    2.4e-06
  34       160   0.1482   1.0031  -0.392701    2.4e-06
  35       160   0.1414   1.0035  -0.392701    2.2e-06
  36       160   0.1435   1.0029  -0.392702    2.7e-06
  37       160   0.1533   1.0026  -0.392701    2.1e-06
  38       160   0.1841   1.0017  -0.392700    6.2e-07
  39       140   0.1776   1.0040  -0.392703    4.4e-06
  40       160   0.1528   1.0029  -0.392701    1.7e-06
  41       160   0.1797   1.0021  -0.392700    8.9e-07
  42       160   0.1541   1.0028  -0.392702    2.8e-06
  43       160   0.1595   1.0024  -0.392701    1.9e-06
  44       160   0.1391   1.0037  -0.392702    3.0e-06
  45       160   0.1347   1.0044  -0.392702    2.8e-06
  46       140   0.1707   1.0038  -0.392704    5.3e-06
  47       160   0.1228   1.0027  -0.392702    3.2e-06
  48       160   0.1400   1.0037  -0.392701    2.2e-06
  49       160   0.1448   1.0029  -0.392701    2.3e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=9.5 最大=162.0
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
