step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
4200,4200,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2398518635e-08,1.1839488218e-08,1.1839488218e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,5.5511151231e-16
4250,4250,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1867959035e-08,1.0031819837e-08,1.0031819837e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16
4300,4300,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1910383462e-08,9.0947683466e-09,9.0947683466e-01,nan,nan,4,0.0000000000e+00,3.3306690739e-16,5.5511151231e-16
4350,4350,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2309812709e-08,1.1414075332e-08,1.1414075332e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,7.7715611724e-16
4400,4400,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.1904498287e-09,8.2181387635e-09,8.2181387635e-01,nan,nan,4,0.0000000000e+00,4.4408920985e-16,8.8817841970e-16
4450,4450,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1512335808e-08,1.0192881291e-08,1.0192881291e+00,nan,nan,4,0.0000000000e+00,5.5511151231e-16,9.9920072216e-16
4500,4500,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2564827780e-08,1.0214956323e-08,1.0214956323e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,1.1102230246e-15
4550,4550,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2350059135e-08,9.4983122152e-09,9.4983122152e-01,nan,nan,4,0.0000000000e+00,6.6613381478e-16,9.9920072216e-16
4600,4600,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3861787601e-08,1.2472129565e-08,1.2472129565e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.1102230246e-15
4650,4650,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1679997532e-08,9.6568104363e-09,9.6568104363e-01,nan,nan,4,0.0000000000e+00,9.9920072216e-16,1.3322676296e-15
4667,4667,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1475530600e-08,8.5594576445e-09,8.5594576445e-01,-3.1109652827e-04,8.5594576445e-01,4,0.0000000000e+00,8.8817841970e-16,1.2212453271e-15
4700,4700,0,1e-08,1.0000000000e+00,1.0000000000e+00,8.8527272711e-09,8.4982400029e-09,8.4982400029e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.2212453271e-15
4750,4750,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1224608094e-08,1.0208117522e-08,1.0208117522e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,9.9920072216e-16
4800,4800,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2111152195e-08,9.3700457740e-09,9.3700457740e-01,nan,nan,4,0.0000000000e+00,2.2204460493e-16,9.9920072216e-16
4850,4850,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4301276374e-08,1.1714275298e-08,1.1714275298e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,9.9920072216e-16
4900,4900,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.5051412712e-08,1.2514648875e-08,1.2514648875e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.1102230246e-15
4950,4950,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4845893507e-08,1.0628234269e-08,1.0628234269e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.3322676296e-15
5000,5000,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4616758004e-08,1.2329453041e-08,1.2329453041e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,1.3322676296e-15
5050,5050,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3956189988e-08,1.2823290644e-08,1.2823290644e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,8.8817841970e-16
5100,5100,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.7140038594e-08,1.2319534833e-08,1.2319534833e+00,nan,nan,4,0.0000000000e+00,5.5511151231e-16,6.6613381478e-16
5150,5150,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2559766601e-08,1.7846916573e-08,1.7846916573e+00,nan,nan,4,0.0000000000e+00,7.7715611724e-16,7.7715611724e-16
5167,5167,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.3895973728e-08,1.9691482051e-08,1.9691482051e+00,1.3552021321e-03,1.9691482051e+00,4,0.0000000000e+00,7.7715611724e-16,7.7715611724e-16
5200,5200,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1730852155e-08,1.0530473057e-08,1.0530473057e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,5.5511151231e-16
5250,5250,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3893539771e-08,9.9761036109e-09,9.9761036109e-01,nan,nan,4,0.0000000000e+00,1.1102230246e-16,6.6613381478e-16
5300,5300,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3923881684e-08,1.1907825142e-08,1.1907825142e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,7.7715611724e-16
