source_step,target_step,source_cluster_id,target_cluster_id,source_branch_id,target_branch_id,overlap,relation_type
0,5,0,0,0,0,1.00000000000000000e+00,continuation
0,5,1,2,1,1,9.15972039065647392e-01,continuation
0,5,2,1,2,2,9.15972039065647614e-01,continuation
5,10,0,0,0,0,1.00000000000000000e+00,continuation
5,10,1,1,2,2,9.79463313502434096e-01,continuation
5,10,2,2,1,1,9.79463313502434207e-01,continuation
10,15,0,0,0,0,9.99999999999999445e-01,continuation
10,15,1,1,2,2,9.89673551023544484e-01,continuation
10,15,2,2,1,1,9.89673551023544373e-01,continuation
15,20,0,0,0,0,9.99999999999999667e-01,continuation
15,20,1,2,2,2,8.11133879045654593e-01,continuation
15,20,2,1,1,1,8.11133879045654704e-01,continuation
20,25,0,0,0,0,1.00000000000000022e+00,continuation
20,25,1,1,1,1,8.67748293071942456e-01,continuation
20,25,2,2,2,2,8.67748293071941790e-01,continuation
25,30,0,0,0,0,1.00000000000000000e+00,continuation
25,30,1,1,1,3,6.88730915319246906e-01,ambiguous
25,30,1,2,1,4,3.11269084680753538e-01,ambiguous
25,30,2,1,2,3,3.11269084680753760e-01,ambiguous
25,30,2,2,2,4,6.88730915319246240e-01,ambiguous
30,35,0,0,0,0,1.00000000000000022e+00,continuation
30,35,1,2,3,3,8.51525259400720658e-01,continuation
30,35,2,1,4,4,8.51525259400720547e-01,continuation
35,40,0,0,0,0,1.00000000000000067e+00,continuation
35,40,1,2,4,4,9.59511841502067586e-01,continuation
35,40,2,1,3,3,9.59511841502067919e-01,continuation
40,45,0,0,0,0,1.00000000000000022e+00,continuation
40,45,1,1,3,5,4.73485407879889852e-01,ambiguous
40,45,1,2,3,6,5.26514592120110425e-01,ambiguous
40,45,2,1,4,5,5.26514592120110203e-01,ambiguous
40,45,2,2,4,6,4.73485407879889630e-01,ambiguous
45,50,0,0,0,0,1.00000000000000044e+00,continuation
45,50,1,1,5,7,5.70133526211726083e-01,ambiguous
45,50,1,2,5,8,4.29866473788274028e-01,ambiguous
45,50,2,1,6,7,4.29866473788274028e-01,ambiguous
45,50,2,2,6,8,5.70133526211726194e-01,ambiguous
50,55,0,0,0,0,1.00000000000000067e+00,continuation
50,55,1,2,7,7,9.88720211746332622e-01,continuation
50,55,2,1,8,8,9.88720211746332733e-01,continuation
55,60,0,0,0,0,1.00000000000000044e+00,continuation
55,60,1,1,8,8,9.75521149357415740e-01,continuation
