candidate_step,candidate_label,step,time,relative_time,eps_fro,eps_op,eta4
1365,post_crossing,0,0,-1167,1.51731658413338304e-15,1.20480582953667804e-15,1.15112480824309861e-30
1365,post_crossing,20,20,-1147,5.15929017013226775e-15,5.12332786127335714e-15,1.33091375298117202e-29
1365,post_crossing,40,40,-1127,3.35517094528489171e-14,3.35485360085800975e-14,5.62858603604195586e-28
1365,post_crossing,60,60,-1107,9.34636383293665697e-14,9.34628246161516079e-14,4.36772584488131757e-27
1365,post_crossing,80,80,-1087,1.99878746103282354e-13,1.99874251722693937e-13,1.99757565719102005e-26
1365,post_crossing,100,100,-1067,3.78753372049289342e-13,3.78749884547480901e-13,7.17270584193537037e-26
1365,post_crossing,120,120,-1047,6.74836849938143591e-13,6.74833865767057641e-13,2.27702387017218200e-25
1365,post_crossing,140,140,-1027,1.16061282833031765e-12,1.16061056110573049e-12,6.73511068642449507e-25
1365,post_crossing,160,160,-1007,1.95852951663435963e-12,1.95852563525910233e-12,1.91791893376400949e-24
1365,post_crossing,180,180,-987,3.26388293346321048e-12,3.26387855981396886e-12,5.32646590167620433e-24
1365,post_crossing,200,200,-967,5.40375848138887841e-12,5.40375352978731657e-12,1.46003028625911150e-23
1365,post_crossing,220,220,-947,8.90984730141324989e-12,8.90984180975688831e-12,3.96926894672504821e-23
1365,post_crossing,240,240,-927,1.46507339134508319e-11,1.46507279644318857e-11,1.07322002101369144e-22
1365,post_crossing,260,260,-907,2.40553022888387498e-11,2.40552957310298234e-11,2.89328784103705433e-22
1365,post_crossing,280,280,-887,3.94625709875034882e-11,3.94625638461196606e-11,7.78647254471875448e-22
1365,post_crossing,300,300,-867,6.47008891980937006e-11,6.47008812168746767e-11,2.09310253151199851e-21
1365,post_crossing,320,320,-847,1.06044478871231783e-10,1.06044470302923051e-10,5.62271574953556343e-21
1365,post_crossing,340,340,-827,1.73772289714840472e-10,1.73772280251472143e-10,1.50984043363692192e-20
1365,post_crossing,360,360,-807,2.84723413339826785e-10,2.84723403194204488e-10,4.05337110519409176e-20
1365,post_crossing,380,380,-787,4.66479172087570860e-10,4.66479161087743340e-10,1.08801408995752762e-19
1365,post_crossing,400,400,-767,7.64232464049348905e-10,7.64232451986517991e-10,2.92025629553469548e-19
1365,post_crossing,420,420,-747,1.25201260436363530e-09,1.25201259118467593e-09,7.83767780742706205e-19
1365,post_crossing,440,440,-727,2.05109449068470469e-09,2.05109447646150570e-09,2.10349430485857385e-18
1365,post_crossing,460,460,-707,3.36016023771757081e-09,3.36016022224021629e-09,5.64533841156909928e-18
1365,post_crossing,480,480,-687,5.50468805801556309e-09,5.50468804120333138e-09,1.51507953080295734e-17
1365,post_crossing,500,500,-667,9.01788896377134646e-09,9.01788894555426842e-09,4.06611606814545086e-17
1365,post_crossing,520,520,-647,1.47732772678704671e-08,1.47732772481255484e-08,1.09124860616689103e-16
1365,post_crossing,540,540,-627,2.42018720164792803e-08,2.42018719950780300e-08,2.92865304551021365e-16
1365,post_crossing,560,560,-607,3.96480011384213921e-08,3.96480011152034315e-08,7.85981997136131635e-16
1365,post_crossing,580,580,-587,6.49522075027756176e-08,6.49522074776176141e-08,2.10939462974180987e-15
1365,post_crossing,600,600,-567,1.06406172675446884e-07,1.06406172648176275e-07,5.66113679171850756e-15
1365,post_crossing,620,620,-547,1.74317098529436246e-07,1.74317098499903596e-07,1.51932254198605888e-14
1365,post_crossing,640,640,-527,2.85570538904142901e-07,2.85570538872202506e-07,4.07752663450012909e-14
1365,post_crossing,660,660,-507,4.67828906346516338e-07,4.67828906312037173e-07,1.09431942806688730e-13
1365,post_crossing,680,680,-487,7.66409598571897551e-07,7.66409598534844200e-07,2.93691836391568421e-13
1365,post_crossing,700,700,-467,1.25555305478472801e-06,1.25555305474524421e-06,7.88206736689630951e-13
1365,post_crossing,720,720,-447,2.05688259474945382e-06,2.05688259470806271e-06,2.11538300429162217e-12
1365,post_crossing,740,740,-427,3.36964645530682663e-06,3.36964645526467107e-06,5.67725861688092906e-12
1365,post_crossing,760,760,-407,5.52026272668662016e-06,5.52026272664527563e-06,1.52366502858227955e-11
1365,post_crossing,780,780,-387,9.04348953080308362e-06,9.04348953076089629e-06,4.08923514468724810e-11
1365,post_crossing,800,800,-367,1.48154116986531737e-05,1.48154116985829937e-05,1.09748211900294684e-10
1365,post_crossing,820,820,-347,2.42713339139846433e-05,2.42713339137224426e-05,2.94548824982070415e-10
1365,post_crossing,840,840,-327,3.97628214687734396e-05,3.97628214674993055e-05,7.90540985578774744e-10
1365,post_crossing,860,860,-307,6.51428344790308457e-05,6.51428344729230877e-05,2.12179444198120541e-09
1365,post_crossing,880,880,-287,1.06724900656887358e-04,1.06724900628669641e-04,5.69510221011123597e-09
1365,post_crossing,900,900,-267,1.74856036685492894e-04,1.74856036558181024e-04,1.52873167826792167e-08
1365,post_crossing,920,920,-247,2.86497767717964482e-04,2.86497767150913193e-04,4.10404854536883576e-08
1365,post_crossing,940,940,-227,4.69465659013240753e-04,4.69465656504528114e-04,1.10199002496368190e-07
1365,post_crossing,960,960,-207,7.69404428452717106e-04,7.69404417394722417e-04,2.95991587261326107e-07
1365,post_crossing,980,980,-187,1.26129316095320381e-03,1.26129311231473165e-03,7.95430218933662467e-07
1365,post_crossing,1000,1000,-167,2.06849686811889878e-03,2.06849665457696204e-03,2.13933964670884591e-06
1365,post_crossing,1020,1020,-147,3.39449176586660312e-03,3.39449083062391167e-03,5.76128717426808303e-06
1365,post_crossing,1040,1040,-127,5.57607640749906847e-03,5.57607232997935250e-03,1.55463140511338566e-05
1365,post_crossing,1060,1060,-107,9.17320377557547667e-03,9.17318614763532568e-03,4.20738337541160965e-05
1365,post_crossing,1080,1080,-87,1.51201429394079989e-02,1.51200684910717826e-02,1.14309361254064727e-04
1365,post_crossing,1100,1100,-67,2.49685748363898362e-02,2.49682775640801408e-02,3.11714864680199828e-04
1365,post_crossing,1120,1120,-47,4.11997283906841288e-02,4.11987020533963258e-02,8.48708809733072144e-04
1365,post_crossing,1140,1140,-27,6.71862813159234407e-02,6.71839234320632250e-02,2.25699819853120110e-03
1365,post_crossing,1160,1160,-7,1.04915485923253740e-01,1.04914287573573503e-01,5.50362959325622573e-03
1365,post_crossing,1180,1180,13,1.48213191687307816e-01,1.48202008946495628e-01,1.09835750950693194e-02
1365,post_crossing,1200,1200,33,1.81244169764498364e-01,1.81097335988540969e-01,1.64247245368111493e-02
1365,post_crossing,1220,1220,53,1.93010371810081321e-01,1.92129455546045214e-01,1.86265018131329153e-02
1365,post_crossing,1240,1240,73,1.87971694277820484e-01,1.83782298350099516e-01,1.76666789248372015e-02
1365,post_crossing,1260,1260,93,1.80709925941510391e-01,1.68973894055852197e-01,1.63280386668930785e-02
1365,post_crossing,1280,1280,113,1.72056487841975442e-01,1.55184050496848358e-01,1.48017175042579243e-02
1365,post_crossing,1300,1300,133,1.44407518575353916e-01,1.31292322403350759e-01,1.04267657105455956e-02
1365,post_crossing,1320,1320,153,9.97617859417776059e-02,9.17023315443816905e-02,4.97620696714652731e-03
1365,post_crossing,1340,1340,173,5.34267244738181393e-02,4.96474917548650543e-02,1.42720744400063877e-03
1365,post_crossing,1360,1360,193,9.66012916379369903e-03,9.25253454674833040e-03,4.66590477305887634e-05
1365,post_crossing,1365,1365,198,4.54391601045248274e-16,4.07778659738979965e-16,1.03235863550232074e-31
1365,post_crossing,1380,1380,213,2.46045619413623740e-02,2.42919372577535680e-02,3.02692234163168857e-04
1365,post_crossing,1400,1400,233,5.07487244840102436e-02,5.00956223316307500e-02,1.28771651837699059e-03
1365,post_crossing,1420,1420,253,8.20947694323551497e-02,7.76457299129115069e-02,3.36977558407577579e-03
1365,post_crossing,1440,1440,273,1.26755649579327445e-01,1.15497890214166565e-01,8.03349735013862525e-03
1365,post_crossing,1460,1460,293,1.78086027628069743e-01,1.56433764486699212e-01,1.58573166181728079e-02
1365,post_crossing,1480,1480,313,2.28778405693477377e-01,1.88264473709537805e-01,2.61697794558246530e-02
1365,post_crossing,1500,1500,333,2.80780454476843189e-01,2.20788449478625887e-01,3.94188318081113015e-02
