index,singular_value,relative_to_s1
1,1.49658908258069072e+01,1.00000000000000000e+00
2,1.49384843678316823e+01,9.98168738614077955e-01
3,3.09588510271326722e+00,2.06862734650902297e-01
4,2.84612372848006068e+00,1.90174027166645998e-01
5,2.02409792510940401e+00,1.35247406831211586e-01
6,1.81167088879566562e+00,1.21053327856144297e-01
7,1.13325623858551405e+00,7.57226049405189949e-02
8,1.03530137750546780e+00,6.91773974269686009e-02
9,5.90411456871467788e-01,3.94504719928447656e-02
10,5.66683589727140391e-01,3.78650089274980978e-02
11,4.10012378759955443e-01,2.73964566180676418e-02
12,3.34926234892402308e-01,2.23793049669226279e-02
13,2.94119577540328747e-01,1.96526609049662675e-02
14,2.54103540892668622e-01,1.69788450183330983e-02
15,2.49030087212065293e-01,1.66398439030867699e-02
16,2.12273650306014777e-01,1.41838299354672560e-02
17,1.88705008434574717e-01,1.26090060812935542e-02
18,1.69508139485677167e-01,1.13262980104986768e-02
19,1.51619399908250380e-01,1.01309973240484071e-02
20,1.44213564005494455e-01,9.63614967421887354e-03
