step,time,relative_time,gram_rank,dominant_eigenvalue,q1,q2,q3,q4,rank_q,theta1_deg,theta2_deg,orth_B0,orth_Bdom
0,0,-2011,80,3.89046629980524159e+01,1.41421356237309537e+00,1.41421356237309537e+00,1.32684422215586549e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,8.02193420194092324e-16
5,5,-2006,80,3.89046629980524443e+01,1.41421356237309537e+00,1.41421356237309515e+00,1.05367121277180212e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,4.44499536927757449e-16
10,10,-2001,80,3.89046629980524372e+01,1.41421356237309537e+00,1.41421356237309515e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,2.22166552204097533e-16
15,15,-1996,80,3.89046629980524514e+01,1.41421356237309537e+00,1.41421356237309515e+00,1.89598039874529335e-08,1.24312944667161962e-08,3,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,4.44158920763501197e-16
20,20,-1991,80,3.89046629980524870e+01,1.41421356237309537e+00,1.41421356237309537e+00,1.45827457578542683e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,3.14301622874550273e-16
25,25,-1986,80,3.89046629980524088e+01,1.41421356237309537e+00,1.41421356237309515e+00,1.56234667865077249e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,1.71498692040372088e-17
30,30,-1981,80,3.89046629980523875e+01,1.41421356237309537e+00,1.41421356237309515e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,1.11040851942347565e-16
35,35,-1976,80,3.89046629980524727e+01,1.41421356237309537e+00,1.41421356237309515e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,1.31277748350448986e-17
40,40,-1971,80,3.89046629980523591e+01,1.41421356237309537e+00,1.41421356237309515e+00,1.74497372363345930e-08,5.30105259367617114e-09,3,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,2.23161424518444940e-16
45,45,-1966,80,3.89046629980524514e+01,1.41421356237309537e+00,1.41421356237309492e+00,1.66600046865626344e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,5.55155121240380752e-16
50,50,-1961,80,3.89046629980524656e+01,1.41421356237309515e+00,1.41421356237309492e+00,9.14385357288287415e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,4.96819730424050014e-16,1.58037742935730144e-16
