eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
0,-3.84469635110350350e+00,3.84469635110350350e+00,1.00000000000000000e+00,4.50359962737049700e+15,0,0,1.42308143112144050e-15
9,3.84469635110350350e+00,3.84469635110350350e+00,1.00000000000000000e+00,4.50359962737049700e+15,0,0,2.66764399524454389e-15
1,-1.41066836587503808e+00,1.41066836587503808e+00,3.66912816267050190e-01,1.65242842261774700e+15,1,1,1.42449760288167419e-15
8,1.41066836587503719e+00,1.41066836587503719e+00,3.66912816267049968e-01,1.65242842261774575e+15,1,1,1.38899031056738708e-15
7,1.38781092681974783e+00,1.38781092681974783e+00,3.60967629191683459e-01,1.62565368032047725e+15,2,2,1.41496119994109497e-15
2,-1.38781092681974738e+00,1.38781092681974738e+00,3.60967629191683348e-01,1.62565368032047675e+15,2,2,1.51581510962595109e-15
6,3.03528301134131262e-01,3.03528301134131262e-01,7.89472752632370267e-02,3.55546919457430312e+14,3,3,1.98829444091981675e-15
3,-3.03528301134131206e-01,3.03528301134131206e-01,7.89472752632370128e-02,3.55546919457430250e+14,3,3,1.60562662139508359e-15
4,-1.13192507378373150e-01,1.13192507378373150e-01,2.94412086264978189e-02,1.32591416199632641e+14,4,4,1.53006868873037124e-15
5,1.13192507378372234e-01,1.13192507378372234e-01,2.94412086264975795e-02,1.32591416199631562e+14,4,4,1.51489274717525471e-15
