cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
0,0,3.90000000000000497e+01,9.99999999999999667e-01,1,2,9.99999999999998668e-01,4.51125069153847258e-01,7.96486171980936519e-01,2.02389440454041736e-15,2.63454329004881571e-15
1,2,1.89999721205810879e+01,4.87178772322591214e-01,1,2,1.24799647131615968e-18,9.99966111009406022e-01,6.77768327243117295e-05,1.64089891046487780e-15,1.38252980434502224e-15
2,42,1.89990902689313437e+01,4.87156160741828548e-01,1,2,2.98173947994799980e-19,9.99343395464315831e-01,1.31277794185218066e-03,1.29886245091439562e-15,1.30283075177522869e-15
3,3,1.89970611630600779e+01,4.87104132386155020e-01,1,2,3.58627666531848797e-19,9.99610740675526355e-01,7.78367126125554523e-04,1.46160865641099522e-15,1.40255760689272550e-15
4,5,1.89952579120420246e+01,4.87057895180563916e-01,1,2,4.14362329537366212e-18,9.99563585444310676e-01,8.72638653714178942e-04,1.32411772689578670e-15,1.27940828455722512e-15
5,4,1.89919663091124846e+01,4.86973495105447518e-01,1,2,1.69943653706567626e-18,9.96239750653771572e-01,7.50635921731100490e-03,1.37510965347047033e-15,1.36685487918296633e-15
6,7,1.89897296866279568e+01,4.86916145810972478e-01,1,2,3.87352952227382169e-18,9.99537555663361887e-01,9.24674818511797515e-04,1.10705206990815266e-15,1.07620204739442659e-15
7,6,1.89849662340808329e+01,4.86794006002071844e-01,1,2,4.68650702831008503e-19,9.99747964983136006e-01,5.04006512078145389e-04,1.54043432960627506e-15,1.51340252504365264e-15
8,9,1.89812793948614846e+01,4.86699471663114169e-01,1,2,2.94420158142624916e-19,9.99732964887932507e-01,5.33998916383785958e-04,1.22262256212424471e-15,1.25155350474663381e-15
9,8,1.89761319054702859e+01,4.86567484755647539e-01,1,2,4.37161806181148358e-20,9.99128568811740725e-01,1.74210298420263403e-03,1.32692762852343193e-15,1.28887326949241473e-15
10,10,1.89676540739638924e+01,4.86350104460611832e-01,1,2,3.66325225762132637e-18,9.99558773046979598e-01,8.82259224816658925e-04,1.32460037759670567e-15,1.31631489512191312e-15
11,11,1.89657115426419978e+01,4.86300295965178653e-01,1,2,8.26856866824207859e-18,9.98210645952725573e-01,3.57550630664234259e-03,1.40284611424060307e-15,1.28265072023665069e-15
12,13,1.89592739414604416e+01,4.86135229268215674e-01,1,2,5.68519205020245728e-19,9.98961713068608703e-01,2.07549582303064636e-03,1.45751715125422315e-15,1.23300469263563247e-15
13,14,1.89432572696140866e+01,4.85724545374719374e-01,1,2,1.37467720362617750e-18,9.99454278811087393e-01,1.09114456620928936e-03,1.49379685265428848e-15,1.38358430686063228e-15
14,12,1.89252504953815617e+01,4.85262833214911038e-01,1,2,4.21207432722592347e-18,9.99851047771494916e-01,2.97882270243806301e-04,1.57939868389494789e-15,1.41015930326381413e-15
15,41,1.89058221562221753e+01,4.84764670672362674e-01,1,2,6.21480437152470220e-19,9.99710031814252997e-01,5.79852289945307405e-04,1.00032400122557856e-15,1.23358242779997045e-15
16,15,1.89011710472453345e+01,4.84645411467828302e-01,1,2,6.77378496223438823e-19,9.99937017255292049e-01,1.25961522589748719e-04,1.57965420494070998e-15,1.56546890548499718e-15
17,40,1.88897223993101058e+01,4.84351856392566005e-01,1,2,7.94832908048520596e-19,9.98935947295746307e-01,2.12697320034993271e-03,1.62136173872212389e-15,1.52475673991500926e-15
18,17,1.88730090965480848e+01,4.83923310167898801e-01,1,2,1.25495906043696688e-18,9.99844706605037770e-01,3.10562673885953183e-04,1.57257703366635939e-15,1.50361720684946139e-15
