cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
0,0,3.89046629980524443e+01,1.00000000000000000e+00,1,2,1.00000000000000044e+00,0.00000000000000000e+00,1.00000000000000044e+00,3.20631672088160906e-15,3.23619868573692965e-15
1,1,1.89988486573636131e+01,4.88343740654293534e-01,1,2,3.30063015066823149e-31,1.00000000000000000e+00,4.22554616744775910e-32,1.50245334918572059e-15,1.48294113812510816e-15
2,2,1.89983063567652479e+01,4.88329801435789246e-01,1,2,3.39875442405368653e-32,1.00000000000000000e+00,1.55958679308622783e-31,2.04720780566218601e-15,1.89713648767223017e-15
3,3,1.89955489399320783e+01,4.88258925180330927e-01,1,2,5.04879525655575445e-32,1.00000000000000000e+00,6.88201414546829511e-33,1.46107762166948221e-15,1.46385135483396299e-15
4,4,1.89892049708844510e+01,4.88095860689888139e-01,1,2,3.24857738002285896e-32,1.00000000000000000e+00,4.54577191229220608e-32,1.57827053832502644e-15,1.55923256532467644e-15
5,5,1.89870587464275467e+01,4.88040694437528788e-01,1,2,1.72442952395572065e-31,1.00000000000000000e+00,1.11140012604352222e-32,1.37592167017730869e-15,1.37443440555195703e-15
6,6,1.89829504791079273e+01,4.87935096110669486e-01,1,2,5.24043022309856006e-32,1.00000000000000000e+00,7.79489418777152062e-33,1.00168817330087708e-15,9.69032183656243577e-16
7,7,1.89822185365402092e+01,4.87916282361588738e-01,1,2,9.57421340835139608e-33,1.00000000000000000e+00,1.05644825661877339e-31,1.39148623277726621e-15,1.36856672691383401e-15
8,8,1.89695961476963220e+01,4.87591838249464726e-01,1,2,1.55924717698721149e-31,1.00000000000000000e+00,5.22771882561568666e-33,1.58532295603252560e-15,1.59107976882912320e-15
9,9,1.89607336177271648e+01,4.87364037022408714e-01,1,2,1.42958591831185022e-31,1.00000000000000000e+00,8.08510232362295524e-32,1.52337333229233467e-15,1.55092334138666971e-15
10,10,1.89560637679548449e+01,4.87244003858966213e-01,1,2,1.71713752107454721e-31,1.00000000000000000e+00,1.66301708114386819e-31,1.66530020873366863e-15,1.66530020873366863e-15
11,11,1.89470764470114474e+01,4.87012995022214512e-01,1,2,3.23941792804125279e-32,1.00000000000000000e+00,8.87048962135909061e-33,1.13158519208191377e-15,1.07661001096399350e-15
12,12,1.89455495154251068e+01,4.86973746986923250e-01,1,2,4.87352434687075029e-32,1.00000000000000000e+00,1.17073534549908669e-31,1.45452476893652532e-15,1.44670976595252532e-15
13,13,1.89318098431180744e+01,4.86620584377399579e-01,1,2,4.77149684449338973e-31,1.00000000000000000e+00,2.71009196152161427e-32,1.54129248397062052e-15,1.51790097400846564e-15
14,14,1.89275406456332398e+01,4.86510849524149525e-01,1,2,2.92766977323707644e-31,1.00000000000000000e+00,2.83835077000416705e-32,1.24288961426900957e-15,1.26046007583406437e-15
15,15,1.89166372221159520e+01,4.86230589455637074e-01,1,2,2.09879720322367948e-31,1.00000000000000000e+00,1.85619815346027574e-32,1.41141607575595425e-15,1.25959545428487415e-15
16,16,1.89003210414928802e+01,4.85811200637800811e-01,1,2,8.02063305453062802e-33,1.00000000000000000e+00,1.56361259672448667e-31,1.52998782430745333e-15,1.52062810339218252e-15
17,17,1.88915747300398493e+01,4.85586386675179671e-01,1,2,2.33791309023320243e-31,1.00000000000000000e+00,1.95338399563187506e-31,1.56305950330109544e-15,1.49684053054904875e-15
18,18,1.88530211005524393e+01,4.84595409591292825e-01,1,2,2.65413470633886643e-31,1.00000000000000000e+00,1.05271707084028465e-34,1.39447625511200308e-15,1.37703800661785802e-15
19,19,1.88235022406022416e+01,4.83836660956156850e-01,1,2,2.52344406726049052e-31,1.00000000000000000e+00,1.75853923628127045e-31,1.51957493380238949e-15,1.53431738410129212e-15
20,20,1.88205061505865423e+01,4.83759649878696851e-01,1,2,1.56197432388111876e-31,1.00000000000000000e+00,6.59111799080486957e-33,1.42545081407136277e-15,1.46550402657903735e-15
21,21,1.87754575480064538e+01,4.82601726917576634e-01,1,2,1.15427338640576248e-31,1.00000000000000000e+00,4.19887328097943347e-31,1.77104475606954453e-15,1.79984234564454477e-15
22,22,1.87634632657402030e+01,4.82293427568810884e-01,1,2,1.97065515344732159e-31,1.00000000000000000e+00,1.08283269435642863e-32,1.60936306941943942e-15,1.60616782995478192e-15
23,23,1.87314537318249670e+01,4.81470658999479273e-01,1,2,2.45098847626676691e-31,1.00000000000000000e+00,1.06906871601440953e-31,1.51854313389284205e-15,1.52748067293179031e-15
24,24,1.86963764817193159e+01,4.80569038283540750e-01,1,2,5.99848654653988930e-32,1.00000000000000000e+00,3.70367370676846745e-32,1.67666888857443002e-15,1.65792048496820855e-15
25,25,1.86722921556682522e+01,4.79949978145369938e-01,1,2,1.25820025255518147e-31,1.00000000000000000e+00,7.45413737817331407e-32,1.65425401792791452e-15,1.58557160373447142e-15
26,26,1.86443410690762938e+01,4.79231527336700602e-01,1,2,1.27043667854950159e-31,1.00000000000000000e+00,1.10489594511253966e-31,1.80196575748587027e-15,1.78855453162399937e-15
27,27,1.85717639197246775e+01,4.77366014471179823e-01,1,2,1.82148021835057024e-31,1.00000000000000000e+00,2.99291331201121643e-31,1.72505773855731785e-15,1.75236813945310152e-15
28,28,1.85537634853301796e+01,4.76903333830676679e-01,1,2,1.87869731771476811e-31,1.00000000000000000e+00,5.50294877023461028e-32,1.50426486626270128e-15,1.63067935605703419e-15
29,29,1.85459432915587392e+01,4.76702324667023669e-01,1,2,5.62940483026870594e-31,1.00000000000000000e+00,1.59040626773972579e-32,1.51739646469356758e-15,1.31682672110749261e-15
30,30,1.85214251461247912e+01,4.76072113696293098e-01,1,2,1.11076504909764732e-31,1.00000000000000000e+00,4.52176499397088118e-32,1.69355507312272478e-15,1.58040584176036435e-15
31,31,1.84472986890922961e+01,4.74166777643486137e-01,1,2,5.73886592382179757e-31,1.00000000000000000e+00,1.42367396117975346e-32,1.49471869313745976e-15,1.60145699017221360e-15
32,32,1.83548520353172329e+01,4.71790541823638776e-01,1,2,6.39969687440774370e-32,1.00000000000000000e+00,8.12831686929494984e-32,1.36285538336017991e-15,1.43633361861197651e-15
