eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
0,-3.89046629980524443e+01,3.89046629980524443e+01,1.00000000000000000e+00,4.50359962737049900e+15,0,0,7.08203563565028474e-14
779,3.89046629980524443e+01,3.89046629980524443e+01,1.00000000000000000e+00,4.50359962737049900e+15,0,0,9.26895921099933419e-14
778,1.89988486573636131e+01,1.89988486573636131e+01,4.88343740654293534e-01,2.19930468843939225e+15,1,1,4.13862838774240419e-14
1,-1.89988486573636095e+01,1.89988486573636095e+01,4.88343740654293423e-01,2.19930468843939175e+15,1,1,3.44973831976470511e-14
777,1.89983063567652479e+01,1.89983063567652479e+01,4.88329801435789246e-01,2.19924191178013050e+15,2,2,5.18590657046595051e-14
2,-1.89983063567652373e+01,1.89983063567652373e+01,4.88329801435788968e-01,2.19924191178012925e+15,2,2,4.75779061595962759e-14
776,1.89955489399320783e+01,1.89955489399320783e+01,4.88258925180330927e-01,2.19892271350245900e+15,3,3,4.07825272853138840e-14
3,-1.89955489399320676e+01,1.89955489399320676e+01,4.88258925180330650e-01,2.19892271350245775e+15,3,3,3.51885448361571394e-14
775,1.89892049708844510e+01,1.89892049708844510e+01,4.88095860689888139e-01,2.19818833632406325e+15,4,4,4.27867286364159292e-14
4,-1.89892049708844475e+01,1.89892049708844475e+01,4.88095860689888028e-01,2.19818833632406275e+15,4,4,3.44827641996057489e-14
774,1.89870587464275467e+01,1.89870587464275467e+01,4.88040694437528788e-01,2.19793988961049450e+15,5,5,3.82916078739387156e-14
5,-1.89870587464275395e+01,1.89870587464275395e+01,4.88040694437528622e-01,2.19793988961049375e+15,5,5,3.65176756967684571e-14
773,1.89829504791079273e+01,1.89829504791079273e+01,4.87935096110669486e-01,2.19746431702500000e+15,6,6,3.18817734029447183e-14
6,-1.89829504791079238e+01,1.89829504791079238e+01,4.87935096110669431e-01,2.19746431702499950e+15,6,6,2.69882529380024836e-14
7,-1.89822185365402092e+01,1.89822185365402092e+01,4.87916282361588738e-01,2.19737958743165025e+15,7,7,3.36191291764921204e-14
772,1.89822185365402092e+01,1.89822185365402092e+01,4.87916282361588738e-01,2.19737958743165025e+15,7,7,3.75064804556326407e-14
8,-1.89695961476963255e+01,1.89695961476963255e+01,4.87591838249464782e-01,2.19591842104918650e+15,8,8,3.58318564384756974e-14
771,1.89695961476963220e+01,1.89695961476963220e+01,4.87591838249464726e-01,2.19591842104918600e+15,8,8,4.40531369393169087e-14
770,1.89607336177271648e+01,1.89607336177271648e+01,4.87364037022408714e-01,2.19489249552790200e+15,9,9,4.22892136060013115e-14
9,-1.89607336177271577e+01,1.89607336177271577e+01,4.87364037022408492e-01,2.19489249552790125e+15,9,9,3.94479235468173959e-14
769,1.89560637679548449e+01,1.89560637679548449e+01,4.87244003858966213e-01,2.19435191421775025e+15,10,10,4.59735761482084908e-14
10,-1.89560637679548378e+01,1.89560637679548378e+01,4.87244003858966046e-01,2.19435191421774950e+15,10,10,4.08302575974912131e-14
768,1.89470764470114474e+01,1.89470764470114474e+01,4.87012995022214512e-01,2.19331154290663600e+15,11,11,2.92466698985075241e-14
11,-1.89470764470114403e+01,1.89470764470114403e+01,4.87012995022214290e-01,2.19331154290663525e+15,11,11,2.99457291519697937e-14
767,1.89455495154251068e+01,1.89455495154251068e+01,4.86973746986923250e-01,2.19313478546952350e+15,12,12,4.01914172947820298e-14
12,-1.89455495154250997e+01,1.89455495154250997e+01,4.86973746986923084e-01,2.19313478546952250e+15,12,12,4.15413721790763208e-14
766,1.89318098431180744e+01,1.89318098431180744e+01,4.86620584377399579e-01,2.19154428247287125e+15,13,13,4.37676622962929348e-14
13,-1.89318098431180566e+01,1.89318098431180566e+01,4.86620584377399135e-01,2.19154428247286925e+15,13,13,4.23483397594073002e-14
765,1.89275406456332398e+01,1.89275406456332398e+01,4.86510849524149525e-01,2.19105008062866475e+15,14,14,3.42030637271680377e-14
14,-1.89275406456332327e+01,1.89275406456332327e+01,4.86510849524149303e-01,2.19105008062866400e+15,14,14,3.40233764098137398e-14
764,1.89166372221159520e+01,1.89166372221159520e+01,4.86230589455637074e-01,2.18978790148854525e+15,15,15,3.52231223312853493e-14
15,-1.89166372221159484e+01,1.89166372221159484e+01,4.86230589455636963e-01,2.18978790148854475e+15,15,15,3.56654794033621386e-14
763,1.89003210414928802e+01,1.89003210414928802e+01,4.85811200637800811e-01,2.18789914216481450e+15,16,16,4.34575406713251865e-14
16,-1.89003210414928624e+01,1.89003210414928624e+01,4.85811200637800311e-01,2.18789914216481250e+15,16,16,4.05279378498916886e-14
762,1.88915747300398493e+01,1.88915747300398493e+01,4.85586386675179671e-01,2.18688667008652650e+15,17,17,4.10295157832740237e-14
17,-1.88915747300398351e+01,1.88915747300398351e+01,4.85586386675179338e-01,2.18688667008652475e+15,17,17,4.16575075984212337e-14
18,-1.88530211005524464e+01,1.88530211005524464e+01,4.84595409591293047e-01,2.18242370606080175e+15,18,18,2.99073856621178606e-14
761,1.88530211005524393e+01,1.88530211005524393e+01,4.84595409591292825e-01,2.18242370606080100e+15,18,18,3.98885901058491314e-14
19,-1.88235022406022523e+01,1.88235022406022523e+01,4.83836660956157127e-01,2.17900660599033600e+15,19,19,3.57219300173187953e-14
760,1.88235022406022416e+01,1.88235022406022416e+01,4.83836660956156850e-01,2.17900660599033475e+15,19,19,4.12447991985045376e-14
20,-1.88205061505865565e+01,1.88205061505865565e+01,4.83759649878697184e-01,2.17865977893058400e+15,20,20,4.04225430307414324e-14
759,1.88205061505865423e+01,1.88205061505865423e+01,4.83759649878696851e-01,2.17865977893058225e+15,20,20,4.01553719245957991e-14
21,-1.87754575480064716e+01,1.87754575480064716e+01,4.82601726917577079e-01,2.17344495751435950e+15,21,21,3.69293103611287066e-14
758,1.87754575480064538e+01,1.87754575480064538e+01,4.82601726917576634e-01,2.17344495751435750e+15,21,21,4.94141235942894455e-14
22,-1.87634632657402101e+01,1.87634632657402101e+01,4.82293427568811051e-01,2.17205650068213825e+15,22,22,3.66736535142635250e-14
757,1.87634632657402030e+01,1.87634632657402030e+01,4.82293427568810884e-01,2.17205650068213750e+15,22,22,4.39583045787901228e-14
756,1.87314537318249670e+01,1.87314537318249670e+01,4.81470658999479273e-01,2.16835108045988350e+15,23,23,4.21110146342608195e-14
23,-1.87314537318249599e+01,1.87314537318249599e+01,4.81470658999479106e-01,2.16835108045988275e+15,23,23,3.51867129988365608e-14
755,1.86963764817193159e+01,1.86963764817193159e+01,4.80569038283540750e-01,2.16429054173955325e+15,24,24,4.86728722005360369e-14
24,-1.86963764817193123e+01,1.86963764817193123e+01,4.80569038283540639e-01,2.16429054173955275e+15,24,24,3.22707904823634658e-14
25,-1.86722921556682522e+01,1.86722921556682522e+01,4.79949978145369938e-01,2.16150254273196725e+15,25,25,3.93212397127788185e-14
754,1.86722921556682522e+01,1.86722921556682522e+01,4.79949978145369938e-01,2.16150254273196725e+15,25,25,4.60564422283708253e-14
26,-1.86443410690763010e+01,1.86443410690763010e+01,4.79231527336700769e-01,2.15826692793776075e+15,26,26,4.04044689768401358e-14
753,1.86443410690762938e+01,1.86443410690762938e+01,4.79231527336700602e-01,2.15826692793776000e+15,26,26,5.05648380608425960e-14
752,1.85717639197246775e+01,1.85717639197246775e+01,4.77366014471179823e-01,2.14986540489174575e+15,27,27,4.83026136872542981e-14
27,-1.85717639197246775e+01,1.85717639197246775e+01,4.77366014471179823e-01,2.14986540489174575e+15,27,27,4.54426648309703887e-14
28,-1.85537634853301938e+01,1.85537634853301938e+01,4.76903333830677068e-01,2.14778167653158600e+15,28,28,4.51130462846860834e-14
751,1.85537634853301796e+01,1.85537634853301796e+01,4.76903333830676679e-01,2.14778167653158425e+15,28,28,4.42694022382212929e-14
29,-1.85459432915587641e+01,1.85459432915587641e+01,4.76702324667024335e-01,2.14687641173706150e+15,29,29,4.07494076872166598e-14
750,1.85459432915587392e+01,1.85459432915587392e+01,4.76702324667023669e-01,2.14687641173705850e+15,29,29,3.60981801862831966e-14
30,-1.85214251461247947e+01,1.85214251461247947e+01,4.76072113696293209e-01,2.14403819384411200e+15,30,30,3.94120062552916059e-14
749,1.85214251461247912e+01,1.85214251461247912e+01,4.76072113696293098e-01,2.14403819384411175e+15,30,30,4.42184384263353421e-14
31,-1.84472986890923103e+01,1.84472986890923103e+01,4.74166777643486526e-01,2.13545732310667625e+15,31,31,3.40007645337598750e-14
748,1.84472986890922961e+01,1.84472986890922961e+01,4.74166777643486137e-01,2.13545732310667450e+15,31,31,4.56285533923211195e-14
32,-1.83548520353172471e+01,1.83548520353172471e+01,4.71790541823639109e-01,2.12475570835386700e+15,32,32,3.79689219214352848e-14
747,1.83548520353172329e+01,1.83548520353172329e+01,4.71790541823638776e-01,2.12475570835386550e+15,32,32,3.91826655759987395e-14
746,1.82934653246886469e+01,1.82934653246886469e+01,4.70212666425215198e-01,2.11764958929748800e+15,33,33,4.58369988154168358e-14
33,-1.82934653246886398e+01,1.82934653246886398e+01,4.70212666425215031e-01,2.11764958929748725e+15,33,33,3.80964412095706814e-14
34,-1.82871373894859843e+01,1.82871373894859843e+01,4.70050014066474064e-01,2.11691706819527050e+15,34,34,4.58460025138827831e-14
745,1.82871373894859808e+01,1.82871373894859808e+01,4.70050014066473953e-01,2.11691706819527000e+15,34,34,4.80211043110024072e-14
744,1.82249626813474315e+01,1.82249626813474315e+01,4.68451884090597792e-01,2.10971973063142450e+15,35,35,4.07907095619437476e-14
35,-1.82249626813474208e+01,1.82249626813474208e+01,4.68451884090597515e-01,2.10971973063142325e+15,35,35,4.00133546560534961e-14
36,-1.81908082972764760e+01,1.81908082972764760e+01,4.67573984593751713e-01,2.10576602278455975e+15,36,36,3.78509914686079546e-14
743,1.81908082972764760e+01,1.81908082972764760e+01,4.67573984593751713e-01,2.10576602278455975e+15,36,36,3.46392054261056437e-14
742,1.81206916826883671e+01,1.81206916826883671e+01,4.65771716968618466e-01,2.09764933097958775e+15,37,37,3.60500712250026891e-14
37,-1.81206916826883635e+01,1.81206916826883635e+01,4.65771716968618410e-01,2.09764933097958750e+15,37,37,3.42285575407748577e-14
741,1.80682530668582189e+01,1.80682530668582189e+01,4.64423842143619370e-01,2.09157904241998000e+15,38,38,4.54849661430986625e-14
38,-1.80682530668582153e+01,1.80682530668582153e+01,4.64423842143619314e-01,2.09157904241997950e+15,38,38,4.33340040086336678e-14
740,1.80320648830619135e+01,1.80320648830619135e+01,4.63493666143942495e-01,2.08738990213444625e+15,39,39,5.20295076765119289e-14
39,-1.80320648830619064e+01,1.80320648830619064e+01,4.63493666143942329e-01,2.08738990213444525e+15,39,39,5.30117693106423833e-14
40,-1.80969377683063509e-14,1.80969377683063509e-14,4.65161149685637390e-16,2.09489958039146940e+00,40,-1,2.74925544005971541e-14
41,-1.71652292749141932e-14,1.71652292749141932e-14,4.41212645275284345e-16,1.98704510485292274e+00,41,-1,2.56276568637248523e-14
739,1.64095500784856097e-14,1.64095500784856097e-14,4.21788773219988241e-16,1.89956776190259902e+00,40,-1,2.32394833988039375e-14
738,1.52415521562242795e-14,1.52415521562242795e-14,3.91766718477609389e-16,1.76436044735192499e+00,41,-1,2.22705812885575178e-14
