強度順位,DFTビン,波数k,状態内の役割,全強度比,直流を除く強度比,数値誤差床より上
1,1,1,基底波,0.9574494337749713,0.9838703798919615,はい
2,0,0,直流成分,0.026854092426170234,,はい
3,2,2,同方向・第2高調波,0.0079793645886333,0.008199556229473152,はい
4,143,-1,逆回転基底枝,0.0018072760665066888,0.0018571480930464441,はい
5,3,3,同方向・第3高調波,0.0014843277784496456,0.0015252880034713953,はい
6,142,-2,逆回転・第2枝,0.0006809838373941028,0.0006997756781322523,はい
7,4,4,同方向・第4高調波,0.0006017840537381931,0.0006183903657762005,はい
8,141,-3,逆回転・第3枝,0.0003677008923672305,0.00037784764803045135,はい
9,5,5,同方向・第5高調波,0.0003385055284589052,0.0003478466341217427,はい
10,140,-4,逆回転・第4枝,0.00023257627414881047,0.000238994247767687,はい
11,6,6,同方向・第6高調波,0.0002179039676611167,0.00022391705700574506,はい
12,139,-5,逆回転・第5枝,0.00015963369712431114,0.00016403881050303882,はい
13,7,7,同方向・第7高調波,0.0001505830378527403,0.0001547383970695227,はい
14,138,-6,逆回転・第6枝,0.00011642990978878864,0.00011964280883538058,はい
15,8,8,同方向・第8高調波,0.00011081379517213525,0.00011387171677925198,はい
16,137,-7,逆回転・第7枝,8.890482182604174e-05,9.135816236199585e-05,はい
17,9,9,同方向・第9高調波,8.521912317597296e-05,8.757075636112425e-05,はい
18,136,-8,逆回転・第8枝,7.016588966778679e-05,7.210212684623917e-05,はい
19,10,10,同方向・第10高調波,6.75875115281436e-05,6.945259801446162e-05,はい
20,135,-9,逆回転・第9枝,5.682302689269233e-05,5.839106597525443e-05,はい
21,11,11,同方向・第11高調波,5.4933469244543284e-05,5.6449365729234855e-05,はい
22,134,-10,逆回転・第10枝,4.7003064670534055e-05,4.830012057258544e-05,はい
23,12,12,同方向・第12高調波,4.558261508084251e-05,4.6840473485096886e-05,はい
24,133,-11,逆回転・第11枝,3.9564084588615256e-05,4.0655860833092644e-05,はい
25,13,13,同方向・第13高調波,3.847508797834818e-05,3.9536813214650644e-05,はい
26,132,-12,逆回転・第12枝,3.3790410574900006e-05,3.4722861507113136e-05,はい
27,14,14,同方向・第14高調波,3.293500701914943e-05,3.384385297499774e-05,はい
28,131,-13,逆回転・第13枝,2.922121441089974e-05,3.0027577759384266e-05,はい
