モード,波数k,有限位数住所m/n,回帰位数n,全体に占める強度比,窓間コヒーレンス平均,同一空間方向への集中度,単独零閉鎖誤差,B/F住所予測,粒子・反粒子の共役枝,住所から読むモデル電荷量,正負共役対のグラム行列式detΓ,状態と二次量の被覆比,内部スピン構造,相関寿命（ステップ）,総合判定
k=+1,1,1/144,144,0.957449,0.93134,0.57501,0.071858,F型,正方向の共役枝,0.0004758892,0.72509,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+0,0,0/1,1,0.0268541,0.62917,0.3652,0.26156,B型,中立,0,0,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+2,2,1/72,72,0.00797936,0.51399,0.31306,0.48182,B型,正方向の共役枝,0.001902651,0.45949,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-1,-1,-1/144,144,0.00180728,0.52095,0.22991,0.36965,F型,負方向の共役枝,0.0004758892,0.72509,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+3,3,1/48,48,0.00148433,0.55442,0.3005,0.48382,F型,正方向の共役枝,0.004277569,0.091516,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-2,-2,-1/72,72,0.000680984,0.54487,0.24024,0.29137,B型,負方向の共役枝,0.001902651,0.45949,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+4,4,1/36,36,0.000601784,0.56811,0.26997,0.36742,B型,正方向の共役枝,0.007596123,0.022857,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-3,-3,-1/48,48,0.000367701,0.5508,0.24265,0.30887,F型,負方向の共役枝,0.004277569,0.091516,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+5,5,5/144,144,0.000338506,0.56559,0.26903,0.44474,F型,正方向の共役枝,0.011852,0.015031,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-4,-4,-1/36,36,0.000232576,0.55391,0.24733,0.3196,B型,負方向の共役枝,0.007596123,0.022857,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+6,6,1/24,24,0.000217904,0.56558,0.27121,0.42663,B型,正方向の共役枝,0.01703709,0.020296,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-5,-5,-5/144,144,0.000159634,0.55588,0.24913,0.32022,F型,負方向の共役枝,0.011852,0.015031,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+7,7,7/144,144,0.000150583,0.56579,0.26715,0.39176,F型,正方向の共役枝,0.02314152,0.011102,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-6,-6,-1/24,24,0.00011643,0.55731,0.25004,0.32019,B型,負方向の共役枝,0.01703709,0.020296,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+8,8,1/18,18,0.000110814,0.56534,0.2646,0.3914,B型,正方向の共役枝,0.03015369,0.0052896,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-7,-7,-7/144,144,8.89048e-05,0.55818,0.251,0.32348,F型,負方向の共役枝,0.02314152,0.011102,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+9,9,1/16,16,8.52191e-05,0.56513,0.26436,0.39348,F型,正方向の共役枝,0.03806023,0.0048687,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-8,-8,-1/18,18,7.01659e-05,0.5588,0.25186,0.32788,B型,負方向の共役枝,0.03015369,0.0052896,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+10,10,5/72,72,6.75875e-05,0.56499,0.26377,0.38614,B型,正方向の共役枝,0.04684611,0.0045848,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-9,-9,-1/16,16,5.6823e-05,0.55931,0.25244,0.33092,F型,負方向の共役枝,0.03806023,0.0048687,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+11,11,11/144,144,5.49335e-05,0.56487,0.26291,0.38184,F型,正方向の共役枝,0.05649458,0.0033871,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-10,-10,-5/72,72,4.70031e-05,0.55972,0.25291,0.33286,B型,負方向の共役枝,0.04684611,0.0045848,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+12,12,1/12,12,4.55826e-05,0.56472,0.2624,0.38095,B型,正方向の共役枝,0.0669873,0.0026485,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-11,-11,-11/144,144,3.95641e-05,0.56004,0.25333,0.33482,F型,負方向の共役枝,0.05649458,0.0033871,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+13,13,13/144,144,3.84751e-05,0.56459,0.26205,0.37894,F型,正方向の共役枝,0.07830428,0.0023348,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-12,-12,-1/12,12,3.37904e-05,0.5603,0.25368,0.33675,B型,負方向の共役枝,0.0669873,0.0026485,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+14,14,7/72,72,3.2935e-05,0.56448,0.26168,0.37661,B型,正方向の共役枝,0.09042398,0.0020246,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-13,-13,-13/144,144,2.92212e-05,0.56052,0.25398,0.33826,F型,負方向の共役枝,0.07830428,0.0023348,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+15,15,5/48,48,2.85361e-05,0.56438,0.26135,0.37526,F型,正方向の共役枝,0.1033233,0.0017083,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-14,-14,-7/72,72,2.55437e-05,0.56071,0.25424,0.33951,B型,負方向の共役枝,0.09042398,0.0020246,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+16,16,1/9,9,2.49871e-05,0.56429,0.2611,0.37416,B型,正方向の共役枝,0.1169778,0.0014783,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-15,-15,-5/48,48,2.25395e-05,0.56087,0.25447,0.34068,F型,負方向の共役枝,0.1033233,0.0017083,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+17,17,17/144,144,2.20814e-05,0.56421,0.26087,0.37291,F型,正方向の共役枝,0.1313613,0.0013033,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-16,-16,-1/9,9,2.00539e-05,0.56101,0.25467,0.34174,B型,負方向の共役枝,0.1169778,0.0014783,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+18,18,1/8,8,1.96722e-05,0.56414,0.26065,0.37183,B型,正方向の共役枝,0.1464466,0.0011474,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-17,-17,-17/144,144,1.79744e-05,0.56114,0.25486,0.34265,F型,負方向の共役枝,0.1313613,0.0013033,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+19,19,19/144,144,1.7653e-05,0.56407,0.26047,0.37098,F型,正方向の共役枝,0.1622049,0.0010132,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-18,-18,-1/8,8,1.62172e-05,0.56125,0.25502,0.34348,B型,負方向の共役枝,0.1464466,0.0011474,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+20,20,5/36,36,1.59441e-05,0.564,0.26031,0.37017,B型,正方向の共役枝,0.1786062,0.0009019,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-19,-19,-19/144,144,1.4719e-05,0.56134,0.25517,0.34424,F型,負方向の共役枝,0.1622049,0.0010132,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+21,21,7/48,48,1.44851e-05,0.56395,0.26016,0.36941,F型,正方向の共役枝,0.1956193,0.00080646,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-20,-20,-5/36,36,1.34315e-05,0.56143,0.2553,0.34493,B型,負方向の共役枝,0.1786062,0.0009019,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+22,22,11/72,72,1.32296e-05,0.56389,0.26002,0.36873,B型,正方向の共役枝,0.2132118,0.00072303,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-21,-21,-7/48,48,1.23172e-05,0.56151,0.25543,0.34556,F型,負方向の共役枝,0.1956193,0.00080646,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+23,23,23/144,144,1.21417e-05,0.56384,0.25989,0.36812,F型,正方向の共役枝,0.2313502,0.00065055,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-22,-22,-11/72,72,1.13464e-05,0.56159,0.25554,0.34614,B型,負方向の共役枝,0.2132118,0.00072303,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+24,24,1/6,6,1.11929e-05,0.56379,0.25978,0.36755,B型,正方向の共役枝,0.25,0.00058727,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-23,-23,-23/144,144,1.04956e-05,0.56165,0.25565,0.34667,F型,負方向の共役枝,0.2313502,0.00065055,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+25,25,25/144,144,1.03607e-05,0.56375,0.25967,0.36701,F型,正方向の共役枝,0.2691257,0.0005314,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-24,-24,-1/6,6,9.74603e-06,0.56171,0.25574,0.34717,B型,負方向の共役枝,0.25,0.00058727,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+26,26,13/72,72,9.62681e-06,0.56371,0.25957,0.36653,B型,正方向の共役枝,0.2886909,0.00048192,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-25,-25,-25/144,144,9.08234e-06,0.56177,0.25583,0.34763,F型,負方向の共役枝,0.2691257,0.0005314,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+27,27,3/16,16,8.9765e-06,0.56367,0.25948,0.36607,F型,正方向の共役枝,0.3086583,0.00043798,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-26,-26,-13/72,72,8.49205e-06,0.56182,0.25592,0.34806,B型,負方向の共役枝,0.2886909,0.00048192,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+28,28,7/36,36,8.39767e-06,0.56363,0.2594,0.36565,B型,正方向の共役枝,0.3289899,0.00039872,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-27,-27,-3/16,16,7.96484e-06,0.56187,0.256,0.34847,F型,負方向の共役枝,0.3086583,0.00043798,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+29,29,29/144,144,7.88035e-06,0.5636,0.25932,0.36525,F型,正方向の共役枝,0.3496471,0.00036352,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-28,-28,-7/36,36,7.49217e-06,0.56192,0.25607,0.34885,B型,負方向の共役枝,0.3289899,0.00039872,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+30,30,5/24,24,7.41626e-06,0.56357,0.25924,0.36487,B型,正方向の共役枝,0.3705905,0.00033186,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-29,-29,-29/144,144,7.0669e-06,0.56196,0.25614,0.3492,F型,負方向の共役枝,0.3496471,0.00036352,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+31,31,31/144,144,6.99847e-06,0.56354,0.25917,0.36452,F型,正方向の共役枝,0.3917802,0.00030328,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-30,-30,-5/24,24,6.68303e-06,0.562,0.25621,0.34954,B型,負方向の共役枝,0.3705905,0.00033186,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+32,32,2/9,9,6.62115e-06,0.56351,0.2591,0.36419,B型,正方向の共役枝,0.4131759,0.00027741,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-31,-31,-31/144,144,6.33549e-06,0.56204,0.25627,0.34986,F型,負方向の共役枝,0.3917802,0.00030328,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+33,33,11/48,48,6.27936e-06,0.56348,0.25904,0.36387,F型,正方向の共役枝,0.4347369,0.00025392,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-32,-32,-2/9,9,6.01996e-06,0.56207,0.25633,0.35017,B型,負方向の共役枝,0.4131759,0.00027741,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+34,34,17/72,72,5.96892e-06,0.56345,0.25898,0.36357,B型,正方向の共役枝,0.4564221,0.00023254,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-33,-33,-11/48,48,5.73275e-06,0.56211,0.25639,0.35045,F型,負方向の共役枝,0.4347369,0.00025392,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+35,35,35/144,144,5.68623e-06,0.56343,0.25892,0.36328,F型,正方向の共役枝,0.4781903,0.00021304,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-34,-34,-17/72,72,5.47071e-06,0.56214,0.25644,0.35073,B型,負方向の共役枝,0.4564221,0.00023254,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+36,36,1/4,4,5.42821e-06,0.5634,0.25887,0.36301,B型,正方向の共役枝,0.5,0.00019521,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-35,-35,-35/144,144,5.2311e-06,0.56217,0.2565,0.35099,F型,負方向の共役枝,0.4781903,0.00021304,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+37,37,37/144,144,5.19219e-06,0.56338,0.25882,0.36275,F型,正方向の共役枝,0.5218097,0.00017887,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-36,-36,-1/4,4,5.01156e-06,0.5622,0.25654,0.35125,B型,負方向の共役枝,0.5,0.00019521,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+38,38,19/72,72,4.97587e-06,0.56335,0.25877,0.3625,B型,正方向の共役枝,0.5435779,0.00016387,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
