resolution,base_wavelength_multiple,base_wavelength,harmonic_wavelength_multiple,harmonic_wavelength,harmonic_order,parity
300,2,2lambda0,1,1lambda0,2,偶数
300,3,3lambda0,1,1lambda0,3,奇数
300,4,4lambda0,1,1lambda0,4,偶数
300,4,4lambda0,2,2lambda0,2,偶数
300,5,5lambda0,1,1lambda0,5,奇数
300,6,6lambda0,1,1lambda0,6,偶数
300,6,6lambda0,2,2lambda0,3,奇数
300,6,6lambda0,3,3lambda0,2,偶数
300,10,10lambda0,1,1lambda0,10,偶数
300,10,10lambda0,2,2lambda0,5,奇数
300,10,10lambda0,5,5lambda0,2,偶数
300,12,12lambda0,1,1lambda0,12,偶数
300,12,12lambda0,2,2lambda0,6,偶数
300,12,12lambda0,3,3lambda0,4,偶数
300,12,12lambda0,4,4lambda0,3,奇数
300,12,12lambda0,6,6lambda0,2,偶数
300,15,15lambda0,1,1lambda0,15,奇数
300,15,15lambda0,3,3lambda0,5,奇数
300,15,15lambda0,5,5lambda0,3,奇数
300,20,20lambda0,1,1lambda0,20,偶数
300,20,20lambda0,2,2lambda0,10,偶数
300,20,20lambda0,4,4lambda0,5,奇数
300,20,20lambda0,5,5lambda0,4,偶数
300,20,20lambda0,10,10lambda0,2,偶数
300,25,25lambda0,1,1lambda0,25,奇数
300,25,25lambda0,5,5lambda0,5,奇数
300,30,30lambda0,1,1lambda0,30,偶数
300,30,30lambda0,2,2lambda0,15,奇数
300,30,30lambda0,3,3lambda0,10,偶数
300,30,30lambda0,5,5lambda0,6,偶数
300,30,30lambda0,6,6lambda0,5,奇数
300,30,30lambda0,10,10lambda0,3,奇数
300,30,30lambda0,15,15lambda0,2,偶数
300,50,50lambda0,1,1lambda0,50,偶数
300,50,50lambda0,2,2lambda0,25,奇数
300,50,50lambda0,5,5lambda0,10,偶数
300,50,50lambda0,10,10lambda0,5,奇数
300,50,50lambda0,25,25lambda0,2,偶数
300,60,60lambda0,1,1lambda0,60,偶数
300,60,60lambda0,2,2lambda0,30,偶数
300,60,60lambda0,3,3lambda0,20,偶数
300,60,60lambda0,4,4lambda0,15,奇数
300,60,60lambda0,5,5lambda0,12,偶数
300,60,60lambda0,6,6lambda0,10,偶数
300,60,60lambda0,10,10lambda0,6,偶数
300,60,60lambda0,12,12lambda0,5,奇数
300,60,60lambda0,15,15lambda0,4,偶数
300,60,60lambda0,20,20lambda0,3,奇数
300,60,60lambda0,30,30lambda0,2,偶数
300,75,75lambda0,1,1lambda0,75,奇数
300,75,75lambda0,3,3lambda0,25,奇数
300,75,75lambda0,5,5lambda0,15,奇数
300,75,75lambda0,15,15lambda0,5,奇数
300,75,75lambda0,25,25lambda0,3,奇数
300,100,100lambda0,1,1lambda0,100,偶数
300,100,100lambda0,2,2lambda0,50,偶数
300,100,100lambda0,4,4lambda0,25,奇数
300,100,100lambda0,5,5lambda0,20,偶数
300,100,100lambda0,10,10lambda0,10,偶数
300,100,100lambda0,20,20lambda0,5,奇数
300,100,100lambda0,25,25lambda0,4,偶数
300,100,100lambda0,50,50lambda0,2,偶数
300,150,150lambda0,1,1lambda0,150,偶数
300,150,150lambda0,2,2lambda0,75,奇数
300,150,150lambda0,3,3lambda0,50,偶数
300,150,150lambda0,5,5lambda0,30,偶数
300,150,150lambda0,6,6lambda0,25,奇数
300,150,150lambda0,10,10lambda0,15,奇数
300,150,150lambda0,15,15lambda0,10,偶数
300,150,150lambda0,25,25lambda0,6,偶数
300,150,150lambda0,30,30lambda0,5,奇数
300,150,150lambda0,50,50lambda0,3,奇数
300,150,150lambda0,75,75lambda0,2,偶数
300,300,300lambda0,1,1lambda0,300,偶数
300,300,300lambda0,2,2lambda0,150,偶数
300,300,300lambda0,3,3lambda0,100,偶数
300,300,300lambda0,4,4lambda0,75,奇数
300,300,300lambda0,5,5lambda0,60,偶数
300,300,300lambda0,6,6lambda0,50,偶数
300,300,300lambda0,10,10lambda0,30,偶数
300,300,300lambda0,12,12lambda0,25,奇数
300,300,300lambda0,15,15lambda0,20,偶数
300,300,300lambda0,20,20lambda0,15,奇数
300,300,300lambda0,25,25lambda0,12,偶数
300,300,300lambda0,30,30lambda0,10,偶数
300,300,300lambda0,50,50lambda0,6,偶数
300,300,300lambda0,60,60lambda0,5,奇数
300,300,300lambda0,75,75lambda0,4,偶数
300,300,300lambda0,100,100lambda0,3,奇数
300,300,300lambda0,150,150lambda0,2,偶数
