resolution,base_wavelength_multiple,base_wavelength,harmonic_wavelength_multiple,harmonic_wavelength,harmonic_order,parity
40,2,2lambda0,1,1lambda0,2,偶数
40,4,4lambda0,1,1lambda0,4,偶数
40,4,4lambda0,2,2lambda0,2,偶数
40,5,5lambda0,1,1lambda0,5,奇数
40,8,8lambda0,1,1lambda0,8,偶数
40,8,8lambda0,2,2lambda0,4,偶数
40,8,8lambda0,4,4lambda0,2,偶数
40,10,10lambda0,1,1lambda0,10,偶数
40,10,10lambda0,2,2lambda0,5,奇数
40,10,10lambda0,5,5lambda0,2,偶数
40,20,20lambda0,1,1lambda0,20,偶数
40,20,20lambda0,2,2lambda0,10,偶数
40,20,20lambda0,4,4lambda0,5,奇数
40,20,20lambda0,5,5lambda0,4,偶数
40,20,20lambda0,10,10lambda0,2,偶数
40,40,40lambda0,1,1lambda0,40,偶数
40,40,40lambda0,2,2lambda0,20,偶数
40,40,40lambda0,4,4lambda0,10,偶数
40,40,40lambda0,5,5lambda0,8,偶数
40,40,40lambda0,8,8lambda0,5,奇数
40,40,40lambda0,10,10lambda0,4,偶数
40,40,40lambda0,20,20lambda0,2,偶数
