波ID,関係ID,関係辺,波振幅,親位相度,標本数N,波の構成,非直流成分数,非直流次数一覧,基本波成分数,倍音数,倍音次数一覧,基本波振幅,基本波位相度,最大強度倍音次数,最大強度倍音振幅,最大強度倍音位相度,実効非直流成分数,奇数倍音強度比,偶数倍音強度比,B/F読出し,粒子反粒子読出し,正負周回偏極,最大強度倍音住所,有限回帰次数,住所電荷量,符号付き住所電荷量,質量二乗型Gram量,質量型sqrtGram量,半周重なり実部,半周同符号残差,半周反符号残差,半周二次量残差,状態回帰次数,二次量回帰次数,半周期被覆比,スピン型読出し,相関寿命型量標本,零閉塞絶対残差,零閉塞相対残差,零閉塞成立
W0001,1,"(1,2)",0.036590052249662275,138.62569871811323,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.001147093125863,142.59483980650538,-14,0.012429365665506911,-53.0331768924777,21.716265458834872,0.43909736369675545,0.5609026363032446,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.2846778776792755,-7/20,20,0.7938926261462367,-0.7938926261462367,3.2344304310778544e-07,0.000568720531639034,0.147301237470426,1.305908697060843,1.514794532252098,1.4325763688698734,40,40,,奇数・偶数倍音の混合スピン型,1,1.4250306694220938e-19,1.0643835452886217e-16,True
W0002,2,"(1,3)",0.03616487221766556,138.6256987181132,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004875526153961819,102.28348850954595,10,0.010478953916836427,10.013334757837523,23.860496186223152,0.6038456800338583,0.3961543199661417,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.11110489808367793,1/4,4,0.4999999999999999,-0.4999999999999999,3.9980975759456583e-07,0.0006323051143194762,-0.18889521336610493,1.5420085689555068,1.2736599127191643,1.2786847917395896,40,40,,奇数・偶数倍音の混合スピン型,1,2.0328790734103208e-19,1.5543101224862645e-16,True
W0003,3,"(1,4)",0.03625636374348441,-41.37430128188684,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0042466009564676955,164.7322459383508,2,0.011753078915872404,-153.99951000343998,20.52671857270836,0.5124240274065159,0.487575972593484,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.13742143485652103,1/20,20,0.024471741852423214,0.024471741852423214,3.535040309333118e-07,0.0005945620496914614,-0.0178641160684966,1.426789484169614,1.4015248010160244,1.4935955568313044,40,40,,奇数・偶数倍音の混合スピン型,1,1.940426587757867e-19,1.4761440017880035e-16,True
W0004,4,"(1,5)",0.034615347517126256,138.62569871811326,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.003168621544696891,-14.248425909854726,-2,0.011725106351741935,13.48459668825213,18.584527529543188,0.5225375631282156,0.47746243687178436,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.02266878990349532,-1/20,20,0.024471741852423214,-0.024471741852423214,3.1478055877750597e-07,0.0005610530801782537,0.009583223888536583,1.4074208866657218,1.4209737674486018,1.4406729169805224,40,40,,奇数・偶数倍音の混合スピン型,1,3.4077262931723243e-19,2.843985076425239e-16,True
W0005,5,"(1,6)",0.03434335002317299,48.62569871811316,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.003633905081357309,-36.205656182766276,18,0.01062747425679122,87.23668517978633,22.409878210682354,0.4948456288808182,0.5051543711191818,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.1864333054526586,9/20,20,0.9755282581475768,0.9755282581475768,3.1949205746115037e-07,0.0005652362846289597,0.018071700394166026,1.4013766799871004,1.4269349672596616,1.4819515846963693,40,40,,奇数・偶数倍音の混合スピン型,1,1.7142741545784674e-19,1.453432828041922e-16,True
W0006,6,"(1,7)",0.03605491174767216,-131.37430128188677,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0018672370940827072,69.05881960847938,-13,0.014481351040022291,-106.03184864946357,13.67216535844923,0.6784808101092691,0.3215191898907308,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.2778916058237474,-13/40,40,0.7269952498697734,-0.7269952498697734,3.7676965811709546e-07,0.0006138156548322106,-0.35550741226032895,1.6465159654618164,1.135334829677722,1.3981366022727957,40,40,,奇数・偶数倍音の混合スピン型,1,2.1428426932230842e-20,1.648395486782148e-17,True
W0007,7,"(1,8)",0.03443511321088955,-131.37430128188683,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.00350199350279619,-0.2623525157102759,-17,0.013417797338481873,32.451033818611435,16.13898335943958,0.6083557150584593,0.3916442849415407,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.05973913245453372,-17/40,40,0.9455032620941839,0.9455032620941839,2.8471855272896414e-07,0.0005335902479702606,-0.1295457506099103,1.503027445264996,1.3194349164624148,1.2496233329800015,40,40,,奇数・偶数倍音の混合スピン型,1,4.8864331573324237e-20,4.120870169774484e-17,True
W0008,8,"(1,9)",0.035677816377366396,48.625698718113156,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0041306779238603495,36.757842452466804,4,0.010362118988885572,-167.25552439677946,23.091044799400848,0.5469065057225574,0.45309349427744267,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.07337940707210017,1/10,10,0.09549150281252627,0.09549150281252627,3.5679456262020937e-07,0.0005973228294818551,-0.09069017987879313,1.4769496808481952,1.3485620639193487,1.3321430952383355,40,40,,奇数・偶数倍音の混合スピン型,1,3.396253570840036e-19,2.668109050824771e-16,True
W0009,9,"(1,10)",0.03616684726315597,-131.37430128188686,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004053817334847544,20.167149612315423,17,0.01135281381303456,-163.64230799951582,20.38682858714115,0.5237093794835864,0.47629062051641363,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.024642043922091336,17/40,40,0.9455032620941839,0.9455032620941839,3.003384743746005e-07,0.0005480314538186658,-0.028870945547856214,1.4344831442354813,1.393649205827739,1.64196573304089,40,40,,奇数・偶数倍音の混合スピン型,1,3.085991080930677e-19,2.3592467332091626e-16,True
W0010,10,"(1,11)",0.0360755996180979,-41.37430128188672,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0018825547050950744,-130.69837222961425,19,0.011724100763084052,-50.24649375557312,18.824034177941265,0.4985389336396375,0.5014610663603625,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.09758645589576914,19/40,40,0.9938441702975689,-0.9938441702975689,3.586793047360904e-07,0.0005988984093617969,0.02223157418324785,1.3984051099854806,1.429847246514989,1.438061962992965,40,40,,奇数・偶数倍音の混合スピン型,1,1.9166167708542177e-19,1.4726792491146536e-16,True
