case_id,scattering_protocol,radius_label_deg,radius,radius_squared_expected,longitude_minus_deg,longitude_plus_deg,longitude_separation_deg,step_count,period_steps,max_R2_minus_abs_error,max_R2_plus_abs_error,max_R2_minus_rel_error,max_R2_plus_rel_error,max_cycle_return_error,max_node_intersection_error,max_path_separation,expected_max_path_separation,max_path_separation_abs_error,max_A_meridian_lune,analytic_A_meridian_lune,A_meridian_lune_analytic_rel_error,A_meridian_lune_cycle_return_error,max_f_native_mean,rms_f_native_mean,max_K_area_times_f,max_f_projection_error,max_scattering_unitarity_error,max_scattering_internal_imag,R2_preserved,cycle_returns,nodes_intersect,lune_area_detected,inverse_term_used,readout_loss_used,time_axis_area_used
pass_through_R1deg,pass_through,1.0,0.017453292519943295,0.00030461741978670857,-2.5,2.5,5.0,720,96,1.6263032587282567e-19,1.6263032587282567e-19,5.338838664797913e-16,5.338838664797913e-16,1.2836745682382913e-16,8.206353446212866e-18,0.0015226038544558559,0.0015226038544558559,0.0,5.316576934207786e-05,5.3165769342077875e-05,2.549107691618167e-16,2.4544103135673437e-20,7.473767804862246e-05,7.473767804861166e-05,3.973486152295172e-09,1.0814916670542907e-17,0.0,0.0,True,True,True,True,False,False,False
pass_through_R2deg,pass_through,2.0,0.03490658503988659,0.0012184696791468343,-2.5,2.5,5.0,720,96,6.505213034913027e-19,6.505213034913027e-19,5.338838664797913e-16,5.338838664797913e-16,2.5673491364765825e-16,1.6412706892425732e-17,0.0030452077089117117,0.0030452077089117117,0.0,0.00021266307736831144,0.0002126630773683115,2.549107691618167e-16,9.817641254269375e-20,0.0001494753560972449,0.0001494753560972233,3.1787889218361376e-08,2.1629833341085813e-17,0.0,0.0,True,True,True,True,False,False,False
pass_through_R5deg,pass_through,5.0,0.08726646259971647,0.007615435494667714,-2.5,2.5,5.0,720,96,2.6020852139652106e-18,2.6020852139652106e-18,3.4168567454706647e-16,3.4168567454706647e-16,6.47091468310051e-16,4.1031767231064326e-17,0.0076130192722792785,0.0076130192722792785,0.0,0.0013291442335519466,0.0013291442335519469,1.631428922635627e-16,1.5225417226896049e-19,0.0003736883902431196,0.00037368839024305825,4.966857690369057e-07,6.142005307130383e-17,0.0,0.0,True,True,True,True,False,False,False
pass_through_R10deg,pass_through,10.0,0.17453292519943295,0.030461741978670857,-2.5,2.5,5.0,720,96,1.0408340855860843e-17,1.0408340855860843e-17,3.4168567454706647e-16,3.4168567454706647e-16,1.294182936620102e-15,8.206353446212865e-17,0.015226038544558557,0.015226038544558557,0.0,0.005316576934207787,0.0053165769342077875,1.631428922635627e-16,6.090166890758419e-19,0.0007473767804862392,0.0007473767804861165,3.973486152295246e-06,1.2284010614260765e-16,0.0,0.0,True,True,True,True,False,False,False
pass_through_R20deg,pass_through,20.0,0.3490658503988659,0.12184696791468343,-2.5,2.5,5.0,720,96,4.163336342344337e-17,4.163336342344337e-17,3.4168567454706647e-16,3.4168567454706647e-16,2.588365873240204e-15,1.641270689242573e-16,0.030452077089117114,0.030452077089117114,0.0,0.021266307736831146,0.02126630773683115,1.631428922635627e-16,2.4360667563033678e-18,0.0014947535609724785,0.001494753560972233,3.178788921836197e-05,2.456802122852153e-16,0.0,0.0,True,True,True,True,False,False,False
pass_through_R35deg,pass_through,35.0,0.6108652381980153,0.373156339238718,-2.5,2.5,5.0,720,96,1.6653345369377348e-16,1.6653345369377348e-16,4.462833300206582e-16,4.462833300206582e-16,4.521676119345448e-15,2.872223706174503e-16,0.05329113490595495,0.05329113490595495,0.0,0.06512806744404538,0.0651280674440454,2.1308459397689823e-16,8.538092108323347e-18,0.0026158187317017983,0.0026158187317014076,0.00017036321877965776,3.907464629637758e-16,0.0,0.0,True,True,True,True,False,False,False
pass_through_R60deg,pass_through,60.0,1.0471975511965976,1.0966227112321507,-2.5,2.5,5.0,720,96,6.661338147750939e-16,6.661338147750939e-16,6.074411991947849e-16,6.074411991947849e-16,7.747734153070907e-15,4.923812067727719e-16,0.09135623126735135,0.09135623126735135,0.0,0.19139676963148028,0.1913967696314803,1.45015904234278e-16,1.5449880957918438e-17,0.004484260682917619,0.004484260682916698,0.0008582730088957624,9.202708040056962e-16,0.0,0.0,True,True,True,True,False,False,False
fermionic_reflection_pi_R1deg,fermionic_reflection_pi,1.0,0.017453292519943295,0.00030461741978670857,-2.5,2.5,5.0,720,96,1.6263032587282567e-19,1.6263032587282567e-19,5.338838664797913e-16,5.338838664797913e-16,1.2836745682382913e-16,8.206353446212866e-18,0.0015226038544558559,0.0015226038544558559,0.0,5.316576934207786e-05,5.3165769342077875e-05,2.549107691618167e-16,2.4544103135673437e-20,7.473767804862246e-05,7.473767804861166e-05,3.973486152295172e-09,1.0814916670542907e-17,0.0,2.1374118819130998e-18,True,True,True,True,False,False,False
fermionic_reflection_pi_R2deg,fermionic_reflection_pi,2.0,0.03490658503988659,0.0012184696791468343,-2.5,2.5,5.0,720,96,6.505213034913027e-19,6.505213034913027e-19,5.338838664797913e-16,5.338838664797913e-16,2.5673491364765825e-16,1.6412706892425732e-17,0.0030452077089117117,0.0030452077089117117,0.0,0.00021266307736831144,0.0002126630773683115,2.549107691618167e-16,9.817641254269375e-20,0.0001494753560972449,0.0001494753560972233,3.1787889218361376e-08,2.1629833341085813e-17,0.0,4.2748237638261996e-18,True,True,True,True,False,False,False
fermionic_reflection_pi_R5deg,fermionic_reflection_pi,5.0,0.08726646259971647,0.007615435494667714,-2.5,2.5,5.0,720,96,2.6020852139652106e-18,2.6020852139652106e-18,3.4168567454706647e-16,3.4168567454706647e-16,6.47091468310051e-16,4.1031767231064326e-17,0.0076130192722792785,0.0076130192722792785,0.0,0.0013291442335519466,0.0013291442335519469,1.631428922635627e-16,1.5225417226896049e-19,0.0003736883902431196,0.00037368839024305825,4.966857690369057e-07,6.142005307130383e-17,0.0,1.0687059409565499e-17,True,True,True,True,False,False,False
