case_id,scattering_protocol,initial_deviation_deg,initial_deviation_rad,relation_offset_deg,relation_offset_rad,readout_mode,per_step_leak,step_count,rank_XY_max,max_abs_A_XY,signed_A_XY_median,signed_A_XY_orientation,max_f_xy_second_difference,rms_f_xy_second_difference,max_K_area_times_f,max_relation_norm_abs_error,max_relation_norm_rel_error,max_scattering_unitarity_error,max_f_projection_error,area_detected,inverse_term_used,readout_loss_used,external_axis_used
pass_through_L1_deltam5,pass_through,1.0,0.017453292519943295,-5.0,-0.08726646259971647,readout_off,0.0,720,2,4.16735514555391e-05,4.16735514555378e-05,1,7.464880959998417e-05,5.2888621764501585e-05,3.1108810079595523e-09,1.6263032587282567e-19,5.338838664797913e-16,0.0,1.1970608423776674e-16,True,False,False,False
pass_through_L2_deltam5,pass_through,2.0,0.03490658503988659,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.0001666942058221564,0.0001666942058221512,1,0.00014929761919996835,0.00010577724352900317,2.4887048063676418e-08,6.505213034913027e-19,5.338838664797913e-16,0.0,2.394121684755335e-16,True,False,False,False
pass_through_L5_deltam5,pass_through,5.0,0.08726646259971647,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.0010418387863884715,0.0010418387863884437,1,0.00037324404799991357,0.00026444310882250786,3.8886012599493997e-07,5.204170427930421e-18,6.833713490941329e-16,0.0,5.990217002982412e-16,True,False,False,False
pass_through_L10_deltam5,pass_through,10.0,0.17453292519943295,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.004167355145553886,0.004167355145553775,1,0.0007464880959998271,0.0005288862176450157,3.1108810079595197e-06,2.0816681711721685e-17,6.833713490941329e-16,0.0,1.1980434005964824e-15,True,False,False,False
pass_through_L20_deltam5,pass_through,20.0,0.3490658503988659,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.016669420582215544,0.0166694205822151,1,0.0014929761919996543,0.0010577724352900315,2.4887048063676158e-05,8.326672684688674e-17,6.833713490941329e-16,0.0,2.3960868011929648e-15,True,False,False,False
pass_through_L35_deltam5,pass_through,35.0,0.6108652381980153,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.05105010053303527,0.05105010053303438,1,0.0026127083359994293,0.0018511017617575557,0.0001333790232162655,2.220446049250313e-16,5.950444400275444e-16,0.0,4.1870803699217696e-15,True,False,False,False
pass_through_L60_deltam5,pass_through,60.0,1.0471975511965976,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.15002478523994078,0.15002478523993545,1,0.004478928575998786,0.0031733173058700946,0.0006719502977192358,8.881784197001252e-16,8.099215989263798e-16,0.0,7.240518948292696e-15,True,False,False,False
pass_through_L1_deltap0,pass_through,1.0,0.017453292519943295,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,7.473767804861416e-05,5.288941866927955e-05,0.0,2.168404344971009e-19,7.118451553063885e-16,0.0,1.2381909921194698e-16,False,False,False,False
pass_through_L2_deltap0,pass_through,2.0,0.03490658503988659,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.00014947535609722833,0.0001057788373385591,0.0,8.673617379884035e-19,7.118451553063885e-16,0.0,2.4763819842389397e-16,False,False,False,False
pass_through_L5_deltap0,pass_through,5.0,0.08726646259971647,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.00037368839024308557,0.00026444709334639773,0.0,5.204170427930421e-18,6.833713490941329e-16,0.0,6.213427125242865e-16,False,False,False,False
pass_through_L10_deltap0,pass_through,10.0,0.17453292519943295,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.0007473767804861711,0.0005288941866927955,0.0,2.0816681711721685e-17,6.833713490941329e-16,0.0,1.242685425048573e-15,False,False,False,False
pass_through_L20_deltap0,pass_through,20.0,0.3490658503988659,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.0014947535609723423,0.001057788373385591,0.0,8.326672684688674e-17,6.833713490941329e-16,0.0,2.485370850097146e-15,False,False,False,False
pass_through_L35_deltap0,pass_through,35.0,0.6108652381980153,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.00261581873170155,0.0018511296534247843,0.0,2.7755575615628914e-16,7.438055500344304e-16,0.0,4.339464985264607e-15,False,False,False,False
pass_through_L60_deltap0,pass_through,60.0,1.0471975511965976,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.004484260682916987,0.003173365120156773,0.0,8.881784197001252e-16,8.099215989263798e-16,0.0,7.428276020080204e-15,False,False,False,False
pass_through_L1_deltap5,pass_through,1.0,0.017453292519943295,5.0,0.08726646259971647,readout_off,0.0,720,2,4.167355145553867e-05,-4.16735514555378e-05,-1,7.464880959998173e-05,5.2889579269194354e-05,3.1108810079595155e-09,2.168404344971009e-19,7.118451553063885e-16,0.0,1.1961121654767426e-16,True,False,False,False
pass_through_L2_deltap5,pass_through,2.0,0.03490658503988659,5.0,0.08726646259971647,readout_off,0.0,720,2,0.00016669420582215468,-0.0001666942058221512,-1,0.00014929761919996347,0.00010577915853838871,2.4887048063676124e-08,8.673617379884035e-19,7.118451553063885e-16,0.0,2.392224330953485e-16,True,False,False,False
pass_through_L5_deltap5,pass_through,5.0,0.08726646259971647,5.0,0.08726646259971647,readout_off,0.0,720,2,0.0010418387863884715,-0.0010418387863884437,-1,0.0003732440479999332,0.00026444789634597174,3.888601259949656e-07,5.204170427930421e-18,6.833713490941329e-16,0.0,5.960536968510621e-16,True,False,False,False
pass_through_L10_deltap5,pass_through,10.0,0.17453292519943295,5.0,0.08726646259971647,readout_off,0.0,720,2,0.004167355145553886,-0.004167355145553775,-1,0.0007464880959998664,0.0005288957926919435,3.1108810079597247e-06,2.0816681711721685e-17,6.833713490941329e-16,0.0,1.1921073937021243e-15,True,False,False,False
pass_through_L20_deltap5,pass_through,20.0,0.3490658503988659,5.0,0.08726646259971647,readout_off,0.0,720,2,0.016669420582215544,-0.0166694205822151,-1,0.0014929761919997328,0.001057791585383887,2.4887048063677798e-05,8.326672684688674e-17,6.833713490941329e-16,0.0,2.3842147874042485e-15,True,False,False,False
pass_through_L35_deltap5,pass_through,35.0,0.6108652381980153,5.0,0.08726646259971647,readout_off,0.0,720,2,0.05105010053303527,-0.05105010053303349,-1,0.0026127083359993508,0.001851135274421802,0.00013337902321626383,2.7755575615628914e-16,7.438055500344304e-16,0.0,4.17884043341088e-15,True,False,False,False
pass_through_L60_deltap5,pass_through,60.0,1.0471975511965976,5.0,0.08726646259971647,readout_off,0.0,720,2,0.150024785239939,-0.15002478523993545,-1,0.004478928575998943,0.003173374756151661,0.0006719502977192513,8.881784197001252e-16,8.099215989263798e-16,0.0,7.206475000076651e-15,True,False,False,False
fermionic_reflection_pi_L1_deltam5,fermionic_reflection_pi,1.0,0.017453292519943295,-5.0,-0.08726646259971647,readout_off,0.0,720,2,4.16735514555391e-05,4.16735514555378e-05,1,7.464880959998417e-05,5.2888621764501585e-05,3.1108810079595846e-09,1.6263032587282567e-19,5.338838664797913e-16,4.0657581468206416e-20,1.1946891501253554e-16,True,False,False,False
fermionic_reflection_pi_L2_deltam5,fermionic_reflection_pi,2.0,0.03490658503988659,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.0001666942058221564,0.0001666942058221512,1,0.00014929761919996835,0.00010577724352900317,2.4887048063676676e-08,6.505213034913027e-19,5.338838664797913e-16,1.6263032587282567e-19,2.3893783002507107e-16,True,False,False,False
fermionic_reflection_pi_L5_deltam5,fermionic_reflection_pi,5.0,0.08726646259971647,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.0010418387863884854,0.0010418387863884437,1,0.00037324404799991357,0.00026444310882250786,3.8886012599493997e-07,5.204170427930421e-18,6.833713490941329e-16,8.673617379884035e-19,5.990623578797094e-16,True,False,False,False
fermionic_reflection_pi_L10_deltam5,fermionic_reflection_pi,10.0,0.17453292519943295,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.0041673551455539415,0.004167355145553775,1,0.0007464880959998271,0.0005288862176450157,3.1108810079595197e-06,2.0816681711721685e-17,6.833713490941329e-16,3.469446951953614e-18,1.1981247157594188e-15,True,False,False,False
fermionic_reflection_pi_L20_deltam5,fermionic_reflection_pi,20.0,0.3490658503988659,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.016669420582215766,0.0166694205822151,1,0.0014929761919996543,0.0010577724352900315,2.4887048063676158e-05,8.326672684688674e-17,6.833713490941329e-16,1.3877787807814457e-17,2.3962494315188376e-15,True,False,False,False
fermionic_reflection_pi_L35_deltam5,fermionic_reflection_pi,35.0,0.6108652381980153,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.05105010053303527,0.05105010053303349,1,0.0026127083359994293,0.0018511017617575552,0.0001333790232162655,2.220446049250313e-16,5.950444400275444e-16,5.551115123125783e-17,4.187405630573515e-15,True,False,False,False
fermionic_reflection_pi_L60_deltam5,fermionic_reflection_pi,60.0,1.0471975511965976,-5.0,-0.08726646259971647,readout_off,0.0,720,2,0.15002478523994078,0.15002478523993545,1,0.004478928575998786,0.0031733173058700955,0.0006719502977192358,8.881784197001252e-16,8.099215989263798e-16,1.6653345369377348e-16,7.241386310030684e-15,True,False,False,False
fermionic_reflection_pi_L1_deltap0,fermionic_reflection_pi,1.0,0.017453292519943295,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,7.473767804861416e-05,5.288941866927956e-05,0.0,2.168404344971009e-19,7.118451553063885e-16,4.0657581468206416e-20,1.238099464861272e-16,False,False,False,False
