candidate,fit_valid,case_count,loglog_slope,inverse_power_alpha,loglog_intercept,log_rmse,min_value,max_value,scattering_protocol,relation_offset_deg,inverse_square_match
max_f_xy_second_difference,True,7,0.9999999999999917,-0.9999999999999917,-5.454489015482266,1.339438347704979e-14,7.464880959998421e-05,0.004478928575998784,pass_through,-5.0,False
rms_f_xy_second_difference,True,7,0.9999999999999997,-0.9999999999999997,-5.799095366712206,1.538370149106851e-15,5.2888621764501605e-05,0.0031733173058700955,pass_through,-5.0,False
max_abs_A_XY,True,7,1.9999999999999987,-1.9999999999999987,-1.9891899579653147,3.724037654189733e-15,4.167355145553907e-05,0.15002478523994078,pass_through,-5.0,False
max_K_area_times_f,True,7,2.999999999999994,-2.999999999999994,-7.443678973447605,1.0292363680402997e-14,3.1108810079595535e-09,0.0006719502977192356,pass_through,-5.0,False
max_f_xy_second_difference,True,7,1.0000000000000075,-1.0000000000000075,-5.453299236399597,1.3565764989360492e-14,7.473767804861414e-05,0.004484260682916986,pass_through,0.0,False
rms_f_xy_second_difference,True,7,1.0000000000000004,-1.0000000000000004,-5.799080299222304,1.2103831605778603e-15,5.2889418669279585e-05,0.0031733651201567743,pass_through,0.0,False
max_abs_A_XY,False,0,0.0,0.0,,0.0,,,pass_through,0.0,False
max_K_area_times_f,False,0,0.0,0.0,,0.0,,,pass_through,0.0,False
max_f_xy_second_difference,True,7,1.000000000000003,-1.000000000000003,-5.45448901548223,3.1877351526431655e-14,7.46488095999817e-05,0.004478928575998944,pass_through,5.0,False
rms_f_xy_second_difference,True,7,1.0000000000000007,-1.0000000000000007,-5.79907726270432,1.2103831605778603e-15,5.288957926919431e-05,0.0031733747561516605,pass_through,5.0,False
max_abs_A_XY,True,7,2.0000000000000004,-2.0000000000000004,-1.9891899579653167,2.8731282430589014e-15,4.1673551455538696e-05,0.15002478523993898,pass_through,5.0,False
max_K_area_times_f,True,7,3.0,-3.0,-7.443678973447566,3.4815817211141265e-14,3.1108810079595204e-09,0.0006719502977192511,pass_through,5.0,False
max_f_xy_second_difference,True,7,0.9999999999999917,-0.9999999999999917,-5.454489015482266,1.339438347704979e-14,7.464880959998421e-05,0.004478928575998784,fermionic_reflection_pi,-5.0,False
rms_f_xy_second_difference,True,7,0.9999999999999997,-0.9999999999999997,-5.799095366712206,1.538370149106851e-15,5.2888621764501605e-05,0.0031733173058700955,fermionic_reflection_pi,-5.0,False
max_abs_A_XY,True,7,1.9999999999999991,-1.9999999999999991,-1.989189957965308,5.0389939855889205e-15,4.167355145553907e-05,0.15002478523994078,fermionic_reflection_pi,-5.0,False
max_K_area_times_f,True,7,2.999999999999992,-2.999999999999992,-7.443678973447606,1.0187814105296525e-14,3.1108810079595866e-09,0.0006719502977192356,fermionic_reflection_pi,-5.0,False
max_f_xy_second_difference,True,7,1.0000000000000075,-1.0000000000000075,-5.453299236399597,1.3565764989360492e-14,7.473767804861414e-05,0.004484260682916986,fermionic_reflection_pi,0.0,False
rms_f_xy_second_difference,True,7,1.0000000000000004,-1.0000000000000004,-5.799080299222304,1.2103831605778603e-15,5.2889418669279585e-05,0.0031733651201567743,fermionic_reflection_pi,0.0,False
max_abs_A_XY,False,0,0.0,0.0,,0.0,,,fermionic_reflection_pi,0.0,False
max_K_area_times_f,False,0,0.0,0.0,,0.0,,,fermionic_reflection_pi,0.0,False
max_f_xy_second_difference,True,7,1.000000000000003,-1.000000000000003,-5.45448901548223,3.1877351526431655e-14,7.46488095999817e-05,0.004478928575998944,fermionic_reflection_pi,5.0,False
rms_f_xy_second_difference,True,7,1.0000000000000007,-1.0000000000000007,-5.79907726270432,1.2560739669470201e-15,5.288957926919431e-05,0.0031733747561516605,fermionic_reflection_pi,5.0,False
max_abs_A_XY,True,7,2.0000000000000044,-2.0000000000000044,-1.9891899579653014,5.637984430613754e-15,4.1673551455538696e-05,0.15002478523994256,fermionic_reflection_pi,5.0,False
max_K_area_times_f,True,7,3.0000000000000027,-3.0000000000000027,-7.443678973447572,2.981687844466755e-14,3.110881007959487e-09,0.0006719502977192511,fermionic_reflection_pi,5.0,False
