filename	source_path	size_bytes	md5
inverse_square_phase_closure_ja.md	AB二体閉鎖位相系における未来位相位置加速度写像と調和閉鎖による逆二乗則_完成論文_v1.md	32401	126bca5c37aea9b576c0f519f3634a00
inverse_square_phase_closure_ja.tex	inverse_square_phase_closure_ja.tex	46953	40ba70a7f43b3a93de767de2d7dd8df8
inverse_square_phase_closure_ja.pdf	inverse_square_phase_closure_ja.pdf	1094607	b51492e98a13c5197ba051610e695f82
inverse_square_phase_closure_en.md	inverse_square_law_future_phase_position_acceleration_harmonic_closure_en.md	33785	bb8baaf8345c16c0b369155973cb1a13
inverse_square_phase_closure_en.tex	inverse_square_phase_closure_en.tex	47809	0beb494379cd933fdbd3c024a1d942fd
inverse_square_phase_closure_en.pdf	inverse_square_phase_closure_en.pdf	973168	62534e7d04578e2d09d2ebd0dacee84b
future_phase_position_inverse_square_mechanism_v1.png	figures/未来位置中心回転写像と調和位相逆二乗機構_v1.png	381507	81e19f875255eb458e911b6674ae7c6d
future_phase_position_inverse_square_mechanism_v1.svg	figures/未来位置中心回転写像と調和位相逆二乗機構_v1.svg	12097	567f768a0f6a2113c07448402ad29948
existing_ab_acceleration_second_difference_v1.png	figures/既存AB加速度時系列と二階差分整合_v1.png	632570	c53ece189df183c309e4ae42460c884e
existing_ab_acceleration_second_difference_v1.svg	figures/既存AB加速度時系列と二階差分整合_v1.svg	516757	0be565ec2c691ed62d4bb10f050b4dc8
existing_ab_acceleration_summary_v1.csv	tables/既存AB加速度発生集計_v1.csv	2397	d38b9171a7a40ca163b64a2b2c66bb62
existing_ab_acceleration_summary_v1.md	tables/既存AB加速度発生集計_v1.md	2261	cb46357ad142be875c3f811470d77d5b
make_existing_ab_acceleration_evidence_v1.py	make_existing_ab_acceleration_evidence_v1.py	17343	a56f6365ddcee03a4a402ecaf3583148
inverse_square_phase_closure_source_v1.zip	inverse_square_phase_closure_source_v1.zip	1121603	72ac714fe61c3cd0b1c812c42b94ac40
