body_count,relation_count,relation_names,trial_index,all_relations_are_physical_waves,observer_C_or_D_used,normalization_applied,absolute_background_axis_used,raw_generator_spectral_norm,update_orthogonality_error,max_closure_target_error_abs,max_hermitian_amplitude_drift,active_relation_wave_count,min_relation_activity_variance,max_relation_activity_variance,target_period_recurrence_error,generator_label_covariance_error,update_label_covariance_error,trajectory_label_covariance_error,initial_closure_real_E,initial_closure_imag_F,initial_hermitian_amplitude_sum,stationary_relation_system
2,1,AB,0,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,1,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,2,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,3,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,4,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,5,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,6,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,7,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,8,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,9,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,10,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,11,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,12,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,13,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,14,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,15,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,16,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,17,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,18,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,19,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,20,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,21,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,22,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,23,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,24,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,25,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,26,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,27,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,28,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,29,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,30,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,31,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
3,3,AB;BC;CA,0,True,False,False,False,1.4459987079663066,3.149474651249135e-16,2.378735415427638e-14,2.5757174171303632e-14,3,0.28317883522955833,0.47357020804465005,2.5988543094932425e-15,0.0,2.48374603233007e-16,5.477507118315502e-14,1.0,-1.3877787807814457e-17,1.2449999999999999,False
