step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
0,0,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,2.1671827626e-31,-2.1671827626e-31,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-6.1062266354e-16,-8.9034656157e-16,1.0796189314e-15,0.0000000000e+00,0,0
25,25,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,2.2622654053e-08,0.0000000000e+00,3,1.0000000000e+00,4.4065277128e-31,2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,0.0000000000e+00,-8.4225528559e-16,8.4225528559e-16,0.0000000000e+00,0,0
50,50,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,8.5670178751e-31,-8.5670178751e-31,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,-6.1062266354e-16,-7.8839660600e-16,9.9721073279e-16,0.0000000000e+00,0,0
75,75,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,1.8809702007e-30,-1.8809702007e-30,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,5.5511151231e-17,-6.7521697923e-16,6.7749498667e-16,0.0000000000e+00,0,0
100,100,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,7.4505805969e-09,0.0000000000e+00,2,1.0000000000e+00,3.9177868782e-30,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.8857805862e-16,-6.3612681396e-16,7.4541950007e-16,0.0000000000e+00,0,0
125,125,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.2155317529e-08,0.0000000000e+00,2,1.0000000000e+00,8.7651629645e-30,2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,4.9960036108e-16,-6.2920120981e-16,8.0342683751e-16,0.0000000000e+00,0,0
150,150,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,1.8293807441e-29,-1.8293807441e-29,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.4408920985e-16,-8.9040024705e-16,9.9500142022e-16,0.0000000000e+00,0,0
175,175,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.0536712128e-08,1.0536712128e-08,2,1.0000000000e+00,3.5626153038e-29,-3.5626153038e-29,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.8857805862e-16,-7.2588624734e-16,8.2334910683e-16,0.0000000000e+00,0,0
200,200,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,9.9665232259e-09,0.0000000000e+00,2,1.0000000000e+00,7.4365944980e-29,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,7.7715611724e-16,-7.1764004152e-16,1.0578179710e-15,0.0000000000e+00,0,0
225,225,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,9.7827728761e-09,0.0000000000e+00,2,1.0000000000e+00,1.5641994952e-28,-1.5641994952e-28,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,8.3266726847e-16,-6.8479225939e-16,1.0780886877e-15,0.0000000000e+00,0,0
250,250,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,0.0000000000e+00,3,1.0000000000e+00,3.2136803720e-28,-3.2136803720e-28,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.4408920985e-16,-6.3666914282e-16,7.7624920207e-16,0.0000000000e+00,0,0
275,275,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.0536712128e-08,0.0000000000e+00,2,1.0000000000e+00,6.5786184671e-28,2.2204460492e-16,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,6.1062266354e-16,-6.0502681538e-16,8.5960309711e-16,0.0000000000e+00,0,0
300,300,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.3614436166e-08,8.5518579992e-09,2,1.0000000000e+00,1.3616270420e-27,2.2204460492e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,6.6613381478e-16,-5.9689164217e-16,8.9443495665e-16,0.0000000000e+00,0,0
325,325,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.9942289365e-08,0.0000000000e+00,3,1.0000000000e+00,2.8038936614e-27,-2.8038936614e-27,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,4.9960036108e-16,-5.7589153486e-16,7.6239857077e-16,0.0000000000e+00,0,0
350,350,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,5.7775156078e-27,-5.7775156078e-27,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,4.4408920985e-16,-5.6013675999e-16,7.1482054824e-16,0.0000000000e+00,0,0
375,375,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,1.1875532001e-26,4.4408920984e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,5.5511151231e-17,-6.5758859495e-16,6.5992745671e-16,0.0000000000e+00,0,0
400,400,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.0536712128e-08,0.0000000000e+00,2,1.0000000000e+00,2.4420187273e-26,2.2204460490e-16,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,-1.1102230246e-16,-5.6342037901e-16,5.7425471276e-16,0.0000000000e+00,0,0
425,425,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.2904784140e-08,1.0536712128e-08,2,1.0000000000e+00,5.0116385128e-26,-5.0116385128e-26,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.1102230246e-16,-6.7186552713e-16,6.8097667962e-16,0.0000000000e+00,0,0
450,450,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,9.4094482516e-09,0.0000000000e+00,2,1.0000000000e+00,1.0282462579e-25,1.1102230236e-16,0.0000000000e+00,1.0000000000e+00,9.9920072216e-16,1.1102230246e-16,-9.1162301105e-16,9.1835857154e-16,0.0000000000e+00,0,0
475,475,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3306690739e-16,1.4142135624e+00,1.4142135624e+00,2.1410018389e-08,1.4413359337e-08,4,1.0000000000e+00,2.1078857524e-25,3.3306690718e-16,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,1.6653345369e-16,-9.2117731259e-16,9.3610951947e-16,0.0000000000e+00,0,0
500,500,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3306690739e-16,1.4142135624e+00,1.4142135624e+00,2.2585908792e-08,3.7737433185e-09,3,1.0000000000e+00,4.3234096065e-25,3.3306690696e-16,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,3.3306690739e-16,-9.9832935678e-16,1.0524234269e-15,0.0000000000e+00,0,0
525,525,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,1.4142135624e+00,1.4142135624e+00,3.9578086892e-08,1.0481365175e-08,3,1.0000000000e+00,8.8692640307e-25,1.3322676287e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,1.6653345369e-16,-1.1413791954e-15,1.1534642860e-15,0.0000000000e+00,0,0
550,550,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.2188474936e-15,1.4142135624e+00,1.4142135624e+00,7.4252521320e-08,8.5447351656e-09,3,1.0000000000e+00,1.8205141116e-24,4.2188474918e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,1.6653345369e-16,-1.0988805941e-15,1.1114278885e-15,0.0000000000e+00,0,0
575,575,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.4210854715e-14,1.4142135624e+00,1.4142135624e+00,1.3765430679e-07,1.0536712128e-08,3,1.0000000000e+00,3.7415666139e-24,1.4210854711e-14,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,1.6653345369e-16,-1.0375080948e-15,1.0507884839e-15,0.0000000000e+00,0,0
600,600,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.8516746176e-14,1.4142135624e+00,1.4142135624e+00,2.5664623125e-07,1.3867611765e-08,3,1.0000000000e+00,7.7172040475e-24,4.8516746168e-14,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,2.2204460493e-16,-1.2335857387e-15,1.2534103802e-15,0.0000000000e+00,0,0
625,625,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.6631140909e-13,1.4142135624e+00,1.4142135624e+00,4.7403511166e-07,0.0000000000e+00,3,1.0000000000e+00,1.6049690267e-23,1.6631140907e-13,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-1.6653345369e-16,-1.3964969746e-15,1.4063915497e-15,0.0000000000e+00,0,0
