step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
0,0,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,2.2479640093e-08,0.0000000000e+00,3,1.0000000000e+00,1.9924948981e-31,2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,-4.9960036108e-16,-8.9034656157e-16,1.0209395283e-15,0.0000000000e+00,0,0
25,25,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,3.7887856831e-31,2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-5.5511151231e-17,-9.5148979359e-16,9.5310771438e-16,0.0000000000e+00,0,0
50,50,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.0429760033e-08,0.0000000000e+00,2,1.0000000000e+00,1.3234147983e-30,2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-2.7755575616e-16,-1.1414079375e-15,1.1746698590e-15,0.0000000000e+00,0,0
75,75,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,4.3389336907e-09,0.0000000000e+00,2,1.0000000000e+00,4.3091546508e-30,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-1.6653345369e-16,-1.1768395350e-15,1.1885641264e-15,0.0000000000e+00,0,0
100,100,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,0.0000000000e+00,3,1.0000000000e+00,9.6802655683e-30,-9.6802655683e-30,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.2204460493e-16,-1.1539325793e-15,1.1751017846e-15,0.0000000000e+00,0,0
125,125,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,2.1152214736e-29,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,0.0000000000e+00,-1.1134630595e-15,1.1134630595e-15,0.0000000000e+00,0,0
150,150,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,4.2931301613e-29,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,4.4408920985e-16,-1.1238684145e-15,1.2084268449e-15,0.0000000000e+00,0,0
175,175,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,2.2204460493e-16,0.0000000000e+00,2,1.0000000000e+00,9.2723367542e-29,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,4.4408920985e-16,-1.1706822942e-15,1.2520831682e-15,0.0000000000e+00,0,0
200,200,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,6.9951322225e-09,0.0000000000e+00,2,1.0000000000e+00,1.9457660598e-28,2.2204460492e-16,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,4.9960036108e-16,-1.1047661770e-15,1.2124804438e-15,0.0000000000e+00,0,0
225,225,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,7.4505805969e-09,0.0000000000e+00,2,1.0000000000e+00,3.9096316482e-28,-3.9096316482e-28,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,7.2164496601e-16,-1.1454037654e-15,1.3537803524e-15,0.0000000000e+00,0,0
250,250,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,8.0785447448e-28,1.1102230246e-16,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,8.3266726847e-16,-1.0812537676e-15,1.3647140689e-15,0.0000000000e+00,0,0
275,275,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,-2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,7.9041729508e-09,0.0000000000e+00,2,1.0000000000e+00,1.6593204770e-27,-2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,7.2164496601e-16,-9.9981238173e-16,1.2330434930e-15,0.0000000000e+00,0,0
300,300,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,-2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,2.2204460493e-16,0.0000000000e+00,2,1.0000000000e+00,3.4254796547e-27,-2.2204460493e-16,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,6.1062266354e-16,-9.9839793709e-16,1.1703240910e-15,0.0000000000e+00,0,0
325,325,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,0.0000000000e+00,3,1.0000000000e+00,7.0265121210e-27,-7.0265121210e-27,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,4.9960036108e-16,-8.5031398126e-16,9.8622228099e-16,0.0000000000e+00,0,0
350,350,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,0.0000000000e+00,3,1.0000000000e+00,1.4421001183e-26,1.1102230245e-16,0.0000000000e+00,1.0000000000e+00,1.4432899320e-15,-3.3306690739e-16,-8.8789816601e-16,9.4831256346e-16,0.0000000000e+00,0,0
375,375,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,2.2204460493e-16,0.0000000000e+00,2,1.0000000000e+00,2.9597311833e-26,-2.9597311833e-26,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-2.7755575616e-16,-1.1806488881e-15,1.2128351061e-15,0.0000000000e+00,0,0
400,400,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,6.0750656598e-26,-6.0750656598e-26,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-1.6653345369e-16,-1.1010529762e-15,1.1135757934e-15,0.0000000000e+00,0,0
425,425,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,2.3732573281e-08,2.4487236190e-09,3,1.0000000000e+00,1.2468696069e-25,1.1102230234e-16,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-2.7755575616e-16,-1.2104418447e-15,1.2418561338e-15,0.0000000000e+00,0,0
450,450,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,0.0000000000e+00,3,1.0000000000e+00,2.5563104648e-25,1.1102230221e-16,0.0000000000e+00,1.0000000000e+00,1.6653345369e-15,-4.4408920985e-16,-1.1636347783e-15,1.2454963363e-15,0.0000000000e+00,0,0
475,475,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.0536712128e-08,1.0536712128e-08,2,1.0000000000e+00,5.2427693607e-25,2.2204460440e-16,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-4.9960036108e-16,-1.2544857244e-15,1.3503092067e-15,0.0000000000e+00,0,0
500,500,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,1.4142135624e+00,1.4142135624e+00,2.1385611317e-08,1.4449548206e-08,4,1.0000000000e+00,1.0751211007e-24,4.4408920877e-16,0.0000000000e+00,1.0000000000e+00,1.8873791419e-15,0.0000000000e+00,-1.1909007373e-15,1.1909007373e-15,0.0000000000e+00,0,0
525,525,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,1.4142135624e+00,1.4142135624e+00,4.2172895250e-08,1.4827283991e-08,4,1.0000000000e+00,2.2048623175e-24,1.3322676273e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-5.5511151231e-17,-9.4331221084e-16,9.4494413329e-16,0.0000000000e+00,0,0
550,550,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,4.1078251911e-15,1.4142135624e+00,1.4142135624e+00,7.4523916741e-08,0.0000000000e+00,3,1.0000000000e+00,4.5229850132e-24,4.1078251866e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-2.7755575616e-16,-6.7474336818e-16,7.2959976060e-16,0.0000000000e+00,0,0
575,575,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.3766765505e-14,1.4142135624e+00,1.4142135624e+00,1.3818854205e-07,1.4893202295e-08,4,1.0000000000e+00,9.2872735098e-24,1.3766765496e-14,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,-3.3306690739e-16,-6.1167281250e-16,6.9647483397e-16,0.0000000000e+00,0,0
600,600,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,4.7739590059e-14,1.4142135624e+00,1.4142135624e+00,2.5419588021e-07,1.1020335496e-08,3,1.0000000000e+00,1.9109510508e-23,4.7739590040e-14,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,0.0000000000e+00,-7.7204793825e-16,7.7204793825e-16,0.0000000000e+00,0,0
625,625,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.6409096304e-13,1.4142135624e+00,1.4142135624e+00,4.7121611968e-07,0.0000000000e+00,3,1.0000000000e+00,3.9526338012e-23,1.6409096300e-13,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-5.5511151231e-17,-8.6567706208e-16,8.6745504997e-16,0.0000000000e+00,0,0
650,650,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,5.6310511809e-13,1.4142135624e+00,1.4142135624e+00,8.7308599430e-07,1.4900331115e-08,4,1.0000000000e+00,8.2813092062e-23,5.6310511801e-13,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,5.5511151231e-17,-7.2006073165e-16,7.2219730350e-16,0.0000000000e+00,0,0
675,675,5,B,1,0,1.0000000000e-15,0.0000000000e+00,1.0000000000e+00,1.9347856650e-12,1.4142135624e+00,1.4142135624e+00,1.6178571646e-06,2.1073375232e-08,4,1.0000000000e+00,1.7907866623e-22,1.9347856648e-12,0.0000000000e+00,1.0000000000e+00,2.1094237468e-15,-2.2204460493e-16,-8.4986766854e-16,8.7839561736e-16,0.0000000000e+00,0,0
700,700,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999999999e-01,6.6457950254e-12,1.4142135624e+00,1.4142135624e+00,2.9986157268e-06,1.4901144206e-08,4,1.0000000000e+00,4.1918554693e-22,6.6457950250e-12,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,-5.5511151231e-17,-8.4237206902e-16,8.4419914154e-16,0.0000000000e+00,0,0
725,725,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999999998e-01,2.2829182988e-11,1.4142135624e+00,1.4142135624e+00,5.5576729452e-06,0.0000000000e+00,3,9.9999999999e-01,1.1891538851e-21,2.2829182987e-11,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,5.5511151231e-17,-8.5356171671e-16,8.5536488831e-16,0.0000000000e+00,0,0
