mask,fa_dial,fb_dial,f_A_mask,f_B_mask,R_joint,err
M1_even_ge6,0.0,0.0,5.228738023078678e-32,7.720550549456365e-32,6.474644286267524e-32,2.1895288505075267e-47
M1_even_ge6,0.0,0.3,5.228738023078678e-32,0.2999999999999999,0.14999999999999977,1.6653345369377348e-16
M1_even_ge6,0.0,0.7,5.228738023078678e-32,0.7,0.3499999999999996,3.885780586188048e-16
M1_even_ge6,0.0,1.0,5.228738023078678e-32,1.0,0.5000000000000002,2.220446049250313e-16
M1_even_ge6,0.3,0.0,0.14999999999999997,7.720550549456365e-32,0.07499999999999991,6.938893903907228e-17
M1_even_ge6,0.3,0.3,0.14999999999999997,0.2999999999999999,0.22499999999999984,8.326672684688674e-17
M1_even_ge6,0.3,0.7,0.14999999999999997,0.7,0.4249999999999997,2.220446049250313e-16
M1_even_ge6,0.3,1.0,0.14999999999999997,1.0,0.5750000000000003,3.3306690738754696e-16
M1_even_ge6,0.7,0.0,0.35,7.720550549456365e-32,0.17499999999999993,5.551115123125783e-17
M1_even_ge6,0.7,0.3,0.35,0.2999999999999999,0.32499999999999996,0.0
M1_even_ge6,0.7,0.7,0.35,0.7,0.5249999999999998,1.1102230246251565e-16
M1_even_ge6,0.7,1.0,0.35,1.0,0.6750000000000002,1.1102230246251565e-16
M1_even_ge6,1.0,0.0,0.5,7.720550549456365e-32,0.24999999999999978,2.220446049250313e-16
M1_even_ge6,1.0,0.3,0.5,0.2999999999999999,0.39999999999999997,5.551115123125783e-17
M1_even_ge6,1.0,0.7,0.5,0.7,0.6,0.0
M1_even_ge6,1.0,1.0,0.5,1.0,0.7500000000000001,1.1102230246251565e-16
M3_any_ge4,0.0,0.0,8.903100390521247e-32,1.1345257964278746e-31,1.0124179177399997e-31,0.0
M3_any_ge4,0.0,0.3,8.903100390521247e-32,0.2999999999999999,0.14999999999999977,1.6653345369377348e-16
M3_any_ge4,0.0,0.7,8.903100390521247e-32,0.7,0.3499999999999996,3.885780586188048e-16
M3_any_ge4,0.0,1.0,8.903100390521247e-32,1.0,0.5000000000000002,2.220446049250313e-16
M3_any_ge4,0.3,0.0,0.29999999999999993,1.1345257964278746e-31,0.14999999999999983,1.3877787807814457e-16
M3_any_ge4,0.3,0.3,0.29999999999999993,0.2999999999999999,0.2999999999999998,1.1102230246251565e-16
M3_any_ge4,0.3,0.7,0.29999999999999993,0.7,0.4999999999999998,1.6653345369377348e-16
M3_any_ge4,0.3,1.0,0.29999999999999993,1.0,0.6500000000000002,3.3306690738754696e-16
M3_any_ge4,0.7,0.0,0.7,1.1345257964278746e-31,0.34999999999999987,1.1102230246251565e-16
M3_any_ge4,0.7,0.3,0.7,0.2999999999999999,0.5000000000000002,3.3306690738754696e-16
M3_any_ge4,0.7,0.7,0.7,0.7,0.7,0.0
M3_any_ge4,0.7,1.0,0.7,1.0,0.85,0.0
M3_any_ge4,1.0,0.0,1.0,1.1345257964278746e-31,0.49999999999999956,4.440892098500626e-16
M3_any_ge4,1.0,0.3,1.0,0.2999999999999999,0.6500000000000002,3.3306690738754696e-16
M3_any_ge4,1.0,0.7,1.0,0.7,0.8500000000000002,2.220446049250313e-16
M3_any_ge4,1.0,1.0,1.0,1.0,1.0,0.0
