d_grid,overlap_abs,overlap_re,dN_B,flow_pred_err
0,0.9925855018982392,0.9925855018982392,0.2933290726500202,3.0531133177191805e-15
1,0.9209920245557331,0.9209920224408973,0.27217175280517125,7.771561172376096e-15
2,0.7193778043074811,0.7193777963896364,0.21259067505664442,2.7755575615628914e-17
3,0.42435802328638794,0.42435800499169724,0.1254063653335442,4.08006961549745e-15
4,0.08807094848348314,0.0880708641160979,0.026026719964431067,9.367506770274758e-16
5,0.23282117878180655,-0.23282115014557134,-0.06880335440615137,1.3739009929736312e-15
6,0.4885361766376065,-0.4885361609067169,-0.14437230723269234,1.915134717478395e-15
7,0.645344847356326,-0.645344828081177,-0.19071243696237805,1.9984014443252818e-15
8,0.6905829112413852,-0.6905828783710695,-0.20408119493300148,3.0531133177191805e-16
9,0.6327393055127689,-0.6327392460511699,-0.18698723275577933,2.581268532253489e-15
10,0.4971158546227332,-0.49711575022093996,-0.14690774923989813,8.881784197001252e-16
11,0.3185641221093841,-0.31856393615099765,-0.09414208024618986,2.733924198139448e-15
12,0.13331691270255017,-0.13331647546109943,-0.039397712379623195,2.310651670001107e-15
13,0.028136848800492217,0.028134939072863345,0.008314443009219907,3.1346453210900904e-15
14,0.14571290587376165,0.1457125488505369,0.04306100254945955,1.6445178552260131e-15
15,0.21138983546007062,0.21138956242848592,0.06246988717491564,6.591949208711867e-16
16,0.2280273723269583,0.22802705458737804,0.06738660229603877,2.498001805406602e-16
17,0.20625670614649577,0.2062562515167904,0.060952890073434185,9.367506770274758e-16
18,0.16052829337498078,0.16052758234222153,0.0474391443086164,2.1094237467877974e-15
19,0.10538652580650465,0.10538534377752232,0.031143498572209216,4.926614671774132e-16
20,0.05271902870092337,0.052716720700723405,0.01557885619598709,1.1934897514720433e-15
21,0.010316572961951459,0.010305843357999245,0.003045584958977443,2.112459512870757e-15
22,0.018371508237580277,-0.018366022029243957,-0.005427530625626176,2.7131075164277263e-15
23,0.033403237745743865,-0.03340026239992672,-0.009870452446967826,1.4866580189121237e-15
24,0.0372799224237878,-0.037276995520454576,-0.0110161054199166,1.9654416982817224e-15
25,0.03357930768726979,-0.03357551182010386,-0.009922242191838238,8.951173136040325e-16
26,0.02591695877053894,-0.02591130475679692,-0.007657314136594984,1.407728100755179e-15
27,0.017245603899670336,-0.017236554971565364,-0.0050937502873241725,2.3635607360183997e-15
28,0.009537882864268899,-0.009522108238694453,-0.0028139753945511936,5.650861722994449e-16
29,0.0037870046886657603,-0.003751657480671763,-0.0011086905940076441,3.0357660829594124e-15
30,0.0004931131682083213,-0.00011781621127112828,-3.481707110541965e-05,2.5197807165464048e-15
31,0.0017533594003591266,0.0016933661324884685,0.0005004239094261731,1.323810852604801e-16
32,0.002267703011391375,0.0022217211747095436,0.0006565635006936521,3.8630123405658523e-16
40,0.0004206560463519179,-0.00024005809767972244,-7.094201863722116e-05,1.8154965378269772e-16
48,0.00022357470740456202,0.0001519892838814305,4.491590458477468e-05,1.825328896278705e-15
64,0.0005010052751751823,0.00043106870885724477,0.00012738951392909925,2.3694696378584457e-15
96,0.0003336653730764544,2.8240100565391112e-05,8.34552035633429e-06,1.1128979546725856e-15
128,0.00034072891800583616,-6.686753090047452e-05,-1.976070655240747e-05,1.7657316581098925e-15
256,0.0002916141666679797,0.0002916141666679797,8.617787879838801e-05,7.076723105084448e-16
