th_p,fa,fb,nb0,offset,pred_offset,offset_err,M,pred_M,M_err,delta,signflip
0.05,0.0,0.0,1.0,0.04991670832341777,0.04991670832341404,3.726186026398182e-15,3.8951321071633316e-19,0.0,3.8951321071633316e-19,9.370614744819303e-17,False
0.05,0.0,0.2,1.0,0.04464686120967361,0.044646861209673344,2.636779683484747e-16,2.1721413098613636e-15,0.0,2.1721413098613636e-15,3.1366759702365483,False
0.05,0.0,0.4,1.0,0.03866531600681603,0.03866531600681515,8.81239525796218e-16,2.1523335160428408e-15,0.0,2.1523335160428408e-15,-0.7251987694322266,False
0.05,0.0,0.6,1.0,0.031570098320052524,0.03157009832005465,2.123301534595612e-15,1.4121321391027505e-15,0.0,1.4121321391027505e-15,-0.24793151688725037,False
0.05,0.0,0.8,1.0,0.022323430604838084,0.02232343060483667,1.4155343563970746e-15,1.7599715350501752e-16,0.0,1.7599715350501752e-16,-0.7857420236194909,False
0.05,0.0,1.0,1.0,2.6784130469081898e-15,0.0,2.6784130469081898e-15,2.320148357552735e-16,0.0,2.320148357552735e-16,3.0277299608616763,False
0.05,0.2,0.0,1.0,0.04464686120967998,0.044646861209673344,6.63358257213531e-15,1.3541144098203595e-18,0.0,1.3541144098203595e-18,-3.141592653589793,False
0.05,0.2,0.2,1.0,0.03993336665873244,0.039933366658731234,1.2073675392798577e-15,0.009983341664682567,0.00998334166468284,2.723515857283587e-16,-6.105283326982953e-17,False
0.05,0.2,0.4,1.0,0.03458330998510184,0.03458330998509976,2.0816681711721685e-15,0.014118577179996062,0.014118577179998867,2.805047860654497e-15,-1.3735664356832048e-13,False
0.05,0.2,0.6,1.0,0.028237154359998202,0.028237154359997647,5.551115123125783e-16,0.017291654992551236,0.01729165499254993,1.304512053934559e-15,-4.1978813441555445e-14,False
0.05,0.2,0.8,1.0,0.01996668332936628,0.019966683329365617,6.626643678231403e-16,0.019966683329365707,0.01996668332936568,2.7755575615628914e-17,7.293363232629562e-15,False
0.05,0.2,1.0,1.0,1.9012946921581666e-15,0.0,1.9012946921581666e-15,0.02232343060483588,0.02232343060483674,8.604228440844963e-16,1.5484923380283297e-14,True
0.05,0.4,0.0,1.0,0.0386653160068191,0.03866531600681515,3.948230631323213e-15,2.713228792592419e-18,0.0,2.713228792592419e-18,-3.141592653589793,False
0.05,0.4,0.2,1.0,0.034583309985098856,0.03458330998509976,9.020562075079397e-16,0.014118577179999136,0.014118577179998867,2.688821387764051e-16,-8.189656245111033e-15,False
0.05,0.4,0.4,1.0,0.02995002499405093,0.029950024994048426,2.5049406993105094e-15,0.019966683329364344,0.01996668332936568,1.3357370765021415e-15,-1.2475982902617795e-13,False
0.05,0.4,0.6,1.0,0.024454093006340022,0.024454093006340476,4.544975507059235e-16,0.024454093006341923,0.024454093006340553,1.3704315460216776e-15,9.680520993676345e-15,True
0.05,0.4,0.8,1.0,0.017291654992549647,0.017291654992549876,2.2898349882893854e-16,0.02823715435999741,0.028237154359997733,3.226585665316861e-16,5.0098972810552254e-15,True
0.05,0.4,1.0,1.0,1.3620504278199841e-15,0.0,1.3620504278199841e-15,0.031570098320053135,0.031570098320054744,1.609823385706477e-15,-5.252261545938362e-15,True
0.05,0.6,0.0,1.0,0.03157009832006173,0.03157009832005465,7.08461067588928e-15,5.5404959512377475e-18,0.0,5.5404959512377475e-18,-3.141592653589793,False
0.05,0.6,0.2,1.0,0.028237154359999083,0.028237154359997647,1.4363510381087963e-15,0.01729165499254921,0.01729165499254993,7.216449660063518e-16,-1.0063283459192288e-14,False
0.05,0.6,0.4,1.0,0.024454093006342367,0.024454093006340476,1.8908485888147197e-15,0.024454093006341836,0.024454093006340553,1.2836953722228372e-15,-4.862136317101093e-14,False
0.05,0.6,0.6,1.0,0.01996668332936549,0.019966683329365617,1.2836953722228372e-16,0.029950024994051513,0.02995002499404852,2.994132719535969e-15,3.4618113201037604e-15,True
0.05,0.6,0.8,1.0,0.01411857717999973,0.01411857717999882,9.107298248878237e-16,0.03458330998509974,0.03458330998509986,1.249000902703301e-16,4.756755302058796e-14,True
0.05,0.6,1.0,1.0,2.2647711743300663e-15,0.0,2.2647711743300663e-15,0.03866531600681631,0.038665316006815276,1.033895191682177e-15,2.7505033157518305e-16,True
