label,condition,support_size,support_min,support_max,N_rel_noncommon_with_A,n_counting_hypothesis_4Nrel,pair_norm,R_power_ratio_readout,theta,P_fermionic,P_bosonic,L_B,N_eff_B
A_equal,A_same_support_diff_amplitude,32,1,63,31,124,2.000000000000001,0.47656250000000067,0.761952071830808,0.9531250000000029,1.0468750000000007,0.005208969116210965,31.99999999999997
A_linear_decay,A_same_support_diff_amplitude,32,1,63,31,124,1.9999999999999987,0.44471952087286465,0.7300044379928813,0.8894390417457295,1.1105609582542706,0.004856801534221114,19.33126934984519
A_inverse_k,A_same_support_diff_amplitude,32,1,63,31,124,1.9999999999999973,0.06947332662949869,0.26672942707485103,0.13894665325899758,1.861053346741005,0.0005406925719050105,2.2144288773113066
A_exp_decay,A_same_support_diff_amplitude,32,1,63,31,124,2.0000000000000004,0.3771671522226772,0.6612949764797554,0.7543343044453547,1.2456656955546452,0.0030950178054895278,10.387172383050943
A_random_seed7,A_same_support_diff_amplitude,32,1,63,31,124,1.999999999999996,0.4663247583800114,0.7516974106945653,0.9326495167600227,1.0673504832399772,0.0041143056472328285,30.199017934015295
B_odds_full_63,B_same_norm_diff_support,32,1,63,31,124,2.000000000000001,0.47656250000000067,0.761952071830808,0.9531250000000029,1.0468750000000007,0.005208969116210965,31.99999999999997
B_odds_upto_31,B_same_norm_diff_support,16,1,31,15,60,2.000000000000001,0.4531250000000002,0.7384542258436902,0.9062500000000016,1.093750000000001,0.00260543823242188,16.000000000000014
B_odds_sparse_step4,B_same_norm_diff_support,16,1,61,15,60,2.0,0.46874999999999983,0.7541277824992024,0.9374999999999998,1.0625000000000007,0.001956939697265623,30.999999999999986
B_odds_full_minus_3,B_same_norm_diff_support,31,1,63,30,120,2.0000000000000018,0.4838709677419351,0.7692663325633244,0.9677419354838707,1.0322580645161303,0.004817331494699518,32.93548387096772
B_evens_control,B_same_norm_diff_support,32,1,62,31,124,2.0,0.0,0.0,0.0,2.0000000000000018,0.00466871261596681,31.031249999999954
