tau,f
0,1.0092797236847578e-30
1,1.5696246527052534e-30
2,2.9204079923156626e-30
3,5.3613417130834616e-30
4,8.755877311421934e-30
5,1.3302356560402387e-29
6,1.8511310383189887e-29
7,2.4974179828643584e-29
8,3.2411903854431955e-29
9,4.082972234417323e-29
10,5.0184201063723153e-29
11,6.074110104213036e-29
12,7.226691756764911e-29
13,8.498245023292328e-29
14,9.872618423335885e-29
15,1.1360607546550263e-28
16,1.2969354583763592e-28
17,1.4700007268852114e-28
18,1.654299433184533e-28
19,1.8509239406646557e-28
20,2.061012955405199e-28
21,2.2842085854557167e-28
22,2.5204149857088175e-28
23,2.7705386673152023e-28
24,3.0353191121418776e-28
25,3.313443340018748e-28
26,3.6081615458060634e-28
27,3.918187185731482e-28
28,4.244357520222506e-28
29,4.586696202106267e-28
30,4.947205559055997e-28
31,5.324422474882328e-28
32,5.72302978429814e-28
33,6.1388325598585745e-28
34,6.574057335035977e-28
35,7.02852093266321e-28
36,7.506479857792695e-28
37,8.006303060519705e-28
38,8.52908295196595e-28
39,9.077917131796938e-28
40,9.647396908705344e-28
41,1.0244411320466508e-27
42,1.0868382561766032e-27
43,1.1515848656919854e-27
44,1.2194781332775131e-27
45,1.2904766401546365e-27
46,1.3641706620309634e-27
47,1.44098480853087e-27
48,1.5216993054721162e-27
49,1.6054486233867328e-27
50,1.6929242922476933e-27
51,1.7841208276685553e-27
52,1.879093136708326e-27
53,1.9780730592025923e-27
54,2.0810007288227386e-27
55,2.1884599280368314e-27
56,2.3006161694587304e-27
57,2.416989502318498e-27
58,2.5384996725166704e-27
59,2.6648604597801202e-27
60,2.7964869825097173e-27
61,2.933696576031935e-27
62,3.0762924847857784e-27
63,3.2251944290930254e-27
64,3.3797819984578e-27
65,3.5408322183439596e-27
66,3.708220060539244e-27
67,3.882446633583432e-27
68,4.063377600665556e-27
69,4.2519726374425015e-27
70,4.448139390683375e-27
71,4.652107311995401e-27
72,4.864748294830148e-27
73,5.0849474241550195e-27
74,5.3145429681467316e-27
75,5.553545981132403e-27
76,5.8016100538841136e-27
77,6.0596605759448156e-27
78,6.327442423474903e-27
79,6.606475546593095e-27
80,6.896166086681832e-27
81,7.197359262923645e-27
82,7.511104170736649e-27
83,7.83682872015402e-27
84,8.174957323693251e-27
85,8.527288395928491e-27
86,8.89253893047904e-27
87,9.272354436623177e-27
88,9.667228412844279e-27
89,1.0076741710582615e-26
90,1.0503196086955623e-26
91,1.0945922519039604e-26
92,1.1405162735116712e-26
93,1.1883110959209635e-26
94,1.2379087277862704e-26
95,1.2894811065033768e-26
96,1.3430358130140263e-26
97,1.3986463425352244e-26
98,1.4564446876976986e-26
99,1.5164037613500235e-26
100,1.5786988668267206e-26
101,1.6434148580432633e-26
102,1.710621815546629e-26
103,1.780389368117802e-26
104,1.85291091719041e-26
105,1.9281376802567064e-26
106,2.0062761358146397e-26
107,2.0873895301034862e-26
108,2.1716188639654628e-26
109,2.2590559831829433e-26
110,2.3497710282571768e-26
111,2.4440517245174514e-26
112,2.5419403074299448e-26
113,2.6435874837070406e-26
114,2.7489296561515167e-26
115,2.8581793563237206e-26
116,2.971813252524354e-26
117,3.089637649239319e-26
118,3.2120076710984735e-26
119,3.338914323331891e-26
120,3.470717066243987e-26
121,3.6075537927324285e-26
122,3.7493839451199993e-26
123,3.896634379071642e-26
124,4.0494608851670413e-26
125,4.20806280708602e-26
126,4.372516631631687e-26
127,4.5432884488969086e-26
128,4.720407435215714e-26
129,4.904310792935509e-26
130,5.0949359883147077e-26
131,5.292852278096622e-26
132,5.498110748250109e-26
133,5.711089814518444e-26
134,5.932115469960281e-26
135,6.16111309652641e-26
136,6.398909439894389e-26
137,6.645540911801068e-26
138,6.901415850038555e-26
139,7.166873376056609e-26
140,7.442320646078027e-26
141,7.72790194076844e-26
142,8.024192728136289e-26
143,8.331475002470226e-26
144,8.650236196688028e-26
145,8.980795377717693e-26
146,9.323836768598578e-26
147,9.679302025046919e-26
148,1.0048365417937855e-25
149,1.0430971438453312e-25
150,1.0827692283765184e-25
151,1.1239086382827996e-25
152,1.1666069846161426e-25
153,1.2108625001759568e-25
154,1.2567759573206521e-25
155,1.3043767619385515e-25
156,1.3537627477424667e-25
157,1.4049719349592952e-25
158,1.4580861415693582e-25
159,1.5131646660302943e-25
160,1.570286884341054e-25
161,1.629516495761862e-25
162,1.6909113175522428e-25
163,1.7546222105732646e-25
164,1.8206299600325205e-25
165,1.8891277377265835e-25
166,1.9601087397361642e-25
167,2.033753129073748e-25
168,2.1100990682668766e-25
169,2.1892480030949267e-25
170,2.2713426272422035e-25
171,2.3564579603218314e-25
172,2.4446941115930376e-25
173,2.5362060480070547e-25
174,2.6311113916294677e-25
175,2.7295003342974816e-25
176,2.8314862435450894e-25
177,2.937232918384342e-25
178,3.0468916728698183e-25
179,3.160554018691065e-25
180,3.2783957180088783e-25
181,3.4006003454423374e-25
182,3.5272659330520955e-25
183,3.6586167497666888e-25
