t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
0,108.81778016906239,-22.69453444330077,6.561455524124716,9.783412102714923,0.9914448613738107,-0.13052619222005177,0.9914448613738106,0.13052619222005177,1.0000000000000002,1.0000000000000002,3.6749447442824487e-16,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,108.81778016906242,-22.69453444330079,6.561455524124704,10.226992905117164,0.8208645589653509,-0.47397186001692515,0.8669650065164551,-0.3416813496170206,0.9478754919572949,0.931866120856524,0.27999999576454604,1,1,0,0,0.392740639868852,0.5063199629927455,0.5257833691573054,0.28967851431861114,-0.45213410803214665,3.645780933299365e-15
2,108.81778016906233,-22.694534443300736,6.561455524124776,10.3378768790441,0.43983873814967045,-0.7719724459005237,0.5921316128890501,-0.6847858702266978,0.8884816108433147,0.9052908566006418,0.41871843015472826,1,1,5,3,0.12518800592016177,0.5820645341846218,0.9734840636203546,0.43027865617745276,-0.9522639024600547,3.951785294124777e-15
3,108.81778016906233,-22.694534443300764,6.561455524124803,10.619446094743173,-0.03159070922297411,-0.8263414574674405,0.0671547730899942,-0.8130471329789902,0.8269450871966193,0.8158157904785397,0.537431325892009,1,1,5,3,0.43091008085466065,0.04849034915219086,1.4021966985674104,0.564423336478702,-1.55066656888814,4.196042154295815e-15
4,108.81778016906247,-22.694534443300753,6.561455524124863,10.678104047589816,-0.4830476550045866,-0.6536815924731573,-0.2921882844765644,-0.7336518441378456,0.8127943536612893,0.7896955248652605,0.5973029855913727,1,1,4,3,0.01809740998494025,0.509909996233656,1.669468096924013,0.6294348388520635,-2.0837846486644285,8.719038305032283e-15
5,108.8177801690628,-22.694534443300853,6.561455524124903,10.643236632598883,-0.7088752354037242,-0.31548483537632965,-0.5806604604649883,-0.426437482863921,0.7759090028612345,0.72042730177217,0.6552148209029955,1,1,4,2,0.4975680750596094,0.5025429229960041,1.8205777613185083,0.7006845732097007,-2.6282039143935854,8.807688298377954e-15
6,108.81778016906267,-22.694534443300796,6.561455524125016,10.721025602416114,-0.7307275543366268,0.1372673776243543,-0.6867116525508046,-0.023224994104257823,0.7435086358790024,0.6871042818235087,0.6921940638048971,1,1,3,2,0.05478662087568953,0.09709198884097958,1.8535953667522935,0.7472672587408407,3.0520464202895834,1.138915848207832e-14
7,108.81778016906273,-22.69453444330076,6.5614555241251065,10.842101611108491,-0.5166205929647227,0.476937540320153,-0.5264862441195668,0.35202794388878567,0.7031118363687666,0.6333335918184777,0.7306709151103661,1,1,2,2,0.4326182069896869,0.7202648205833713,1.7478643613949185,0.7994968634085248,2.4579838191712726,1.1207851939232767e-14
8,108.81778016906293,-22.69453444330074,6.561455524125132,10.834285009789571,-0.14298893692247028,0.6637958380468822,-0.3043372475824343,0.5437121406673839,0.6790219073716112,0.6230923303774177,0.7619837032446124,1,1,2,1,0.18053009717111967,0.3793904161940693,1.561021189392579,0.8406215069230317,1.9152858569646007,1.0415311435502434e-14
9,108.81778016906318,-22.694534443300732,6.561455524125138,10.818657053985989,0.22259114534951444,0.616593508237567,0.011652039097357354,0.5694955000101054,0.6555412819866642,0.5696146895462636,0.7942226754917391,1,1,1,1,0.3080566266865086,0.15135712256676026,1.3211345145681646,0.8885326600600667,1.358886290172007,9.830381709570815e-15
10,108.81778016906307,-22.694534443300675,6.561455524125126,10.785555069938313,0.5272374417260487,0.3766922472154446,0.3176928802949643,0.4677296373287844,0.6479786794872576,0.565420003029453,0.8009830218109749,1,1,1,1,0.29593023222110304,0.7275450652373054,1.0691237686601536,0.8988758579203615,0.7685420408037767,1.0511571541593013e-14
11,108.81778016906324,-22.69453444330074,6.56145552412502,10.796919374364535,0.6311291527017732,0.052585317828013775,0.49918154967985406,0.17405942389462567,0.6333160530423426,0.5286576421345951,0.8107911665641988,1,1,0,0,0.21402711292428833,0.20460727072234386,0.9238527764055938,0.9139997760380246,0.17657520172561936,9.489845416460268e-15
12,108.81778016906308,-22.694534443300682,6.561455524124968,10.899507353344443,0.5216714840397679,-0.3243935591890855,0.5212059977986809,-0.14440730983684455,0.6143063718565978,0.5408411627045717,0.8169666955557142,1,1,0,0,0.42542038941114635,0.4011835810224764,0.9788608651812487,0.921825220140981,-0.43764392932197604,9.943130177287564e-15
13,108.81778016906284,-22.694534443300675,6.5614555241247965,10.804538476991233,0.26867676559097087,-0.5297236470462445,0.35418831645502213,-0.35584484426804336,0.5939649371877096,0.5020706292001066,0.8380249834963489,1,1,5,3,0.07669332210823931,0.6521654449306293,1.1804150334363865,0.956145962999264,-0.9779873320341523,1.1187789398263461e-14
14,108.81778016906286,-22.694534443300626,6.561455524124854,10.775630973610195,-0.12533537561265376,-0.5769723377191776,0.11580259846584132,-0.5028334816195368,0.5904286873730795,0.5159958837520565,0.8431522389878557,1,1,4,3,0.44059235477662284,0.09545369274705351,1.423852457071922,0.9663416038490814,-1.5964568359690199,1.1338520735970972e-14
15,108.81778016906289,-22.69453444330062,6.561455524124893,10.859973175383885,-0.4346588484747128,-0.4123587526068665,-0.17513305637287574,-0.4406454595195889,0.5991394290220385,0.47417297311185347,0.8505560889420112,1,1,4,3,0.1572213966928384,0.5092029605397155,1.620891224937606,0.9813409954813335,-2.2204672477200353,1.1519683498039958e-14
16,108.8177801690629,-22.6945344433006,6.5614555241248524,10.852283637677182,-0.5829337568594517,-0.12793768797745694,-0.40064055877756755,-0.24775389245490367,0.5968080234809947,0.4710571606123375,0.8467470363784406,1,1,3,2,0.3469464011776111,0.4229354451630858,1.7304155180645127,0.9729494586378088,-2.8052237343893145,1.35243966502246e-14
17,108.81778016906269,-22.69453444330057,6.561455524124795,10.8816095584926,-0.5552155019379532,0.20918489545712404,-0.46054546130627927,0.02430393914395841,0.5933149029643712,0.46118630008677275,0.8487305653333659,1,1,3,2,0.22941609789035766,0.1836228613769002,1.7356523548806593,0.9764233268282092,2.885591255110944,1.6136424748763132e-14
18,108.81778016906253,-22.69453444330057,6.561455524124836,10.836654319418209,-0.3317313523450607,0.47287628193635045,-0.3772888846241609,0.2834854661772241,0.5776310830855881,0.47192256991445264,0.8519741802500214,1,1,2,2,0.2190451307797079,0.7752802737062119,1.6408954332798822,0.9799030397634223,2.29967846968288,1.7148429229424152e-14
19,108.81778016906262,-22.694534443300604,6.561455524124847,10.817602649549434,0.00405438233696824,0.5846697138777439,-0.17965318643091469,0.428299844250027,0.5846837712319517,0.4644523915100216,0.8563297927297764,1,1,2,1,0.39963345379776927,0.2662662704164349,1.464840881070948,0.9897837748338878,1.7141415713287507,2.0230963602742484e-14
