t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
0,66.00000000000001,-5.795554957734414,-1.5529142706151222,10.954451150103322,2.0816681711721685e-17,-1.0061396160665481e-16,0.9914448613738107,0.1305261922200516,1.0274484662343186e-16,1.0000000000000002,3.34064194504919e-16,0,1,-1,0,nan,0.0,0.0,0.0,0.0,0.0
1,66.00000000000003,-5.795554957734414,-1.5529142706151253,10.918564894040655,-0.00035317871117090255,0.00537539915273666,0.9123537375916244,-0.4021006780008272,0.005386989071203536,0.9970327465766265,0.04704951342570047,1,1,-1,0,nan,0.5460170952332333,0.5406374173475077,0.047332345173353385,-0.5456056921652094,1.7123051883716159e-15
2,66.00000000000004,-5.795554957734414,-1.552914270615127,10.925926121030885,-0.0006088614503911918,0.00926690432080493,0.5510218107164907,-0.8277265281607769,0.009286884728299666,0.9943622284189869,0.08111087695402502,1,1,-1,3,nan,0.45643694725681794,1.0570177073588893,0.08164366436635492,-1.1120407718726175,4.9249411160526494e-15
3,66.00000000000006,-5.795554957734418,-1.5529142706151258,10.952458031588606,-0.0006747679772436529,0.010270005236563996,0.021540039188415176,-0.994884315830233,0.010292148433741393,0.9951174680273828,0.08989076634685406,1,1,-1,3,nan,0.1092522781042824,1.4866602126960298,0.09049849929264282,-1.6765044461172556,7.0635491068933304e-15
4,66.00000000000007,-5.795554957734418,-1.552914270615151,10.912145037165185,-0.0005386122794840895,0.008197708126834478,-0.5026242435498025,-0.8625703865833659,0.00821538323636695,0.9983280032206793,0.07175247225633571,1,1,-1,3,nan,0.6585053498732076,1.7934211024460578,0.07221066710266978,-2.226565949046574,6.229901047670579e-15
5,66.00000000000009,-5.795554957734409,-1.5529142706151582,10.935786989975401,-0.00023102661369112099,0.0035162375993053815,-0.8891623281741925,-0.4586591945180745,0.003523818972507308,1.0004888318017944,0.03077674111925987,1,1,-1,2,nan,0.34533386834223023,1.9698986551638513,0.030956787993988617,-2.79548745494863,7.155815227991313e-15
6,66.0000000000001,-5.795554957734419,-1.5529142706151442,10.946884236660948,0.00014130520456427653,-0.00215067288278728,-0.9960347616429035,0.07780512538410846,0.002155309956733254,0.9990690085960391,0.018824297470350998,1,1,-1,2,nan,0.2088562586407523,1.9890072123038822,0.018933001467648522,2.9326470788095453,9.036150482437298e-15
7,66.00000000000011,-5.79555495773442,-1.5529142706151609,10.909196418449005,0.0004680394978749461,-0.007123586560421988,-0.805018730954522,0.5860661521339772,0.007138945752377994,0.9957553373518795,0.06235095701555031,1,1,-1,2,nan,0.760181653225418,1.8568840993028464,0.06273907961329206,2.3824654297890677,9.780374966774678e-15
8,66.0000000000001,-5.795554957734415,-1.5529142706151569,10.944846156615741,0.0006593251312222749,-0.010034964281963772,-0.3570226738678316,0.9278832096357061,0.010056600706448971,0.9941993966904203,0.0878335121346847,1,1,-1,1,nan,0.2364098105588468,1.5723869058716287,0.0884232240104025,1.8102040671879882,9.488670459814654e-15
9,66.00000000000014,-5.795554957734426,-1.5529142706151309,10.938727386149916,0.0006453434774136534,-0.009822162752144675,0.18600732208193044,0.9787010219547101,0.00984334035444567,0.9962200631603867,0.08597091400015688,1,1,-1,1,nan,0.3187150187628127,1.1756802294541406,0.08654455758483094,1.2555516214722833,6.008594062026364e-15
10,66.00000000000014,-5.79555495773443,-1.5529142706151244,10.910360639815993,0.00043768368191438034,-0.0066615693939446954,0.6760534961583958,0.7361685322588332,0.006675932428938659,0.9994960918163286,0.058307037250818976,1,1,-1,0,nan,0.6970404810667503,0.6868209798507325,0.0586663578223067,0.6990470903425843,5.522528973319621e-15
11,66.00000000000011,-5.795554957734426,-1.5529142706151233,10.951410464775185,8.833521226649793e-05,-0.0013444667250758664,0.9665487959312691,0.25786207934861427,0.00134736553487255,1.0003546505525813,0.011767778249484209,1,1,-1,0,nan,0.12981448421221486,0.1304651107882986,0.011835410113600122,0.13002328668646435,4.895209292463072e-15
12,66.0000000000001,-5.7955549577344305,-1.5529142706151082,10.929366292177074,-0.0002757348495870532,0.004196699376178132,0.9572637608609195,-0.28167872817324124,0.004205747895593685,0.9978460872112925,0.036732651479952,1,1,-1,0,nan,0.41707666383748876,0.4154354011135144,0.036949421008078735,-0.4169438204621846,6.3809056221637474e-15
13,66.00000000000013,-5.795554957734438,-1.552914270615103,10.915528140365675,-0.0005631590453080912,0.00857131123495438,0.6579526582011104,-0.7460726845149719,0.008589791871562866,0.9947492905316817,0.07502252606106588,1,1,-1,3,nan,0.5918182662415967,0.9404265856160797,0.07550620347131545,-0.9771423716855988,9.184115698050227e-15
14,66.0000000000001,-5.7955549577344385,-1.5529142706151031,10.954346913950808,-0.0006783305580342572,0.010324227909563485,0.15008068956228554,-0.98322929333725,0.010346488016451412,0.9946175429057941,0.0903653637318591,1,1,-1,3,nan,0.020571722269146164,1.3972107689317501,0.09097729549172963,-1.5467936646049307,9.527832038370238e-15
15,66.00000000000009,-5.795554957734456,-1.552914270615087,10.920378078416222,-0.0005876191607202368,0.008943595519099852,-0.38623982912199695,-0.9197102567721889,0.008962878839263002,0.9975210083061685,0.07828103653208486,1,1,-1,3,nan,0.5284921205632802,1.7320511026522218,0.07879072045639758,-2.096194298561729,1.2449052398929191e-14
16,66.00000000000004,-5.795554957734456,-1.5529142706150596,10.923786699016418,-0.0003144763360671335,0.004786346903096969,-0.8199391982002058,-0.5729355682802613,0.0047966667637779625,1.0002776885174547,0.04189368760879519,1,1,-1,2,nan,0.47898935389466324,1.942221470719944,0.04214307857024157,-2.6613864966015526,1.5445599793760634e-14
17,66.00000000000003,-5.795554957734461,-1.55291427061505,10.953246547532832,5.53032730015654e-05,-0.0008417188166588057,-0.9984501494550524,-0.04967636562819682,0.0008435336497865308,0.9996851715659499,0.007367352570433778,1,1,-1,2,nan,0.08118721034319698,1.9983357653996077,0.0074096153836352594,3.0603333151933043,1.2985052889922049e-14
18,66.00000000000003,-5.795554957734466,-1.5529142706150514,10.913326433895502,0.000399570633367409,-0.006081486726484762,-0.8757513532550603,0.4755151321897741,0.006094599043042944,0.9965214868077494,0.053229719925123924,1,1,-1,2,nan,0.6283370004483917,1.9016935630523684,0.053553907436201684,2.5138917345665726,1.3933225238862335e-14
19,66.00000000000006,-5.795554957734461,-1.5529142706150527,10.933563857682191,0.0006320801119126598,-0.009620293609363208,-0.4782667318422327,0.8716363105655429,0.00964103596084104,0.9942278032138117,0.0842040042928588,1,1,-1,1,nan,0.3709447900014702,1.6514300204712715,0.08476261779239999,1.9443447948823505,1.7617637251818087e-14
20,66.00000000000009,-5.795554957734461,-1.5529142706150405,10.948410768008703,0.0006667904614380941,-0.010148587013044906,0.0593508254066054,0.9937381485542225,0.010170468419930743,0.9955089293263116,0.08882802325089148,1,1,-1,1,nan,0.19055364495010707,1.2765821596950329,0.08942641056811801,1.3837959845493157,2.014428870968393e-14
21,66.00000000000014,-5.795554957734472,-1.5529142706150143,10.909514508848273,0.0005025055065045227,-0.007648161082418836,0.5725880849580777,0.8183933885610795,0.007664651311487916,0.9988117207344159,0.06694242553987641,1,1,-1,1,nan,0.7413900235776043,0.8099853736732785,0.0673642013158222,0.8318763243676008,2.205306336422843e-14
22,66.00000000000014,-5.795554957734472,-1.552914270615012,10.942966093534714,0.00017637872955843237,-0.0026844938368173234,0.924500240805842,0.3825084946441073,0.002690281884143526,1.000506593543971,0.023496697682866892,1,1,-1,0,nan,0.261400433735576,0.2622077783149564,0.023632974281341586,0.26192512824440695,2.45534681864761e-14
23,66.00000000000016,-5.7955549577344705,-1.552914270615008,10.940727244917387,-0.00019434859204933014,0.0029579961192270476,0.9861153227005475,-0.15754164042312618,0.0029643738658600115,0.9986204474834343,0.025890594199653404,1,1,-1,0,nan,0.2893207960379338,0.28947649927324354,0.026041144414766695,-0.2893601268330127,2.64819789424825e-14
