t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
0,15.000000000000004,-3.4641016151377544,1.7208456881689926e-15,4.7539457296018846,0.9659258262890683,-0.2588190451025207,2.7755575615628914e-17,-5.551115123125783e-17,1.0,6.206335383118183e-17,1.1102230246251564e-16,1,0,0,-1,0.0,nan,0.0,0.0,0.0,0.0
1,14.999999999999996,-3.464101615137764,-1.5654144647214707e-14,4.814025312542823,0.07884729729797386,-0.9590003438265742,0.03577861487080647,0.11569071393320564,0.9622362265840351,0.12109686442038173,0.21512350485868245,1,1,2,-1,0.8674318665418692,nan,1.1987274934531602,0.2438867580476984,-1.2764069684826562,2.9815310972453604e-15
2,15.000000000000004,-3.4641016151377535,-1.509903313490213e-14,4.822468536875799,-0.8572954703393669,-0.3544933618094799,0.0434150518452375,0.10130496690424257,0.9276966460171036,0.11021598362394786,0.22016191662356374,1,1,2,-1,0.3933066205862561,nan,1.8853472915169753,0.24405354833598367,-2.499969863885082,2.694817218966091e-15
3,15.00000000000002,-3.4641016151377606,-1.9484414082171497e-14,4.916255612938268,-0.6884811336602659,0.6917061000616624,0.005811912010975306,-0.06671220559377579,0.9759424164717093,0.06696489152092706,0.22809980817857045,1,1,1,-1,0.5212621646998437,nan,1.9114513940968083,0.23790153594050062,2.5884973051889024,4.833117680802886e-15
4,15.000000000000053,-3.4641016151377606,-9.992007221626409e-15,4.896674971724094,0.29158560965511976,0.8633887040167922,-0.06683025605675177,-0.1350893192596116,0.9112969998753118,0.15071631398968152,0.3241290567279145,1,1,1,-1,0.5874947879274193,nan,1.330187872897362,0.35812397510208105,1.4472819990200487,4.011885798080181e-15
5,15.000000000000062,-3.46410161513775,-3.1086244689504383e-15,4.825700856905245,0.9330084060480945,0.07657417697150284,-0.04206393875807923,-0.02059701212792711,0.9361454429388999,0.04683601021053583,0.30663714764743694,1,1,0,-1,0.34368818626375175,nan,0.44917423457226113,0.31350264083203233,0.33139506693599813,4.2169967159065435e-15
6,15.000000000000071,-3.4641016151377575,2.220446049250313e-16,4.803995511925122,0.4413612401925325,-0.8351925424698552,0.02102792784301094,0.12047225812681185,0.9446408456876885,0.12229365775682752,0.32429823542116337,1,1,0,-1,0.8228457206228157,nan,0.8916684804024818,0.34845047347912245,-0.8744714186838904,3.674374191724867e-15
7,15.000000000000075,-3.464101615137781,-1.2712053631958042e-14,4.91614462515999,-0.6293240685271069,-0.6712590981059623,0.07675928460534184,0.07656856136295928,0.9201290996471857,0.10841924350555639,0.3225514879995677,1,1,2,-1,0.032232084380416914,nan,1.7190191365770464,0.3425734655070999,-2.102821574379476,1.3139906937417283e-14
8,15.000000000000078,-3.4641016151377824,-1.8041124150158794e-14,4.880109147552268,-0.9092875897099678,0.31376392373471884,0.0049194786246681554,0.011392372373049672,0.9619000575101184,0.012409166701466795,0.25688230273460894,1,1,1,-1,0.9767247119209443,nan,1.9819819039210802,0.25932307183156217,3.073345800207647,1.9516216103786824e-14
9,15.00000000000005,-3.4641016151377757,-2.7533531010703882e-14,4.832629796024089,-0.11411211365289814,0.9556499168132346,-0.06621075386269526,-0.08709763678528122,0.962438745057302,0.10940686569245638,0.2866943151355811,1,1,1,-1,0.14295423458790646,nan,1.621235378059387,0.307375875549489,1.9068678242509738,1.7551610099574434e-14
