t,delta_NL
0,0.0
1,1.4016494332398046
2,1.8765829170297839
3,1.7418935846938919
4,1.3153570084921287
5,1.212924618171487
6,1.6132332119408268
7,1.9324150970413305
8,1.8911540758726106
9,1.5226160550894172
10,1.1510118214933354
11,1.4158353379795838
12,1.8372147301814628
13,1.9622560323038172
14,1.7758657564672289
15,1.3039974936963044
16,1.199078125411173
17,1.6401802027866461
18,1.9411958294743423
19,1.9329980235296278
20,1.5646469979157587
21,1.1228618600154616
22,1.3272858670661931
23,1.762993885240926
24,1.9806441050390922
25,1.8345302883025005
26,1.3462740137960396
27,1.052594514050459
28,1.4326549723413244
29,1.831343132384981
30,1.957938388027651
31,1.6880858388883835
32,1.1601704083100235
33,1.0202681624554688
34,1.4965934809671582
35,1.8709814684732633
36,1.9123488779939395
37,1.536633872192468
38,0.9929318315541138
39,1.0917808633453647
40,1.5991476552044004
41,1.901698302173817
42,1.8444730341080222
43,1.3727125964590414
44,0.8962605251299638
45,1.2392527956980064
46,1.7223146290685734
47,1.9257676321106267
48,1.7365425834903698
49,1.183176063907438
50,0.8721481397833137
51,1.3738063847951343
52,1.8075981286894107
53,1.9231120610325387
54,1.6106650499886888
55,0.9916574399212521
56,0.9346269390989816
57,1.4883959572170775
58,1.8563457272037545
59,1.8899934142734707
60,1.4797890589780465
61,0.8537701418609757
62,1.0609018435872888
63,1.6120672855586577
64,1.8965789648713465
65,1.817899236155525
66,1.3066305104296385
67,0.7698160912293813
68,1.219320047514252
69,1.726288883445528
70,1.921063838185679
71,1.7054406763830292
72,1.0834162537905827
73,0.8064896805023203
74,1.3823727734445
75,1.8080082079678672
76,1.9136000426296047
77,1.5792126719361927
78,0.895788469890533
79,0.917686287796555
80,1.5150771880456122
81,1.8633426393197816
82,1.8718534503438105
83,1.4345500249291285
84,0.7608521261634789
85,1.0581347502164071
86,1.6312492766831972
87,1.9045398355436072
88,1.797543331438548
89,1.240340840323591
90,0.7227375806063631
91,1.2339225830846303
92,1.730757715182612
93,1.9243696545296456
94,1.6892266929651387
95,1.0264858696062829
96,0.8004258286533075
97,1.407249446196934
98,1.8148097402675123
99,1.9079646024195793
100,1.5538102195207948
101,0.8414508930552763
102,0.9321969386707758
103,1.5445518152023725
104,1.8763964834667155
105,1.8621698650259448
106,1.389527775879354
107,0.7488391688147517
108,1.0992076142917355
109,1.652450354820379
110,1.9176702694193641
111,1.7903690066474511
112,1.209109562359793
113,0.7558337499343182
114,1.2693155881038631
115,1.7482454284108075
116,1.9271233419882252
117,1.680885761946453
118,1.0098719766922293
119,0.8380244835879285
120,1.4371447603424596
121,1.8346684691375048
122,1.907854953847743
123,1.5274337596865997
124,0.8499133833079349
125,0.9931317644040091
126,1.5717762563186148
127,1.8993955854753266
128,1.863153419949231
129,1.3693592012449096
130,0.8033296266182932
131,1.1543058091535665
132,1.678348022928801
133,1.9301400339084747
134,1.7877187553834584
135,1.2111349615539213
136,0.8284319980055372
137,1.313818153007164
138,1.7754315658062485
139,1.9356726268624154
140,1.6681306461462002
141,1.0440231571086154
142,0.930476522404311
143,1.4696032351729031
144,1.8641787279162474
145,1.9177851650253155
146,1.5165262169213645
147,0.9212385432930675
148,1.0670791292404376
149,1.5983682396752008
150,1.9178893699678434
151,1.8676165427376692
152,1.3756494858872839
153,0.8891269963243335
154,1.21439128882004
155,1.7086381523487593
156,1.944548791580293
157,1.7826924657562704
158,1.2430522724948714
159,0.9455008622874675
160,1.365712676905658
161,1.810095827130694
162,1.951593688102039
163,1.664563045013358
164,1.118820271246293
165,1.0345887716425182
166,1.50103570635764
167,1.8849125705274212
168,1.9253796996675068
169,1.5297160105541272
170,1.0167937001444853
171,1.1416845001939329
172,1.6259724393194874
173,1.9332361670596647
174,1.8685692463590309
175,1.4041056473440856
176,1.0099891630911524
177,1.2809416243428122
178,1.7425383867759237
179,1.963030308693915
180,1.7838529249613406
181,1.3014608473530562
182,1.0668433407671614
183,1.4126658147658262
184,1.8308852526890353
185,1.960104839929663
186,1.682874698356088
187,1.2055353246833456
188,1.122079994710295
189,1.5296518847924525
190,1.8956377962316804
191,1.931509800229413
192,1.5697804391919519
193,1.1353938042862108
194,1.2072328514376267
195,1.6480832182766858
196,1.9466290317125778
197,1.889577042734743
198,1.4681359193232626
199,1.120314184953439
200,1.3069047918820815
201,1.7443853323387308
202,1.9686221982548453
203,1.8309947064762497
204,1.3749867309255868
205,1.1105033464295122
206,1.3964160103484136
207,1.8127703537720914
208,1.9665697200578407
209,1.7433750850491683
210,1.2795107219952684
211,1.1272831105785444
212,1.493340066856828
213,1.8748000947349883
214,1.9492608705520396
215,1.6319551099922092
216,1.1909132065808676
217,1.188298215979633
218,1.606400827179423
219,1.929398251945833
220,1.9136730085219251
221,1.5110926297702196
222,1.1314668365073342
223,1.2761377945132133
224,1.7114961560885273
225,1.961383566210893
226,1.8528636680902717
227,1.4011725260747854
228,1.1077202333736529
229,1.3698599802820306
230,1.7944026558186865
231,1.9681648021077427
232,1.767303028739211
233,1.3004869802770451
234,1.1187994112888229
235,1.469654387019913
236,1.862622237308332
237,1.956582657177967
238,1.6607678903594911
239,1.2095764352462792
240,1.1715190900311998
241,1.5820850050216326
242,1.9209110683932307
243,1.9264064414564077
244,1.5398319171154264
245,1.1426153267696584
246,1.2556368497166879
247,1.6909975320572517
248,1.958635378473095
249,1.8713913816753507
250,1.4261124152300855
251,1.1105522493208566
252,1.3489935491600213
253,1.778985925165579
254,1.9703888894205743
255,1.7901736418430645
256,1.322851249191055
257,1.112518895177847
258,1.4462907250579948
259,1.8493045266201111
260,1.962336659681807
261,1.6882219853284754
262,1.2289235218566181
263,1.1554719438425836
264,1.5561731035229587
265,1.9101950071751996
266,1.9368450670888275
267,1.5687120088977349
268,1.1550626475015362
269,1.2346427330891967
270,1.668106414300523
271,1.9535068557280588
272,1.8879242266431082
