run_id,series,L,M,ma,mb,parity_class,den,T,gcd_L_ma,gcd_L_mb,gcd_ma_mb,ord_a,ord_b,ma_mod_L,mb_mod_L,degenerate_check_pass
L8_ma1_mb3_den8,main,8,28,1,3,odd-odd,8,4096,1,1,1,8,8,1,3,True
L8_ma1_mb5_den8,main,8,28,1,5,odd-odd,8,4096,1,1,1,8,8,1,5,True
L8_ma3_mb5_den8,main,8,28,3,5,odd-odd,8,4096,1,1,1,8,8,3,5,True
L8_ma2_mb4_den8,main,8,28,2,4,even-even,8,4096,2,4,2,4,2,2,4,True
L8_ma2_mb6_den8,main,8,28,2,6,even-even,8,4096,2,2,2,4,4,2,6,True
L8_ma4_mb6_den8,main,8,28,4,6,even-even,8,4096,4,2,2,2,4,4,6,True
L8_ma1_mb2_den8,main,8,28,1,2,odd-even,8,4096,1,2,1,8,4,1,2,True
L8_ma2_mb3_den8,main,8,28,2,3,odd-even,8,4096,2,1,1,4,8,2,3,True
L8_ma3_mb6_den8,main,8,28,3,6,odd-even,8,4096,1,2,3,8,4,3,6,True
L10_ma1_mb3_den10,main,10,45,1,3,odd-odd,10,4096,1,1,1,10,10,1,3,True
L10_ma1_mb5_den10,main,10,45,1,5,odd-odd,10,4096,1,5,1,10,2,1,5,True
L10_ma3_mb5_den10,main,10,45,3,5,odd-odd,10,4096,1,5,1,10,2,3,5,True
L10_ma2_mb4_den10,main,10,45,2,4,even-even,10,4096,2,2,2,5,5,2,4,True
L10_ma2_mb6_den10,main,10,45,2,6,even-even,10,4096,2,2,2,5,5,2,6,True
L10_ma4_mb6_den10,main,10,45,4,6,even-even,10,4096,2,2,2,5,5,4,6,True
L10_ma1_mb2_den10,main,10,45,1,2,odd-even,10,4096,1,2,1,10,5,1,2,True
L10_ma2_mb3_den10,main,10,45,2,3,odd-even,10,4096,2,1,1,5,10,2,3,True
L10_ma3_mb6_den10,main,10,45,3,6,odd-even,10,4096,1,2,3,10,5,3,6,True
L12_ma1_mb3_den12,main,12,66,1,3,odd-odd,12,4096,1,3,1,12,4,1,3,True
L12_ma1_mb5_den12,main,12,66,1,5,odd-odd,12,4096,1,1,1,12,12,1,5,True
L12_ma3_mb5_den12,main,12,66,3,5,odd-odd,12,4096,3,1,1,4,12,3,5,True
L12_ma2_mb4_den12,main,12,66,2,4,even-even,12,4096,2,4,2,6,3,2,4,True
L12_ma2_mb6_den12,main,12,66,2,6,even-even,12,4096,2,6,2,6,2,2,6,True
L12_ma4_mb6_den12,main,12,66,4,6,even-even,12,4096,4,6,2,3,2,4,6,True
L12_ma1_mb2_den12,main,12,66,1,2,odd-even,12,4096,1,2,1,12,6,1,2,True
L12_ma2_mb3_den12,main,12,66,2,3,odd-even,12,4096,2,3,1,6,4,2,3,True
L12_ma3_mb6_den12,main,12,66,3,6,odd-even,12,4096,3,6,3,4,2,3,6,True
L16_ma1_mb3_den16,main,16,120,1,3,odd-odd,16,4096,1,1,1,16,16,1,3,True
L16_ma1_mb5_den16,main,16,120,1,5,odd-odd,16,4096,1,1,1,16,16,1,5,True
L16_ma3_mb5_den16,main,16,120,3,5,odd-odd,16,4096,1,1,1,16,16,3,5,True
L16_ma2_mb4_den16,main,16,120,2,4,even-even,16,4096,2,4,2,8,4,2,4,True
L16_ma2_mb6_den16,main,16,120,2,6,even-even,16,4096,2,2,2,8,8,2,6,True
