t,H,Q2_re,Q2_im,generator_norm
0,np.float64(522.7794514075817),np.float64(-42.36880475352439),np.float64(71.58935334594292),np.float64(20.466239823380462)
1,np.float64(522.7794514075824),np.float64(-42.368804753524145),np.float64(71.58935334594327),np.float64(20.832116901725026)
2,np.float64(522.7794514075836),np.float64(-42.368804753524685),np.float64(71.58935334594338),np.float64(21.227723100194737)
3,np.float64(522.7794514075822),np.float64(-42.36880475352481),np.float64(71.58935334594298),np.float64(21.583570365927287)
4,np.float64(522.7794514075831),np.float64(-42.36880475352541),np.float64(71.589353345943),np.float64(21.960601440562876)
5,np.float64(522.7794514075836),np.float64(-42.36880475352512),np.float64(71.58935334594294),np.float64(22.0720139263792)
6,np.float64(522.7794514075838),np.float64(-42.36880475352523),np.float64(71.58935334594241),np.float64(22.009404665302853)
7,np.float64(522.7794514075847),np.float64(-42.368804753525254),np.float64(71.58935334594224),np.float64(22.061197199081946)
8,np.float64(522.7794514075854),np.float64(-42.3688047535252),np.float64(71.58935334594221),np.float64(22.235223672139416)
9,np.float64(522.7794514075838),np.float64(-42.36880475352504),np.float64(71.58935334594184),np.float64(22.367549684364405)
10,np.float64(522.7794514075856),np.float64(-42.36880475352504),np.float64(71.58935334594214),np.float64(22.480625889493787)
11,np.float64(522.7794514075858),np.float64(-42.368804753524635),np.float64(71.58935334594213),np.float64(22.533730481958475)
12,np.float64(522.7794514075849),np.float64(-42.36880475352491),np.float64(71.5893533459414),np.float64(22.505571098247714)
13,np.float64(522.7794514075848),np.float64(-42.3688047535247),np.float64(71.58935334594143),np.float64(22.475792773777382)
14,np.float64(522.779451407584),np.float64(-42.3688047535247),np.float64(71.58935334594142),np.float64(22.534485960832153)
15,np.float64(522.7794514075842),np.float64(-42.36880475352473),np.float64(71.58935334594162),np.float64(22.643437463383044)
16,np.float64(522.7794514075854),np.float64(-42.368804753525154),np.float64(71.58935334594165),np.float64(22.69511638860992)
17,np.float64(522.7794514075845),np.float64(-42.36880475352534),np.float64(71.58935334594139),np.float64(22.677697226618058)
18,np.float64(522.7794514075836),np.float64(-42.368804753525296),np.float64(71.58935334594128),np.float64(22.646001258938018)
19,np.float64(522.7794514075838),np.float64(-42.368804753525254),np.float64(71.58935334594143),np.float64(22.647153150550174)
20,np.float64(522.7794514075866),np.float64(-42.36880475352521),np.float64(71.5893533459417),np.float64(22.665422066901698)
21,np.float64(522.7794514075861),np.float64(-42.3688047535249),np.float64(71.58935334594196),np.float64(22.684856839764308)
22,np.float64(522.7794514075855),np.float64(-42.3688047535246),np.float64(71.5893533459419),np.float64(22.695599829985696)
23,np.float64(522.7794514075849),np.float64(-42.36880475352458),np.float64(71.58935334594159),np.float64(22.726776008451886)
24,np.float64(522.7794514075857),np.float64(-42.36880475352499),np.float64(71.58935334594165),np.float64(22.783896167354364)
25,np.float64(522.779451407586),np.float64(-42.36880475352546),np.float64(71.58935334594136),np.float64(22.82545849563302)
26,np.float64(522.779451407585),np.float64(-42.36880475352574),np.float64(71.58935334594105),np.float64(22.818245581755807)
27,np.float64(522.7794514075841),np.float64(-42.36880475352599),np.float64(71.58935334594076),np.float64(22.779611639527058)
