k,sigma_k
1.000000000000000000e+00,7.175488304831019093e+01
2.000000000000000000e+00,1.616746839998532792e+01
3.000000000000000000e+00,7.917566189013466094e+00
4.000000000000000000e+00,6.084271770570266469e+00
5.000000000000000000e+00,3.319153586146447399e+00
6.000000000000000000e+00,3.124092284050834945e+00
7.000000000000000000e+00,2.541982906462330494e+00
8.000000000000000000e+00,1.827920173340023879e+00
9.000000000000000000e+00,1.542724001182171900e+00
1.000000000000000000e+01,1.426523226575092007e+00
1.100000000000000000e+01,1.194579103328029301e+00
1.200000000000000000e+01,1.014190561977246441e+00
1.300000000000000000e+01,8.167572674502466823e-01
1.400000000000000000e+01,6.629928420436517200e-01
1.500000000000000000e+01,5.877308780677710232e-01
1.600000000000000000e+01,4.928558259742812364e-01
1.700000000000000000e+01,4.356993057382761991e-01
1.800000000000000000e+01,3.539853329276588800e-01
1.900000000000000000e+01,3.252602990726229937e-01
2.000000000000000000e+01,2.833394306631796811e-01
2.100000000000000000e+01,2.262959728177302010e-01
2.200000000000000000e+01,2.076799400900945780e-01
2.300000000000000000e+01,1.678695336650766479e-01
2.400000000000000000e+01,1.566473176406921741e-01
2.500000000000000000e+01,1.287500319006581462e-01
2.600000000000000000e+01,1.133674709567246558e-01
2.700000000000000000e+01,1.010905030566996571e-01
2.800000000000000000e+01,7.418888813030172225e-02
2.900000000000000000e+01,6.111141939150883939e-02
3.000000000000000000e+01,5.178477164508846209e-02
3.100000000000000000e+01,4.657552596881042728e-02
3.200000000000000000e+01,3.830986177258689784e-02
3.300000000000000000e+01,2.762697044700463886e-02
3.400000000000000000e+01,2.304602023671225089e-02
3.500000000000000000e+01,1.472820991337672747e-02
3.600000000000000000e+01,6.948219779043707418e-03
3.700000000000000000e+01,2.862895531508152062e-14
3.800000000000000000e+01,1.120848111206856295e-14
3.900000000000000000e+01,5.492831372309831576e-15
4.000000000000000000e+01,5.492831372309831576e-15
4.100000000000000000e+01,5.492831372309831576e-15
4.200000000000000000e+01,5.492831372309831576e-15
4.300000000000000000e+01,5.492831372309831576e-15
4.400000000000000000e+01,5.492831372309831576e-15
4.500000000000000000e+01,5.492831372309831576e-15
4.600000000000000000e+01,5.492831372309831576e-15
4.700000000000000000e+01,5.492831372309831576e-15
4.800000000000000000e+01,5.492831372309831576e-15
4.900000000000000000e+01,5.492831372309831576e-15
5.000000000000000000e+01,5.492831372309831576e-15
5.100000000000000000e+01,3.449531714561429972e-15
