k,sigma_k
1.000000000000000000e+00,9.797155739183628498e+01
2.000000000000000000e+00,1.172023330591867207e+01
3.000000000000000000e+00,6.247880534994729729e+00
4.000000000000000000e+00,5.316244508077903497e+00
5.000000000000000000e+00,3.567018879947453147e+00
6.000000000000000000e+00,1.869373721484052675e+00
7.000000000000000000e+00,1.528039894669766197e+00
8.000000000000000000e+00,1.166686786024769384e+00
9.000000000000000000e+00,6.727802722151207115e-01
1.000000000000000000e+01,3.240712637330342363e-14
1.100000000000000000e+01,2.201357853168689712e-14
1.200000000000000000e+01,1.886211628969325024e-14
1.300000000000000000e+01,1.504847071009554883e-14
1.400000000000000000e+01,1.221225364296437888e-14
1.500000000000000000e+01,1.076052690430444429e-14
