k,sigma_k
1.000000000000000000e+00,2.765863337187863991e+01
2.000000000000000000e+00,5.728266894546598972e-12
3.000000000000000000e+00,1.533785140885228670e-12
4.000000000000000000e+00,5.693961731226116062e-13
5.000000000000000000e+00,4.109667620657747725e-13
6.000000000000000000e+00,2.142917540835584578e-13
7.000000000000000000e+00,1.886089039251057340e-13
8.000000000000000000e+00,9.762770252575412806e-14
9.000000000000000000e+00,7.704068490152856520e-14
1.000000000000000000e+01,5.423915822013539486e-14
1.100000000000000000e+01,4.016567334440719581e-14
1.200000000000000000e+01,3.122226782725787729e-14
1.300000000000000000e+01,2.357754116543583215e-14
1.400000000000000000e+01,1.986292461431144560e-14
1.500000000000000000e+01,1.708938789314837009e-14
