step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,1.0392473476282848e-31,4.7079302864042995e-32,0.9999999999999996,2.7861154492623936e-12
25,1.1793270549390794e-24,5.342510204326918e-25,1.0,2.787238361260008e-12
50,4.729242501977928e-24,2.1424104721195468e-24,1.0000000000000007,2.7896211468586906e-12
75,1.0643555861121878e-23,4.821673984347412e-24,1.0000000000000002,2.7934666821538044e-12
100,1.893108853154461e-23,8.576037769609182e-24,1.0,2.79884469442537e-12
125,2.9603901157516016e-23,1.341096546200173e-23,0.9999999999999999,2.805591782184092e-12
150,4.268421143866665e-23,1.9336521978334605e-23,1.0000000000000002,2.81379483501809e-12
200,7.609949787503982e-23,3.4474096243183365e-23,0.9999999999999993,2.834456620273309e-12
300,1.7268676928620345e-22,7.82294295038996e-23,1.0000000000000002,2.8945297089416064e-12
500,4.933361799824058e-22,2.23487925989839e-22,1.0,3.1051179774709994e-12
750,1.165773847871408e-21,5.281112353107584e-22,1.0000000000000002,3.5615948141392437e-12
1000,2.1873637634819213e-21,9.90905209716124e-22,0.9999999999999996,4.178505810214352e-12
1500,5.3722674767958156e-21,2.4337094358154967e-21,1.0000000000000007,5.2892408483272145e-12
2000,9.833401925675728e-21,4.454663353240881e-21,1.0,5.634601680831379e-12
3000,2.0380243310945848e-20,9.232524379012093e-21,1.0,5.928344610301896e-12
4000,3.3944166155414665e-20,1.5377163892198434e-20,1.0000000000000002,7.642519736953203e-12
5000,5.2064709291743636e-20,2.3586013694182506e-20,1.0,8.674892480475895e-12
