step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,1.0392473476282848e-31,4.7079302864042995e-32,0.9999999999999996,2.7861154492623936e-12
25,7.739730031486497e-23,3.5062018206720394e-23,1.0000000000000004,2.8409386102882437e-12
50,3.1700431241245856e-22,1.4360721792876056e-22,0.9999999999999999,2.998672632455467e-12
75,7.394937284837773e-22,3.350006068218612e-22,0.9999999999999999,3.2875281486929044e-12
100,1.373488704560783e-21,6.222088596129674e-22,0.9999999999999997,3.71149416664843e-12
125,2.2463350977371906e-21,1.0176200174275369e-21,1.0,4.221034383630802e-12
150,3.3761714003827496e-21,1.5294510613117013e-21,0.9999999999999999,4.73366434637045e-12
200,6.394224965782659e-21,2.8966699259028793e-21,0.9999999999999999,5.47507236252871e-12
300,1.456299174152846e-20,6.597231163213606e-21,0.9999999999999999,5.718906667895985e-12
500,3.6906995583217726e-20,1.6719365479544873e-20,1.0000000000000002,7.960267632918906e-12
750,8.103383746953982e-20,3.670941845722924e-20,0.9999999999999997,1.1111053793361653e-11
1000,1.334762926199867e-19,6.046655610688106e-20,0.9999999999999997,1.2965197428089554e-11
1500,2.5492743294502833e-19,1.1548555645940593e-19,1.0000000000000004,1.4816869354543384e-11
2000,3.9490982377390234e-19,1.7889946257633186e-19,0.9999999999999999,1.526535535470784e-11
3000,7.053272728913304e-19,3.195227428249059e-19,0.9999999999999999,1.9135468528462716e-11
4000,8.176140816166475e-19,3.703901776825573e-19,1.0000000000000002,2.1551834519446055e-11
5000,9.300457389167728e-19,4.213232308932172e-19,0.9999999999999997,2.91690163934538e-11
7500,1.6135821221620158e-18,7.309744075742423e-19,1.0000000000000002,4.347808358780859e-11
10000,1.5801516378540819e-18,7.158299484702561e-19,0.9999999999999993,3.5388895359905685e-11
15000,1.0397258756490579e-17,4.710098082747598e-18,1.0000000000000002,1.0943280970103357e-10
20000,3.693541929512627e-17,1.67322418035498e-17,0.9999999999999997,2.1969329475173918e-10
25000,1.6139978173952483e-16,7.311627231114233e-17,0.9999999999999997,3.9063764001220127e-10
30000,6.488932267538685e-16,2.939573607652087e-16,1.0000000000000002,9.063062937560729e-10
35000,2.7983918612868062e-15,1.267709157709606e-15,0.9999999999999989,1.9128968532983625e-09
40000,1.181441004986937e-14,5.352086682487158e-15,0.9999999999999981,4.713743400963713e-09
