step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_of_step_generator,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error,measured_phase_advance,angle_times_sigma1_next
0.0,1.0,2.220446049250313e-16,1.0000000000000002,4.863521866733359,0.4863521866733359,4.024558564197518e-16,nan,5.198794520228367e-19,0.5643896229861506,0.2079295183078005,nan,nan,0.02533542462572409,0.025335424625724145
1.0,1.0000000000000002,-2.220446049250313e-16,1.0,4.863521866733364,0.48635218667333635,1.804112281110888e-16,0.5000000000000001,1.8915857935294403e-18,0.5643896229861501,0.20792951830780448,0.5000000000000002,2.4037033579794548e-17,0.025335424625724058,0.025335424625724145
2.0,0.9999999999999996,-1.1102230246251565e-16,0.9999999999999994,4.863521866733362,0.4863521866733362,2.3714374656620844e-16,0.5000000000000001,3.211118886488221e-18,0.56438962298615,0.20792951830780923,0.5000000000000001,3.925231146709438e-17,0.025335424625724152,0.025335424625724124
3.0,0.9999999999999986,-1.1102230246251565e-16,0.9999999999999984,4.863521866733363,0.4863521866733363,3.140185005958477e-16,0.4999999999999997,3.3446472150775217e-18,0.5643896229861498,0.20792951830781467,0.4999999999999997,5.551115123125783e-17,0.025335424625724103,0.025335424625724103
4.0,0.9999999999999973,1.1102230246251565e-16,0.9999999999999974,4.863521866733361,0.48635218667333613,3.5571561726084113e-16,0.49999999999999933,3.3150182865878e-18,0.5643896229861497,0.20792951830782086,0.4999999999999992,4.046035655711836e-17,0.025335424625724214,0.025335424625724075
5.0,0.9999999999999989,1.1102230246251565e-16,0.999999999999999,4.863521866733362,0.4863521866733362,5.881301068004697e-16,0.4999999999999988,3.3152337461698303e-18,0.56438962298615,0.20792951830782805,0.4999999999999987,4.415885040048117e-17,0.025335424625724152,0.025335424625724114
6.0,0.999999999999998,-1.1102230246251565e-16,0.9999999999999979,4.863521866733363,0.4863521866733363,3.356589082301253e-16,0.4999999999999995,3.317626143690038e-18,0.5643896229861498,0.2079295183078357,0.4999999999999995,5.742956581555481e-17,0.02533542462572394,0.025335424625724086
7.0,0.9999999999999976,0.0,0.9999999999999976,4.863521866733365,0.48635218667333646,3.3103688265804007e-16,0.499999999999999,3.3164916963114316e-18,0.5643896229861495,0.2079295183078442,0.49999999999999883,6.869154506741516e-17,0.025335424625724075,0.025335424625724082
8.0,0.9999999999999989,0.0,0.9999999999999989,4.863521866733365,0.48635218667333646,6.938893294408721e-17,0.4999999999999989,3.314699678626413e-18,0.5643896229861497,0.20792951830785358,0.4999999999999989,5.721958498152797e-17,0.025335424625724093,0.02533542462572411
9.0,0.9999999999999996,-2.220446049250313e-16,0.9999999999999993,4.863521866733365,0.48635218667333646,6.938894483074315e-17,0.49999999999999944,3.3218550077751032e-18,0.5643896229861499,0.20792951830786363,0.4999999999999994,2.4532694666933986e-17,0.02533542462572414,0.02533542462572413
