N= 3 M=  3 parent σ²=[2.0, 0.0] | late Δφ=0.0653994 σ_eff²=2.247420 | rigid spread=1.7e-04 tstd=6.5e-04 | final K σ²=[2.248645, 0.0] | equip max/min=1.0818 | 0.3s
N= 4 M=  6 parent σ²=[8.0, 0.0] | late Δφ=0.1307339 σ_eff²=9.000000 | rigid spread=1.0e-07 tstd=9.8e-07 | final K σ²=[9.0, 0.0, 0.0] | equip max/min=1.0000 | 0.3s
N= 5 M= 10 parent σ²=[14.0, 2.0, 2.0, 0.0] | late Δφ=0.1741194 σ_eff²=16.000000 | rigid spread=1.9e-06 tstd=8.0e-08 | final K σ²=[16.0, 1.043264, 1.001208] | equip max/min=1.0001 | 0.3s
N= 6 M= 15 parent σ²=[23.700462, 3.522953, 3.0, 3.0] | late Δφ=0.2173412 σ_eff²=25.000000 | rigid spread=3.8e-08 tstd=5.6e-08 | final K σ²=[25.0, 3.438735, 3.437797] | equip max/min=1.0000 | 0.4s
N= 7 M= 21 parent σ²=[35.270483, 5.836076, 5.574892, 5.0] | late Δφ=0.2603601 σ_eff²=36.000000 | rigid spread=1.1e-16 tstd=1.0e-15 | final K σ²=[36.0, 6.218179, 5.983018] | equip max/min=1.0000 | 0.4s
N= 8 M= 28 parent σ²=[47.663783, 8.820801, 8.0, 8.0] | late Δφ=0.3031382 σ_eff²=49.000000 | rigid spread=1.1e-16 tstd=1.4e-15 | final K σ²=[49.0, 8.589597, 7.968006] | equip max/min=1.0000 | 0.4s
N= 9 M= 36 parent σ²=[61.655989, 12.0, 11.831508, 11.504271] | late Δφ=0.3456386 σ_eff²=64.000000 | rigid spread=7.8e-16 tstd=2.1e-15 | final K σ²=[64.0, 12.095742, 12.034528] | equip max/min=1.0000 | 0.4s
N=10 M= 45 parent σ²=[79.704615, 15.849853, 15.67043, 15.306977] | late Δφ=0.3878261 σ_eff²=81.000000 | rigid spread=5.6e-17 tstd=2.5e-15 | final K σ²=[81.0, 15.923536, 15.717251] | equip max/min=1.0000 | 0.4s
N=11 M= 55 parent σ²=[97.702366, 20.032492, 19.883844, 19.712737] | late Δφ=0.4296670 σ_eff²=100.000000 | rigid spread=8.5e-11 tstd=2.1e-11 | final K σ²=[100.0, 20.218636, 19.754126] | equip max/min=1.0000 | 0.5s
N=12 M= 66 parent σ²=[118.815945, 24.810169, 24.679267, 24.396761] | late Δφ=0.4711294 σ_eff²=121.000000 | rigid spread=3.3e-16 tstd=4.2e-15 | final K σ²=[121.0, 24.954994, 24.768017] | equip max/min=1.0000 | 0.4s
N=13 M= 78 parent σ²=[142.424014, 30.245931, 30.201466, 29.854901] | late Δφ=0.5121833 σ_eff²=144.000000 | rigid spread=1.1e-16 tstd=1.3e-15 | final K σ²=[144.0, 30.226576, 30.198567] | equip max/min=1.0000 | 0.4s
N=14 M= 91 parent σ²=[166.205768, 35.926658, 35.743463, 35.100325] | late Δφ=0.5528006 σ_eff²=169.000000 | rigid spread=1.1e-16 tstd=2.6e-15 | final K σ²=[169.0, 35.917261, 35.815645] | equip max/min=1.0000 | 0.5s
N=15 M=105 parent σ²=[190.727447, 42.051382, 41.951944, 41.903077] | late Δφ=0.5929554 σ_eff²=196.000000 | rigid spread=4.4e-16 tstd=8.6e-16 | final K σ²=[196.0, 42.191044, 42.130072] | equip max/min=1.0000 | 0.5s
N=16 M=120 parent σ²=[219.051465, 48.995427, 48.92415, 48.595386] | late Δφ=0.6326236 σ_eff²=225.000000 | rigid spread=3.3e-16 tstd=3.5e-15 | final K σ²=[225.0, 48.95169, 48.858083] | equip max/min=1.0000 | 0.5s
DONE
