edge_index,i,j,theta_deg,a_Re,b_Im,abs_z
0,0,1,0.0,0.21050611756367724,0.0,0.21050611756367724
1,0,2,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
2,0,3,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
3,0,4,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
4,0,5,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
5,0,6,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
6,0,7,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
7,0,8,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
8,0,9,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
9,0,10,0.0,0.21050611756367724,0.0,0.21050611756367724
10,1,2,0.0,0.21050611756367724,0.0,0.21050611756367724
11,1,3,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
12,1,4,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
13,1,5,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
14,1,6,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
15,1,7,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
16,1,8,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
17,1,9,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
18,1,10,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
19,2,3,0.0,0.21050611756367724,0.0,0.21050611756367724
20,2,4,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
21,2,5,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
22,2,6,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
23,2,7,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
24,2,8,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
25,2,9,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
26,2,10,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
27,3,4,0.0,0.21050611756367724,0.0,0.21050611756367724
28,3,5,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
29,3,6,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
30,3,7,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
31,3,8,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
32,3,9,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
33,3,10,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
34,4,5,0.0,0.21050611756367724,0.0,0.21050611756367724
35,4,6,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
36,4,7,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
37,4,8,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
38,4,9,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
39,4,10,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
40,5,6,0.0,0.21050611756367724,0.0,0.21050611756367724
41,5,7,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
42,5,8,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
43,5,9,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
44,5,10,144.0,-0.17030302652890547,0.12373239142127505,0.21050611756367724
45,6,7,0.0,0.21050611756367724,0.0,0.21050611756367724
46,6,8,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
47,6,9,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
48,6,10,108.0,-0.06504996774706687,0.20020321482892894,0.21050611756367726
49,7,8,0.0,0.21050611756367724,0.0,0.21050611756367724
50,7,9,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
51,7,10,72.0,0.06504996774706688,0.20020321482892892,0.21050611756367724
52,8,9,0.0,0.21050611756367724,0.0,0.21050611756367724
53,8,10,36.0,0.1703030265289055,0.12373239142127504,0.21050611756367724
54,9,10,0.0,0.21050611756367724,0.0,0.21050611756367724
