step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,8.857392066779387e-32,2.4286296611407557e-32,1.0000000000000002,3.7238012298709096e-17
25,3.186627227417505e-28,8.737489935137302e-29,1.0000000000000002,1.4897941489605937e-15
50,8.27553168094117e-28,2.2690879607130243e-28,1.0,2.0701160111185935e-15
75,2.267223930807326e-27,6.216555895113548e-28,1.0,3.206552892655847e-15
100,3.8238257574239584e-27,1.0484639929561945e-27,1.0,4.138221980904205e-15
125,5.5534659226123485e-27,1.5227181951645558e-27,1.0,4.627522627496054e-15
150,8.478588759869566e-27,2.3247646701860225e-27,1.0000000000000002,5.4777323765799664e-15
200,1.6042920739427188e-26,4.398847072067292e-27,0.9999999999999998,5.855146511138029e-15
300,4.3911837620765984e-26,1.20402925056212e-26,1.0,8.07752066462186e-15
500,5.099008485438817e-25,1.3981094160427966e-25,1.0000000000000002,3.6852414700235926e-14
750,6.334511814374038e-23,1.7368750491399142e-23,1.0,5.11646137213366e-13
1000,1.334584476240904e-20,3.659329314837545e-21,1.0000000000000002,7.496354180209556e-12
1500,6.157931344746011e-16,1.6884580249322695e-16,0.9999999999999994,1.6105022738995188e-09
2000,2.8423614887283746e-11,7.79353941562983e-12,0.9999999999842436,3.4600596715758375e-07
3000,0.05969842629296801,0.01636885527088498,0.9679731537364745,0.01577655842257075
4000,3.512424342553619,0.9630800890971829,0.3505088887096551,0.08880887865639023
5000,3.5776601949080025,0.9809672645549689,0.25313298361260345,0.09308318318130282
7500,3.5771498747726835,0.9808273386480632,0.0873314395082323,0.12532462052740048
10000,3.5825617002436045,0.9823112201065967,0.05461921049425035,0.15157471036029888
15000,3.5899460112726254,0.9843359421300613,0.0553925165846169,0.1615079635245518
20000,3.5783208597200282,0.98114841382949,0.05576661482562344,0.163925087829215
25000,3.580698179036668,0.981800256736949,0.05448635512464097,0.16486853732648485
30000,3.5840700603276194,0.9827248009875553,0.054073991866379595,0.16529296539935412
35000,3.583974395556096,0.9826985704323895,0.05404099008124189,0.16551168494585117
40000,3.5843637845791414,0.9828053379456444,0.05404803164549052,0.1656372552941399
