step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,5.482866548426587e-32,2.249653040681814e-32,1.0,3.249353604749327e-12
25,1.6333982604002557e-23,6.701931062335089e-24,1.0,3.3290971397372065e-12
50,6.545536551102134e-23,2.685672918540504e-23,0.9999999999999998,3.4836087286369245e-12
75,1.4844890882215138e-22,6.090947794698568e-23,0.9999999999999998,3.6718715750087644e-12
100,2.6722760834765657e-22,1.0964509100553632e-22,1.0000000000000004,3.853687100140837e-12
125,4.238439969756837e-22,1.7390573491976143e-22,0.9999999999999997,4.000784618321929e-12
150,6.195312664517964e-22,2.541973956617156e-22,0.9999999999999992,4.100116463785142e-12
200,1.1243694538460368e-21,4.613355328556058e-22,0.9999999999999998,4.1440002597653545e-12
300,2.4598046187930524e-21,1.0092725933187381e-21,0.9999999999999999,3.7483098775733025e-12
500,5.853709165796565e-21,2.401811991554087e-21,0.9999999999999999,4.032845602721018e-12
750,1.295573977737605e-20,5.315817761937139e-21,0.9999999999999998,4.29520107218888e-12
1000,1.9734562094747622e-20,8.09720923003596e-21,1.0000000000000002,4.325198713368556e-12
1500,3.1761200445114274e-20,1.303181110208982e-20,0.9999999999999998,5.650445137025407e-12
2000,3.718810812465521e-20,1.5258503883128512e-20,1.0000000000000002,5.720138349781828e-12
3000,6.786809379899063e-20,2.784668607774679e-20,1.0000000000000002,7.725282842183335e-12
4000,1.4627305505268936e-19,6.001671209079995e-20,1.0000000000000002,8.88506660564335e-12
5000,2.3369035690746155e-19,9.58845555243345e-20,0.9999999999999998,1.029139125085831e-11
7500,6.943825298315622e-19,2.8490931811593926e-19,0.9999999999999997,1.6405296210378677e-11
10000,1.5884485170975588e-18,6.517499568696648e-19,1.0,2.3345577053623736e-11
15000,6.2455578618061824e-18,2.562589862531431e-18,1.0000000000000002,4.6958063292107154e-11
20000,2.287662902295832e-17,9.386418142364461e-18,1.0000000000000004,1.1736527015917134e-10
25000,8.471862369928026e-17,3.476055959514452e-17,1.0000000000000009,2.575300618122103e-10
30000,3.166541524090363e-16,1.2992509858224571e-16,1.0,3.6090384206202003e-10
35000,1.219222997233404e-15,5.002545108102556e-16,0.9999999999999998,7.408007203022686e-10
40000,4.852973852650513e-15,1.991204288419908e-15,1.0,1.6752032622480374e-09
