edge_index,i,j,theta_deg,a_Re,b_Im,abs_z
0,0,1,128.26862161951485,-0.18159176882065706,0.23019413926821208,0.2931977357635082
1,0,2,218.26862160594774,-0.23019413933641925,-0.18159176878603495,0.29319773579561553
2,0,3,218.26862162844327,-0.23019413927845492,-0.18159176888693138,0.29319773581259695
3,0,4,128.26862161486932,-0.1815917688525233,0.23019413934699015,0.2931977358450944
4,1,2,290.15998202635933,0.10104843837857734,-0.2752346732414586,0.29319773575708535
5,1,3,200.1599820294797,-0.2752346733152985,-0.1010484384226966,0.29319773584160674
6,1,4,218.2686216174988,-0.23019413930814975,-0.18159176883902234,0.2931977358062384
7,2,3,308.26862161689047,0.18159176883405387,-0.23019413930687777,0.2931977358021625
8,2,4,20.159982005487933,0.2752346732868838,0.10104843828147957,0.29319773576626346
9,3,4,290.1599820095344,0.10104843833041485,-0.2752346733600905,0.29319773585185027
