edge_index,i,j,theta_deg,a_Re,b_Im,abs_z
0,0,1,0.0,0.266271517160158,0.0,0.266271517160158
1,0,2,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
2,0,3,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
3,0,4,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
4,0,5,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
5,0,6,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
6,0,7,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
7,0,8,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
8,0,9,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
9,0,10,0.0,0.266271517160158,0.0,0.266271517160158
10,1,2,0.0,0.266271517160158,0.0,0.266271517160158
11,1,3,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
12,1,4,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
13,1,5,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
14,1,6,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
15,1,7,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
16,1,8,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
17,1,9,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
18,1,10,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
19,2,3,0.0,0.266271517160158,0.0,0.266271517160158
20,2,4,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
21,2,5,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
22,2,6,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
23,2,7,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
24,2,8,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
25,2,9,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
26,2,10,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
27,3,4,0.0,0.266271517160158,0.0,0.266271517160158
28,3,5,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
29,3,6,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
30,3,7,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
31,3,8,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
32,3,9,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
33,3,10,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
34,4,5,0.0,0.266271517160158,0.0,0.266271517160158
35,4,6,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
36,4,7,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
37,4,8,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
38,4,9,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
39,4,10,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
40,5,6,0.0,0.266271517160158,0.0,0.266271517160158
41,5,7,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
42,5,8,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
43,5,9,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
44,5,10,144.0,-0.12216673136677586,0.08875932584536919,0.15100638455829077
45,6,7,0.0,0.266271517160158,0.0,0.266271517160158
46,6,8,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
47,6,9,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
48,6,10,108.0,-0.0708241571530345,0.21797434250420727,0.22919178699634765
49,7,8,0.0,0.266271517160158,0.0,0.266271517160158
50,7,9,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
51,7,10,72.0,0.07082415715303451,0.21797434250420727,0.22919178699634765
52,8,9,0.0,0.266271517160158,0.0,0.266271517160158
53,8,10,36.0,0.1221667313667759,0.08875932584536918,0.15100638455829082
54,9,10,0.0,0.266271517160158,0.0,0.266271517160158
