step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,5.719952795710432e-33,1.568367631832566e-33,0.610770847859632,0.07159997321376226
25,3.914416929600939e-28,1.0733034046168176e-28,0.6107708478596332,0.07159997321376245
50,1.806602779528781e-27,4.953567667755102e-28,0.6107708478596334,0.07159997321376255
75,4.62589573863441e-27,1.2683854926472633e-27,0.6107708478596322,0.07159997321376305
100,1.0589390027809503e-26,2.903530353068909e-27,0.6107708478596332,0.07159997321376316
125,2.2049623620019303e-26,6.045839400224e-27,0.610770847859636,0.07159997321376377
150,4.138772925926008e-26,1.1348201155426956e-26,0.6107708478596406,0.07159997321376435
200,1.191537116959589e-25,3.267104315559738e-26,0.6107708478596475,0.07159997321376463
300,5.208889492416581e-25,1.4282379539607188e-25,0.6107708478596502,0.07159997321376822
500,3.861619581291397e-24,1.05882677253708e-24,0.6107708478596489,0.07159997321377255
750,1.9404599520249312e-23,5.32059387256555e-24,0.6107708478596575,0.07159997321377572
1000,5.935139837213829e-23,1.6273702849544458e-23,0.610770847859645,0.07159997321378266
1500,2.831505157773968e-22,7.763772180336352e-23,0.6107708478595141,0.07159997321379051
2000,8.45132409040724e-22,2.317288904806191e-22,0.6107708478592,0.0715999732138053
3000,3.537235373886355e-21,9.698830855272736e-22,0.6107708478584019,0.07159997321383459
4000,9.486309360509366e-21,2.601074008464506e-21,0.610770847857858,0.07159997321385066
5000,2.1590783713396346e-20,5.9200289812474505e-21,0.610770847857136,0.07159997321388281
7500,9.908914521769988e-20,2.71694913534795e-20,0.6107708478509377,0.07159997321420605
10000,2.898079444742059e-19,7.946313821025102e-20,0.6107708478504921,0.07159997321402131
15000,2.0406730068918416e-18,5.595370461063019e-19,0.610770847856169,0.07159997321311878
20000,1.2942689110572916e-17,3.54878709580837e-18,0.6107708478424276,0.07159997321290444
25000,6.392803309849847e-17,1.752858134676006e-17,0.6107708478473519,0.07159997321031933
30000,2.8442316375390725e-16,7.798667221758736e-17,0.6107708478827443,0.07159997320515298
35000,1.1960320509903315e-15,3.279429083458696e-16,0.6107708477401902,0.07159997320522445
40000,4.981075631371242e-15,1.3657731227945549e-15,0.6107708480632333,0.07159997316883508
