system,N,M,norm_v,r2_rel_spread,sum_a2,sum_b2,sum_ab,abs_sum_z2_over_H,a2_minus_b2_over_H,ab_over_H
original,3,3,0.9999999999999999,0.750000000000758,0.4999999999999999,0.4999999999999999,1.3165625486321533e-16,2.633125097264307e-16,0.0,1.3165625486321535e-16
original,4,6,1.0,0.7500000000000013,0.4999999999999999,0.49999999999999994,1.3183898417423734e-16,2.7265526925652344e-16,-5.551115123125783e-17,1.3183898417423734e-16
original,5,10,0.9999999999999998,1.3095238095238486,0.49999999999999967,0.4999999999999999,9.71445146547012e-17,2.88778057670536e-16,-2.220446049250314e-16,9.714451465470125e-17
original,6,15,1.0,0.7116701491896409,0.5000000000000007,0.4999999999999995,3.469446951953614e-17,1.1179374263175407e-15,1.1657341758564144e-15,3.469446951953614e-17
original,7,21,1.0,0.48587257448414845,0.5000000000000008,0.49999999999999933,-1.0304257447302234e-15,2.478807554969332e-15,1.4432899320127035e-15,-1.0304257447302234e-15
original,8,28,1.0,0.5912079279571016,0.49999999999999917,0.500000000000001,-2.8102520310824275e-16,1.8478314853914928e-15,-1.8318679906315083e-15,-2.8102520310824275e-16
original,9,36,1.0,0.6314334633346126,0.49999999999999906,0.500000000000001,5.2562121322097255e-16,2.1897020778056683e-15,-1.9428902930940236e-15,5.256212132209725e-16
original,10,45,1.0,0.4398273849530814,0.5000000000000002,0.4999999999999998,-1.0408340855860843e-17,4.2935156204163314e-16,4.440892098500626e-16,-1.0408340855860843e-17
original,11,55,1.0,0.5628968228011876,0.4999999999999992,0.5000000000000009,-1.196959198423997e-16,1.534721780839915e-15,-1.6653345369377348e-15,-1.196959198423997e-16
original,12,66,1.0000000000000002,0.5152269191630646,0.5000000000000012,0.49999999999999895,5.455705331947058e-16,2.5434236440776303e-15,2.275957200481571e-15,5.455705331947058e-16
original,13,78,0.9999999999999999,0.41980701408706544,0.4999999999999997,0.5,8.500145032286355e-17,3.8913524882416714e-16,-2.775557561562892e-16,8.500145032286356e-17
original,14,91,0.9999999999999999,0.5318713228382077,0.5000000000000004,0.49999999999999944,-7.450637329320386e-16,1.7687817658552451e-15,9.99200722162641e-16,-7.450637329320388e-16
original,15,105,1.0,0.6198150537191192,0.5000000000000001,0.5,-3.3133218391157016e-16,6.362161907055017e-16,1.1102230246251563e-16,-3.313321839115701e-16
original,16,120,0.9999999999999999,0.6749840251787275,0.5000000000000013,0.49999999999999845,1.5265566588595902e-16,3.0069198548377605e-15,2.8865798640254074e-15,1.5265566588595905e-16
fixed_baseline,3,3,0.44721359549995743,0.7500000000000022,0.09999999999999987,0.0999999999999997,-3.0118189637051226e-18,7.985409777901482e-16,8.326672684688692e-16,-1.5059094818525647e-17
fixed_baseline,4,6,0.8164965809277259,0.7500000000000007,0.3333333333333331,0.3333333333333333,2.7755575615628914e-17,3.332294980281257e-16,-3.3306690738754706e-16,4.163336342344338e-17
fixed_baseline,5,10,0.9271726499455304,1.3095238095238138,0.42982456140350855,0.4298245614035086,-1.457167719820518e-16,3.8987590169716327e-16,-6.457419633023872e-17,-1.6950726536687664e-16
fixed_baseline,6,15,1.0368621938564875,0.6579365001273321,0.5375416045244441,0.5375416045244443,5.377642775528102e-16,1.039941421495621e-15,-2.065371341084112e-16,5.002071216688084e-16
fixed_baseline,7,21,1.1450988347468134,1.2090091282144193,0.6556256706692544,0.6556256706692554,-2.0296264668928643e-16,7.832282103490783e-16,-7.620207435918951e-16,-1.5478546354210367e-16
fixed_baseline,8,28,1.3008225095790416,0.5044525084506263,0.8460696007137575,0.8460696007137585,-6.938893903907228e-17,6.289407666627304e-16,-5.904955817581078e-16,-4.100663762209082e-17
fixed_baseline,9,36,1.3650618440016968,0.8066865844247908,0.9316969189746563,0.9316969189746561,-6.938893903907228e-18,1.3732671972751574e-16,1.191613927248971e-16,-3.723793522653034e-18
fixed_baseline,10,45,1.4512338867712389,0.8416744639854308,1.0530398970565775,1.0530398970565797,-2.1510571102112408e-16,9.31006870417883e-16,-1.054302906972864e-15,-1.021355941129962e-16
fixed_baseline,11,55,1.5399882223365369,0.8959203977628734,1.185781862467625,1.1857818624676217,-1.734723475976807e-17,1.3430553143048122e-15,1.4044189657886635e-15,-7.314682113482622e-18
fixed_baseline,12,66,1.6272927628557787,0.7118644008896702,1.3240408680213962,1.3240408680213966,-8.118505867571457e-16,6.175867374261045e-16,-1.6770222905343358e-16,-3.0658063748830827e-16
fixed_baseline,13,78,1.7031161494714866,0.6511068204040673,1.4503023092952931,1.4503023092952898,-1.4953316362920077e-15,1.5443983046590761e-15,1.1482671759289472e-15,-5.155241175264335e-16
fixed_baseline,14,91,1.768781677885717,0.6541171798764693,1.5642943120121107,1.5642943120121016,-4.44436154545258e-15,4.124458150849115e-15,2.9098836235670685e-15,-1.4205643756819414e-15
fixed_baseline,15,105,1.841447672881224,0.6198150537191945,1.6954647659798356,1.6954647659798394,2.8796409701215e-16,1.1639948987260379e-15,-1.1131927833204e-15,8.492187593344962e-17
fixed_baseline,16,120,1.902680357311201,0.671572040241392,1.8100962710489332,1.8100962710489463,-4.551914400963142e-15,4.448445576550182e-15,-3.618766554053257e-15,-1.2573680399676574e-15
fixed,3,3,0.44721359549995743,0.7500000000000022,0.09999999999999987,0.0999999999999997,-3.0118189637051226e-18,7.985409777901482e-16,8.326672684688692e-16,-1.5059094818525647e-17
fixed,4,6,0.8164965809277259,0.7500000000000007,0.3333333333333331,0.3333333333333333,2.7755575615628914e-17,3.332294980281257e-16,-3.3306690738754706e-16,4.163336342344338e-17
fixed,5,10,0.9271726499455304,1.3095238095238138,0.42982456140350855,0.4298245614035086,-1.457167719820518e-16,3.8987590169716327e-16,-6.457419633023872e-17,-1.6950726536687664e-16
fixed,6,15,1.0368621938564875,0.6579365001273321,0.5375416045244441,0.5375416045244443,5.377642775528102e-16,1.039941421495621e-15,-2.065371341084112e-16,5.002071216688084e-16
fixed,7,21,1.1450988347468134,1.2090091282144193,0.6556256706692544,0.6556256706692554,-2.0296264668928643e-16,7.832282103490783e-16,-7.620207435918951e-16,-1.5478546354210367e-16
fixed,8,28,1.3008225095790416,0.5044525084506263,0.8460696007137575,0.8460696007137585,-6.938893903907228e-17,6.289407666627304e-16,-5.904955817581078e-16,-4.100663762209082e-17
fixed,9,36,1.3650618440016968,0.8066865844247908,0.9316969189746563,0.9316969189746561,-6.938893903907228e-18,1.3732671972751574e-16,1.191613927248971e-16,-3.723793522653034e-18
fixed,10,45,1.4512338867712389,0.8416744639854308,1.0530398970565775,1.0530398970565797,-2.1510571102112408e-16,9.31006870417883e-16,-1.054302906972864e-15,-1.021355941129962e-16
fixed,11,55,1.5399882223365369,0.8959203977628734,1.185781862467625,1.1857818624676217,-1.734723475976807e-17,1.3430553143048122e-15,1.4044189657886635e-15,-7.314682113482622e-18
fixed,12,66,1.6272927628557787,0.7118644008896702,1.3240408680213962,1.3240408680213966,-8.118505867571457e-16,6.175867374261045e-16,-1.6770222905343358e-16,-3.0658063748830827e-16
fixed,13,78,1.7031161494714866,0.6511068204040673,1.4503023092952931,1.4503023092952898,-1.4953316362920077e-15,1.5443983046590761e-15,1.1482671759289472e-15,-5.155241175264335e-16
fixed,14,91,1.768781677885717,0.6541171798764693,1.5642943120121107,1.5642943120121016,-4.44436154545258e-15,4.124458150849115e-15,2.9098836235670685e-15,-1.4205643756819414e-15
fixed,15,105,1.841447672881224,0.6198150537191945,1.6954647659798356,1.6954647659798394,2.8796409701215e-16,1.1639948987260379e-15,-1.1131927833204e-15,8.492187593344962e-17
fixed,16,120,1.902680357311201,0.671572040241392,1.8100962710489332,1.8100962710489463,-4.551914400963142e-15,4.448445576550182e-15,-3.618766554053257e-15,-1.2573680399676574e-15
fixed_equimodular,3,3,0.4472135954999151,8.847179239214773e-10,0.0999999999999861,0.09999999999997553,9.030970415935258e-15,1.0464961458087621e-13,5.2874371547783216e-14,4.515485207968495e-14
fixed_equimodular,4,6,0.8164965809276769,8.601519496665914e-10,0.33333333333330345,0.33333333333328297,3.3237301799715624e-15,3.232268315834242e-14,3.0725422206504905e-14,4.985595269957944e-15
fixed_equimodular,5,10,0.9271726499455943,6.471396717818659e-10,0.429824561403566,0.4298245614035696,-3.8267999880048365e-15,9.80148772400275e-15,-4.197322761464938e-15,-4.451583659515218e-15
fixed_equimodular,6,15,1.036862193856306,8.556628219837451e-10,0.5375416045242662,0.5375416045242457,-2.060851489460447e-15,1.9366582238316808e-14,1.9104684905034726e-14,-1.9169227759443626e-15
fixed_equimodular,7,21,1.2104579973453442,6.416526759711664e-10,0.73260428166867,0.7326042816686311,6.9822619908066486e-15,2.819422220279222e-14,2.652032402361489e-14,4.7653707229933006e-15
fixed_equimodular,8,28,1.301688091012501,2.0498668605630907e-10,0.8471959431418552,0.8471959431419138,-2.026590700809905e-14,4.206327737111351e-14,-3.459635056962902e-14,-1.1960578407010268e-14
fixed_equimodular,9,36,1.3839697474700907,1.2310890405517335e-10,0.9576861309562091,0.9576861309562179,2.8397423301740332e-14,3.0008933566602935e-14,-4.579142169356396e-15,1.4826059595008742e-14
fixed_equimodular,10,45,1.4861465166598131,1.4487039089394912e-10,1.1043157344900476,1.1043157344900485,-1.1275702593849246e-16,3.957315866687473e-16,-4.02139710573928e-16,-5.10528929439557e-17
fixed_equimodular,11,55,1.5399882223366783,3.964467003448646e-11,1.1857818624678453,1.1857818624678371,9.107298248878237e-15,8.384339466669667e-15,3.4642334489447337e-15,3.840208109577671e-15
fixed_equimodular,12,66,1.6409212871688268,6.237047752943263e-11,1.3463113353419143,1.3463113353418852,-9.891393260019754e-15,1.3015629560441756e-14,1.0802792222570182e-14,-3.67351629610539e-15
fixed_equimodular,13,78,1.721183554365997,4.337666807955714e-10,1.481236413909956,1.481236413910011,6.220544912505233e-14,4.591673227476053e-14,-1.8513255852153162e-14,2.099781255068194e-14
fixed_equimodular,14,91,1.7854850466306227,6.280153345638024e-11,1.5939784258708203,1.5939784258707361,1.2477865962701173e-14,2.7524723070745738e-14,2.6397755421505686e-14,3.914063628522642e-15
fixed_equimodular,15,105,1.841447672881324,3.917054370709667e-10,1.6954647659800357,1.6954647659800086,1.662038562333379e-14,1.2612238130107516e-14,7.988795268533766e-15,4.901424658543931e-15
fixed_equimodular,16,120,1.9065838117086884,4.718430970377336e-10,1.8175309155348185,1.8175309155348132,4.687222832089333e-15,3.0047601871916e-15,1.4660192221909608e-15,1.2894478966015547e-15
