step,within_A_plus,within_A_minus,within_B_plus,within_B_minus,complement_error_A,complement_error_B,A_B_center_distance,Aplus_a2n,Aplus_b2n,Aplus_abn,Bplus_a2n,Bplus_b2n,Bplus_abn
0,0.4952665964569645,6.938893903907228e-16,3.6637359812630166e-15,3.913536161803677e-15,0.24763329822848223,0.7428998946854466,0.4011233872897464,0.38843291175306804,0.611567088246932,0.12381664911424102,0.1652987352589937,0.8347012647410064,0.3714499473425334
1,0.581327209309576,6.38378239159465e-16,4.274358644806853e-15,4.829470157119431e-15,0.2906636046547879,0.8719908139643641,0.4422628654794632,0.3546681976726059,0.6453318023273941,0.08158703947349134,0.06400459301768059,0.9359954069823193,0.24476111842022963
2,0.6552058818442213,7.216449660063518e-16,4.801714581503802e-15,5.412337245047638e-15,0.3276029409221107,0.982808822766332,0.4673700867748822,0.3361985295389447,0.6638014704610553,0.03077102618655735,0.008595588616782253,0.9914044113832177,0.09231307855939642
3,0.660129212829837,1.0269562977782698e-15,4.718447854656915e-15,5.564992910933597e-15,0.3300646064149185,0.9901938192447557,0.4690988760580441,0.33496769679254074,0.6650323032074592,-0.023283399146581035,0.004903090377661677,0.9950969096223384,-0.06985019744002273
4,0.5955790598335189,1.0269562977782698e-15,4.246603069191224e-15,5.162537064506978e-15,0.29778952991675933,0.8933685897502782,0.44697842815853983,0.35110523504162033,0.6488947649583796,-0.07488742715414017,0.053315705124989884,0.9466842948750102,-0.2246622814626768
5,0.47444053517404167,8.326672684688674e-16,3.58046925441613e-15,4.246603069191224e-15,0.23722026758702108,0.7116608027610631,0.407368097508956,0.38291279344324886,0.6170872065567513,-0.11861013379351053,0.14873838032995573,0.8512616196700442,-0.35583040138073807
6,0.5994001720792779,1.3322676295501878e-15,4.884981308350689e-15,5.495603971894525e-15,0.29970008603963927,0.8991002581189174,0.36387096703361144,0.42704287296818766,0.5729571270318125,-0.14985004301981955,0.28112861890483565,0.7188713810951644,-0.44955012905959146
7,0.6612775859221447,1.942890293094024e-15,5.329070518200751e-15,6.5503158452884236e-15,0.33063879296107246,0.9919163788832173,0.3360062660300264,0.47885112473229235,0.5211488752677077,-0.1653193964805362,0.4365533741971903,0.5634466258028097,-0.4959581894416487
8,0.6535606584144243,1.6653345369377348e-15,5.773159728050814e-15,6.661338147750939e-15,0.3267803292072119,0.9803409876216362,0.3397599721354634,0.5328851317252083,0.4671148682747917,-0.1633901646036061,0.5986553951759488,0.40134460482405127,-0.49017049381075295
9,0.5770615363740088,1.7763568394002505e-15,5.218048215738236e-15,6.328271240363392e-15,0.28853076818700407,0.8655923045610124,0.3727897772629232,0.5834582334472286,0.4165417665527715,-0.1442653840935021,0.7503747003419865,0.24962529965801353,-0.4327961522803322
10,0.5009920114325502,1.3877787807814457e-15,4.6629367034256575e-15,5.717648576819556e-15,0.2504960057162755,0.751488017148827,0.41696445890632083,0.6252480028581379,0.374751997141862,-0.1099577898915109,0.875744008574656,0.12425599142534414,-0.32987336967425684
11,0.6154255623082816,1.7208456881689926e-15,5.9674487573602164e-15,7.605027718682322e-15,0.3077127811541409,0.9231383434624233,0.4536499386055505,0.6538563905770706,0.3461436094229294,-0.0640779904208433,0.9615691717313617,0.03843082826863821,-0.19223397126216957
12,0.6650903419887312,1.9220736113823023e-15,7.0915495697931874e-15,8.895661984809067e-15,0.33254517099436565,0.997635512983097,0.47084753568729887,0.6662725854971828,0.33372741450281723,-0.011454479030484173,0.9988177564915772,0.001182243508422909,-0.03436343709103763
13,0.6447595172895215,1.915134717478395e-15,7.521760991835436e-15,9.076073226310655e-15,0.32237975864476076,0.9671392759342815,0.46372386168375257,0.6611898793223802,0.3388101206776198,0.04237452751139867,0.9835696379670273,0.016430362032972712,0.12712358253462716
14,0.5565727499566087,1.609823385706477e-15,6.661338147750939e-15,8.43769498715119e-15,0.27828637497830433,0.8348591249349113,0.4342285315470755,0.6391431874891517,0.3608568125108483,0.09174394341392,0.917429562467192,0.0825704375328079,0.2752318302421589
15,0.5258320809656323,1.7763568394002505e-15,6.661338147750939e-15,8.715250743307479e-15,0.26291604048281597,0.7887481214484504,0.39127660021894184,0.6024527534622042,0.39754724653779583,0.13145802024140862,0.8073582603862068,0.19264173961379324,0.39437406072454206
16,0.6293486366873332,2.1094237467877974e-15,8.826273045769994e-15,1.1213252548714081e-14,0.31467431834366655,0.9440229550310008,0.351001845574999,0.5549799610905182,0.44502003890948183,0.15733715917183352,0.6649398832710306,0.3350601167289694,0.47201147751568373
