t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(1480.2466133013527),np.float64(-74.79871400475595),np.float64(353.86167863998537),np.float64(71.12422135810449),np.float64(4.440892098500626e-16)
1,np.float64(1480.2466133013504),np.float64(-74.79871400475591),np.float64(353.86167863998475),np.float64(73.46320761799656),np.float64(8.881784197001252e-16)
2,np.float64(1480.2466133013459),np.float64(-74.79871400475511),np.float64(353.8616786399841),np.float64(144.38277383563582),np.float64(3.552713678800501e-15)
3,np.float64(1480.2466133013422),np.float64(-74.79871400474264),np.float64(353.8616786399873),np.float64(280.1220056521362),np.float64(7.105427357601002e-15)
4,np.float64(1480.2466133013431),np.float64(-74.79871400474259),np.float64(353.86167863998355),np.float64(393.9176682962443),np.float64(7.105427357601002e-15)
5,np.float64(1480.2466133013477),np.float64(-74.79871400475086),np.float64(353.86167863998196),np.float64(479.0232579030205),np.float64(1.4210854715202004e-14)
6,np.float64(1480.24661330135),np.float64(-74.79871400477373),np.float64(353.8616786399767),np.float64(550.3085947334121),np.float64(2.842170943040401e-14)
7,np.float64(1480.2466133013559),np.float64(-74.7987140047628),np.float64(353.86167863997855),np.float64(567.7446992217903),np.float64(2.842170943040401e-14)
8,np.float64(1480.2466133013468),np.float64(-74.79871400478008),np.float64(353.861678639976),np.float64(614.2678889685714),np.float64(2.842170943040401e-14)
9,np.float64(1480.2466133013484),np.float64(-74.79871400476831),np.float64(353.86167863997775),np.float64(628.685236694031),np.float64(2.842170943040401e-14)
10,np.float64(1480.2466133013424),np.float64(-74.79871400479163),np.float64(353.8616786399714),np.float64(640.0714035680473),np.float64(1.4210854715202004e-14)
11,np.float64(1480.246613301345),np.float64(-74.79871400480178),np.float64(353.8616786399676),np.float64(653.5213515501308),np.float64(2.842170943040401e-14)
12,np.float64(1480.246613301344),np.float64(-74.79871400478362),np.float64(353.8616786399733),np.float64(655.8165844606687),np.float64(2.842170943040401e-14)
13,np.float64(1480.2466133013445),np.float64(-74.79871400478203),np.float64(353.86167863997423),np.float64(656.7569301970811),np.float64(2.842170943040401e-14)
14,np.float64(1480.2466133013434),np.float64(-74.79871400478717),np.float64(353.8616786399711),np.float64(657.1988092833999),np.float64(2.842170943040401e-14)
15,np.float64(1480.2466133013463),np.float64(-74.79871400476082),np.float64(353.8616786399765),np.float64(657.4239477603479),np.float64(1.4210854715202004e-14)
16,np.float64(1480.2466133013472),np.float64(-74.79871400475116),np.float64(353.86167863997673),np.float64(657.6543858538231),np.float64(2.842170943040401e-14)
17,np.float64(1480.2466133013431),np.float64(-74.79871400474227),np.float64(353.8616786399772),np.float64(657.882332049557),np.float64(2.842170943040401e-14)
18,np.float64(1480.2466133013472),np.float64(-74.7987140047542),np.float64(353.86167863997605),np.float64(658.053677252821),np.float64(2.842170943040401e-14)
19,np.float64(1480.2466133013486),np.float64(-74.79871400475506),np.float64(353.8616786399725),np.float64(658.1750059601067),np.float64(2.842170943040401e-14)
20,np.float64(1480.2466133013509),np.float64(-74.79871400475199),np.float64(353.86167863997457),np.float64(658.2559398018899),np.float64(2.842170943040401e-14)
21,np.float64(1480.2466133013522),np.float64(-74.7987140047792),np.float64(353.8616786399715),np.float64(658.3232239111384),np.float64(2.842170943040401e-14)
22,np.float64(1480.2466133013581),np.float64(-74.7987140047988),np.float64(353.86167863997014),np.float64(658.4025414362916),np.float64(2.842170943040401e-14)
23,np.float64(1480.246613301365),np.float64(-74.79871400479041),np.float64(353.8616786399734),np.float64(658.476771329574),np.float64(2.842170943040401e-14)
24,np.float64(1480.246613301367),np.float64(-74.79871400481211),np.float64(353.86167863996576),np.float64(658.5339204661528),np.float64(2.842170943040401e-14)
25,np.float64(1480.2466133013686),np.float64(-74.79871400480805),np.float64(353.86167863996525),np.float64(658.5728175986568),np.float64(2.842170943040401e-14)
26,np.float64(1480.2466133013727),np.float64(-74.79871400477106),np.float64(353.8616786399729),np.float64(658.5988480701524),np.float64(2.842170943040401e-14)
27,np.float64(1480.2466133013654),np.float64(-74.79871400479067),np.float64(353.86167863996735),np.float64(658.6181992897289),np.float64(2.842170943040401e-14)
28,np.float64(1480.2466133013675),np.float64(-74.79871400478996),np.float64(353.86167863996644),np.float64(658.641397037542),np.float64(2.842170943040401e-14)
29,np.float64(1480.246613301368),np.float64(-74.79871400481326),np.float64(353.8616786399617),np.float64(658.6746668275631),np.float64(2.842170943040401e-14)
30,np.float64(1480.246613301369),np.float64(-74.79871400480869),np.float64(353.8616786399645),np.float64(658.7128813234007),np.float64(2.842170943040401e-14)
31,np.float64(1480.2466133013754),np.float64(-74.79871400480555),np.float64(353.86167863996394),np.float64(658.7463937167206),np.float64(2.842170943040401e-14)
32,np.float64(1480.2466133013759),np.float64(-74.79871400480421),np.float64(353.86167863996116),np.float64(658.7690921880163),np.float64(2.842170943040401e-14)
33,np.float64(1480.2466133013763),np.float64(-74.7987140048148),np.float64(353.86167863995803),np.float64(658.781671476046),np.float64(2.842170943040401e-14)
34,np.float64(1480.246613301382),np.float64(-74.79871400482132),np.float64(353.8616786399563),np.float64(658.788020780977),np.float64(2.842170943040401e-14)
35,np.float64(1480.246613301382),np.float64(-74.79871400481733),np.float64(353.8616786399591),np.float64(658.7938571395727),np.float64(2.842170943040401e-14)
36,np.float64(1480.2466133013813),np.float64(-74.79871400480349),np.float64(353.86167863996013),np.float64(658.8059944500067),np.float64(2.842170943040401e-14)
37,np.float64(1480.2466133013763),np.float64(-74.7987140048026),np.float64(353.8616786399592),np.float64(658.8271738126679),np.float64(2.842170943040401e-14)
38,np.float64(1480.2466133013736),np.float64(-74.79871400474327),np.float64(353.8616786399686),np.float64(658.8525676274364),np.float64(7.105427357601002e-15)
39,np.float64(1480.2466133013745),np.float64(-74.79871400474268),np.float64(353.86167863997105),np.float64(658.8740026341544),np.float64(2.842170943040401e-14)
40,np.float64(1480.2466133013759),np.float64(-74.79871400472297),np.float64(353.8616786399757),np.float64(658.8870160421594),np.float64(2.842170943040401e-14)
41,np.float64(1480.2466133013686),np.float64(-74.79871400473547),np.float64(353.8616786399724),np.float64(658.891897638981),np.float64(2.842170943040401e-14)
42,np.float64(1480.2466133013704),np.float64(-74.7987140047663),np.float64(353.86167863996843),np.float64(658.8918035771525),np.float64(2.842170943040401e-14)
43,np.float64(1480.246613301373),np.float64(-74.79871400477916),np.float64(353.8616786399645),np.float64(658.8917486819604),np.float64(2.842170943040401e-14)
44,np.float64(1480.2466133013763),np.float64(-74.79871400481142),np.float64(353.8616786399591),np.float64(658.8962688350141),np.float64(2.842170943040401e-14)
45,np.float64(1480.246613301379),np.float64(-74.79871400483941),np.float64(353.8616786399522),np.float64(658.9074902946112),np.float64(2.842170943040401e-14)
46,np.float64(1480.2466133013877),np.float64(-74.79871400483685),np.float64(353.86167863995604),np.float64(658.9233224689315),np.float64(2.842170943040401e-14)
47,np.float64(1480.2466133013918),np.float64(-74.79871400487721),np.float64(353.8616786399506),np.float64(658.9388248049821),np.float64(2.842170943040401e-14)
48,np.float64(1480.2466133013882),np.float64(-74.79871400487033),np.float64(353.8616786399498),np.float64(658.950132511648),np.float64(2.842170943040401e-14)
49,np.float64(1480.2466133013831),np.float64(-74.79871400487201),np.float64(353.86167863994865),np.float64(658.9559597432611),np.float64(2.842170943040401e-14)
50,np.float64(1480.2466133013863),np.float64(-74.798714004897),np.float64(353.86167863994916),np.float64(658.9570609815426),np.float64(2.842170943040401e-14)
51,np.float64(1480.2466133013938),np.float64(-74.79871400491297),np.float64(353.86167863994615),np.float64(658.9562018971391),np.float64(2.842170943040401e-14)
52,np.float64(1480.2466133013963),np.float64(-74.79871400491098),np.float64(353.8616786399464),np.float64(658.9570760787335),np.float64(2.842170943040401e-14)
53,np.float64(1480.2466133013893),np.float64(-74.79871400492549),np.float64(353.8616786399409),np.float64(658.9620687242262),np.float64(2.842170943040401e-14)
54,np.float64(1480.2466133013986),np.float64(-74.79871400492664),np.float64(353.861678639945),np.float64(658.9712646509089),np.float64(2.842170943040401e-14)
55,np.float64(1480.2466133013963),np.float64(-74.79871400489316),np.float64(353.86167863994996),np.float64(658.9828335362156),np.float64(2.842170943040401e-14)
56,np.float64(1480.2466133013897),np.float64(-74.79871400485956),np.float64(353.86167863995564),np.float64(658.9941481506088),np.float64(2.842170943040401e-14)
57,np.float64(1480.2466133013872),np.float64(-74.7987140048424),np.float64(353.8616786399609),np.float64(659.0027906239345),np.float64(2.842170943040401e-14)
58,np.float64(1480.2466133013877),np.float64(-74.79871400484224),np.float64(353.86167863996127),np.float64(659.00730448168),np.float64(2.842170943040401e-14)
59,np.float64(1480.2466133013888),np.float64(-74.79871400484146),np.float64(353.86167863996104),np.float64(659.0082289244622),np.float64(2.842170943040401e-14)
60,np.float64(1480.2466133013913),np.float64(-74.79871400481977),np.float64(353.86167863996616),np.float64(659.0081493678052),np.float64(2.842170943040401e-14)
61,np.float64(1480.2466133013922),np.float64(-74.79871400481969),np.float64(353.8616786399682),np.float64(659.0097407885098),np.float64(7.105427357601002e-15)
62,np.float64(1480.2466133013934),np.float64(-74.79871400482088),np.float64(353.861678639969),np.float64(659.0143916312696),np.float64(2.842170943040401e-14)
63,np.float64(1480.2466133013975),np.float64(-74.79871400482938),np.float64(353.861678639968),np.float64(659.0224391111384),np.float64(2.842170943040401e-14)
64,np.float64(1480.2466133014032),np.float64(-74.79871400482881),np.float64(353.8616786399702),np.float64(659.0328795051639),np.float64(2.842170943040401e-14)
65,np.float64(1480.2466133014022),np.float64(-74.79871400483347),np.float64(353.8616786399708),np.float64(659.043344854464),np.float64(2.842170943040401e-14)
66,np.float64(1480.2466133013995),np.float64(-74.79871400480926),np.float64(353.8616786399763),np.float64(659.051248972524),np.float64(2.842170943040401e-14)
67,np.float64(1480.2466133014036),np.float64(-74.7987140048198),np.float64(353.86167863997656),np.float64(659.0552783188955),np.float64(2.842170943040401e-14)
68,np.float64(1480.2466133014022),np.float64(-74.79871400484532),np.float64(353.86167863997036),np.float64(659.0562992351306),np.float64(2.842170943040401e-14)
69,np.float64(1480.2466133014036),np.float64(-74.79871400486415),np.float64(353.86167863996434),np.float64(659.0566992971586),np.float64(7.105427357601002e-15)
