N,series,denominator,onset_gt_0.05,initial,step1,final,max
3,N-2,1,46,1.540743955509788e-32,6.856411499875328e-25,0.1666666666662895,0.16666666666628993
3,N-1,2,50,1.540743955509788e-32,4.672644495372412e-25,0.16666666666627766,0.19045322287243932
3,N,3,45,1.540743955509788e-32,7.321725233185179e-25,0.16666666666628727,0.16666666666628727
3,N+1,4,48,1.540743955509788e-32,5.9242530602040705e-25,0.16666666666627888,0.17180403603232552
3,N+2,5,51,1.540743955509788e-32,4.445775150776078e-25,0.16666666666627875,0.182402610096419
3,124,124,-1,1.540743955509788e-32,9.449264447461855e-28,1.752747376919387e-08,1.752747376919387e-08
4,N-2,2,45,2.563071315326852e-33,2.7865343438939556e-25,0.16666666666624066,0.16666666666624066
4,N-1,3,143,2.563071315326852e-33,9.611535387844245e-27,0.22403476849652554,0.3057868300369175
4,N,4,50,2.563071315326852e-33,1.89995059195898e-25,0.16666666666622434,0.19075792255975685
4,N+1,5,45,2.563071315326852e-33,2.874224994564589e-25,0.1666666666662215,0.16934436958134844
4,N+2,6,45,2.563071315326852e-33,2.9755227765154497e-25,0.16666666666624042,0.1666666666662408
4,124,124,318,2.563071315326852e-33,1.5284739039823462e-27,0.0963831087426942,0.30987535969869373
5,N-2,3,65,1.5998053526836911e-32,6.416155150617224e-27,0.44849337267766104,0.44853503095449765
5,N-1,4,76,1.5998053526836911e-32,5.324581924578445e-28,0.440968694565465,0.440968694565465
5,N,5,64,1.5998053526836911e-32,6.609192004763892e-27,0.36888092109051573,0.38712494921449087
5,N+1,6,57,1.5998053526836911e-32,1.119655936167041e-26,0.3811217603046938,0.3811355899796815
5,N+2,7,55,1.5998053526836911e-32,1.2926105985191868e-26,0.38498398303729403,0.38498398303729403
5,124,124,291,1.5998053526836911e-32,1.1784442736439811e-28,0.3851831705950729,0.7071685227389384
6,N-2,4,74,2.0103706069852423e-32,3.9511553827142163e-26,0.3751173973046174,0.3751226826546796
6,N-1,5,61,2.0103706069852423e-32,5.305645152798271e-26,0.37278302792080115,0.3727963433690629
6,N,6,70,2.0103706069852423e-32,5.266542470515908e-26,0.23526859358384125,0.23564988261713654
6,N+1,7,61,2.0103706069852423e-32,5.808404479354116e-26,0.2535243965816968,0.2547129440855651
6,N+2,8,58,2.0103706069852423e-32,6.464754426516353e-26,0.14847977828081882,0.15000163910469316
6,124,124,279,2.0103706069852423e-32,1.243098560397287e-27,0.41039404371143434,0.41470730504800984
7,N-2,5,88,3.25203462734749e-32,1.0738750647191255e-27,0.08012668341660324,0.08091569199022684
7,N-1,6,102,3.25203462734749e-32,1.1647322279619784e-27,0.14569639025514744,0.14569639025514744
7,N,7,88,3.25203462734749e-32,1.183674617890451e-27,0.08834597005966033,0.08886043862388404
7,N+1,8,92,3.25203462734749e-32,1.2998374191477493e-27,0.07517660320618401,0.07976218123633802
7,N+2,9,83,3.25203462734749e-32,1.4457038386896483e-27,0.07745673675046352,0.07916529287797804
7,124,124,311,3.25203462734749e-32,4.1153969201271296e-29,0.2560541891595013,0.26192500945716873
8,N-2,6,96,1.7737857023326325e-32,6.737622280300778e-27,0.13721568957485844,0.1372156895748588
8,N-1,7,106,1.7737857023326325e-32,5.349095373063827e-27,0.18055736111185908,0.18055736111185908
8,N,8,94,1.7737857023326325e-32,6.63276695040856e-27,0.1198924419869819,0.1198924419869819
8,N+1,9,93,1.7737857023326325e-32,9.06240905713603e-27,0.12998429973344863,0.1311039901597975
8,N+2,10,94,1.7737857023326325e-32,1.1453107397884946e-26,0.13608271428619714,0.13786452751151507
8,124,124,247,1.7737857023326325e-32,5.008846534313683e-28,0.10444781482305959,0.11926127241779741
9,N-2,7,74,3.2596129253967836e-32,6.013726892112073e-27,0.11258370470870514,0.11278118865889167
9,N-1,8,93,3.2596129253967836e-32,4.9332454031919506e-27,0.24486493627412345,0.24486493627412345
9,N,9,74,3.2596129253967836e-32,6.767148375240426e-27,0.11840839483117133,0.12308581970090038
9,N+1,10,65,3.2596129253967836e-32,9.632708989430443e-27,0.10740165861065229,0.10755641826797728
9,N+2,11,62,3.2596129253967836e-32,1.2366370028411419e-26,0.11475927416332082,0.1288581362593211
9,124,124,156,3.2596129253967836e-32,6.791401586955969e-28,0.14569360687786992,0.15293415812203603
10,N-2,8,145,2.085299998443296e-33,3.798731666811085e-28,0.10530445327681005,0.10530445641691315
10,N-1,9,183,2.085299998443296e-33,2.7153394744508675e-28,0.14746069321665797,0.14746069321665797
10,N,10,144,2.085299998443296e-33,3.2601232096688347e-28,0.10820118948800748,0.10821912802503653
10,N+1,11,128,2.085299998443296e-33,4.6702415685536645e-28,0.10837026190502423,0.10837046304317298
10,N+2,12,129,2.085299998443296e-33,6.340786555599892e-28,0.11644628449159798,0.11644628449159798
10,124,124,251,2.085299998443296e-33,6.766764489254266e-29,0.10075026123573672,0.10233721201043924
11,N-2,9,109,2.2136730735053784e-32,4.081864794606652e-27,0.08844403657288541,0.08892583358435208
11,N-1,10,133,2.2136730735053784e-32,2.5373608558465476e-27,0.2271979060312795,0.2271979060312795
11,N,11,103,2.2136730735053784e-32,4.369668109924352e-27,0.09434468067309112,0.10188112153244207
11,N+1,12,87,2.2136730735053784e-32,7.703771235989656e-27,0.07871744479650379,0.08088318224268513
11,N+2,13,80,2.2136730735053784e-32,1.1297744146693393e-26,0.0818919215653945,0.0819593139523859
11,124,124,162,2.2136730735053784e-32,1.3215057684387183e-27,0.13642484664111174,0.13642484664111174
12,N-2,10,126,6.937133060949372e-32,4.575280101897648e-29,0.09294623545040527,0.09397907707136245
12,N-1,11,151,6.937133060949372e-32,3.8971122835410244e-29,0.20892583847655427,0.20892583847655427
12,N,12,122,6.937133060949372e-32,4.948136528012371e-29,0.09130545128451022,0.09183355556060784
12,N+1,13,102,6.937133060949372e-32,6.937454845400472e-29,0.0935782584220608,0.09358923057251693
12,N+2,14,94,6.937133060949372e-32,9.089324057507288e-29,0.09650357958027798,0.09652842867192474
12,124,124,189,6.937133060949372e-32,1.3577047773014444e-29,0.09656565913141864,0.09751099894448387
13,N-2,11,138,5.750546564589209e-32,3.3746522930787204e-27,0.058303613041312485,0.05966909661745179
13,N-1,12,206,5.750546564589209e-32,1.875055868070427e-27,0.21211714499609952,0.21211714499609952
13,N,13,145,5.750546564589209e-32,3.295582420691676e-27,0.06002295858884793,0.060145640884216416
13,N+1,14,139,5.750546564589209e-32,6.281278861471557e-27,0.053491148857215134,0.053491148857215134
13,N+2,15,161,5.750546564589209e-32,9.818030695549462e-27,0.05087428215195087,0.05087428215195087
13,124,124,163,5.750546564589209e-32,2.2027618145907436e-27,0.06694606970896047,0.06754041112101698
14,N-2,12,119,3.37803207931815e-32,8.07198647186497e-28,0.08722473653057941,0.08758732209173466
14,N-1,13,172,3.37803207931815e-32,5.999425875612089e-28,0.23767113138303997,0.23767113138303997
14,N,14,119,3.37803207931815e-32,8.528093988350128e-28,0.0980724875722337,0.09888140357418006
14,N+1,15,94,3.37803207931815e-32,1.3634455892796739e-27,0.08684337216907229,0.0868433733229212
14,N+2,16,85,3.37803207931815e-32,1.9739973280133818e-27,0.08547870533108763,0.08547960981631748
14,124,124,126,3.37803207931815e-32,5.081405102374136e-28,0.07777777450109988,0.07849330865669786
15,N-2,13,118,1.9208160927824112e-33,5.911416389751888e-28,0.12414257716905343,0.12784696096088258
15,N-1,14,130,1.9208160927824112e-33,4.846627298273093e-28,0.3541078070069624,0.3541078070069624
15,N,15,110,1.9208160927824112e-33,6.781758816836306e-28,0.11489535406100528,0.1277447847740518
15,N+1,16,90,1.9208160927824112e-33,1.0439029003302214e-27,0.12102838518703064,0.121125342167263
15,N+2,17,80,1.9208160927824112e-33,1.481558082018204e-27,0.11659065998933182,0.11660041339501714
15,124,124,125,1.9208160927824112e-33,4.443562864106079e-28,0.12759118427688831,0.12968596533092644
16,N-2,14,118,3.1392658093511944e-32,2.1788040946954443e-28,0.17214740795094752,0.17220848867986852
16,N-1,15,118,3.1392658093511944e-32,1.7683570406685447e-28,0.31265446841991124,0.31265446841991124
16,N,16,105,3.1392658093511944e-32,2.5231281997032793e-28,0.1715355665275562,0.17271985710749163
16,N+1,17,93,3.1392658093511944e-32,3.9555331791633137e-28,0.10644537242075013,0.10664843401326476
16,N+2,18,86,3.1392658093511944e-32,5.7214673962002405e-28,0.10190914651662591,0.10191990107625533
16,124,124,119,3.1392658093511944e-32,2.2121738101548368e-28,0.11923659691304274,0.119524929419434
17,N-2,15,129,7.828745857519421e-32,1.9098579356214344e-27,0.10601027715019473,0.10611400381299144
17,N-1,16,155,7.828745857519421e-32,1.6109583747410694e-27,0.4409981236877898,0.4409981236877898
17,N,17,120,7.828745857519421e-32,2.133219947963553e-27,0.15047676868275234,0.15079287833952199
17,N+1,18,98,7.828745857519421e-32,3.171942725679868e-27,0.09709551280073203,0.09723028326594557
17,N+2,19,87,7.828745857519421e-32,4.476705121220499e-27,0.08447611745399344,0.08465976898980135
17,124,124,113,7.828745857519421e-32,2.0707423983909078e-27,0.08957535121558165,0.08957535121558165
18,N-2,16,127,1.8999329039783855e-32,2.0495545750157554e-28,0.18148119262534892,0.18153605187294775
18,N-1,17,144,1.8999329039783855e-32,1.510450710011131e-28,0.457983141452253,0.457983141452253
18,N,18,121,1.8999329039783855e-32,2.564205155780903e-28,0.13938333021008797,0.13948431269631212
18,N+1,19,97,1.8999329039783855e-32,4.63475763340517e-28,0.11007483566799058,0.1110265228066587
18,N+2,20,84,1.8999329039783855e-32,7.245345200777994e-28,0.10042052762211157,0.10042053683197007
18,124,124,100,1.8999329039783855e-32,4.500454112439544e-28,0.10554738914154631,0.1057366159431669
