N,den,components,survivors,PR,sup_max,sup_min,sup_count
3,1,3,1,1.000000,1.566667e-04,2.136189e-08,2
3,2,3,2,1.033943,1.870958e-02,1.870958e-02,1
3,3,3,3,2.317622,,,0
3,4,3,3,2.206992,,,0
3,5,3,3,2.321901,,,0
3,124,3,3,3.000000,,,0
4,2,6,6,4.898721,,,0
4,3,6,6,5.966506,,,0
4,4,6,1,1.007296,4.920582e-02,3.261605e-11,5
4,5,6,2,2.000014,1.098959e-03,1.289830e-05,4
4,6,6,6,5.696599,,,0
4,124,6,6,6.000000,,,0
5,3,10,4,4.000000,1.521993e-16,6.721366e-155,6
5,4,10,4,4.000000,1.477430e-16,4.916481e-18,6
5,5,10,4,4.000000,5.112122e-16,4.384123e-127,6
5,6,10,4,4.000000,3.963977e-16,7.403256e-84,6
5,7,10,4,4.000000,5.381360e-16,1.155849e-58,6
5,124,10,10,10.000000,,,0
6,4,15,5,4.738633,1.673036e-16,2.031419e-154,10
6,5,15,5,5.000000,1.751519e-16,1.611119e-154,10
6,6,15,5,5.000000,6.090796e-16,2.579101e-106,10
6,7,15,5,5.000000,5.525728e-16,3.765849e-76,10
6,8,15,5,5.000000,2.523169e-23,1.439740e-38,10
6,124,15,15,15.000000,,,0
7,5,21,6,6.000000,5.144465e-16,7.616506e-135,15
7,6,21,6,6.000000,3.144792e-16,1.467115e-93,15
7,7,21,6,6.000000,5.906282e-16,3.861133e-68,15
7,8,21,6,6.000000,4.690103e-16,2.895789e-51,15
7,9,21,6,6.000000,3.076940e-16,3.360248e-40,15
7,124,21,21,21.000000,,,0
8,6,28,7,7.000000,2.905584e-16,3.636207e-91,21
8,7,28,7,7.000000,4.812794e-16,4.083899e-68,21
8,8,28,7,7.000000,4.784909e-16,3.561439e-52,21
8,9,28,7,7.000000,1.140763e-15,1.053100e-41,21
8,10,28,7,7.000000,5.810698e-16,2.055397e-33,21
8,124,28,28,28.000000,,,0
9,7,36,8,8.000000,7.350532e-16,6.362840e-62,28
9,8,36,8,8.000000,2.989358e-16,9.969743e-49,28
9,9,36,8,8.000000,9.447181e-16,2.153963e-38,28
9,10,36,8,8.000000,1.929023e-15,2.502614e-24,28
9,11,36,8,8.000000,6.306173e-16,1.274072e-25,28
9,124,36,36,36.000000,,,0
10,8,45,9,8.453157,1.585866e-15,7.578190e-54,36
10,9,45,9,9.000000,7.119512e-16,1.853001e-42,36
10,10,45,9,9.000000,7.890293e-16,2.801651e-35,36
10,11,45,9,9.000000,2.147633e-19,8.774918e-26,36
10,12,45,9,9.000000,1.400729e-15,1.295441e-24,36
10,124,45,45,45.000000,,,0
11,9,55,10,9.680333,9.460101e-16,2.262540e-40,45
11,10,55,10,10.000000,8.580901e-16,1.014589e-34,45
11,11,55,10,10.000000,1.011681e-15,8.073747e-28,45
11,12,55,10,10.000000,1.373048e-15,3.632415e-24,45
11,13,55,10,10.000000,9.606760e-16,8.075208e-21,45
11,124,55,55,55.000000,,,0
12,10,66,11,11.000000,1.182251e-15,3.406898e-32,55
