step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,3.5870890807362456e-32,2.9892409006141567e-32,0.9999999999999997,5.551115123125783e-17
25,1.9986658762541515e-29,1.6655548968787948e-29,0.9999999999999999,6.925929190239007e-16
50,5.447797669450624e-29,4.539831391209765e-29,1.0000000000000004,1.4801817134172816e-15
75,7.831789181886879e-29,6.526490984907011e-29,0.9999999999999999,1.5598534721380269e-15
100,8.793644794724395e-29,7.328037328938486e-29,0.9999999999999998,1.7572297286834803e-15
125,1.4827991852543305e-28,1.2356659877121864e-28,1.0000000000000004,1.995932757225581e-15
150,2.2284850837714873e-28,1.8570709031432807e-28,0.9999999999999996,2.992457830851237e-15
200,3.744889773811813e-28,3.120741478177148e-28,1.0000000000000002,3.700197515500326e-15
300,8.582815339250724e-28,7.152346116043632e-28,1.0,5.9048489519812375e-15
500,4.097498710617164e-27,3.414582258848196e-27,1.0,1.2040333298399718e-14
750,1.5419179526882477e-26,1.2849316272403802e-26,1.0000000000000004,1.7611289287127382e-14
1000,4.335720047618812e-26,3.613100039682808e-26,0.9999999999999994,2.102799728371826e-14
1500,1.5387168812806612e-25,1.2822640677339663e-25,1.0000000000000002,1.4644475773581323e-14
2000,2.940727137375079e-25,2.4506059478126034e-25,1.0,1.799729966774965e-14
3000,4.257854907885717e-25,3.548212423238009e-25,0.9999999999999994,4.577867920708378e-14
4000,4.8717229020432765e-25,4.059769085036e-25,0.9999999999999994,5.362631198047017e-14
5000,6.264539772104309e-25,5.220449810086734e-25,1.0,1.529192192954752e-13
7500,4.119733624389533e-24,3.4331113536578184e-24,1.0,2.1331798613011357e-12
10000,4.3977857956312825e-22,3.6648214963591247e-22,1.0000000000000002,3.3611559151191894e-11
15000,2.6865316190880556e-17,2.2387763492394394e-17,0.9999999999999962,8.396159963843074e-09
20000,1.6762457116186829e-12,1.3968714263483449e-12,0.9999999997800778,2.0972470857767915e-06
25000,1.0458720853177313e-07,8.715600710976997e-08,0.9999862788134002,0.0005238594366909076
30000,0.012142839905364591,0.010119033254464864,0.687614621066968,0.10114061857585496
35000,0.8867355086352956,0.7389462571954588,0.3461157706997779,0.2067167173135776
40000,0.8534765771728917,0.7112304809764668,0.3342270911400563,0.22562910146058107
