step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,7.256039327210768e-32,5.240531886942956e-32,1.0000000000000004,5.551115123125783e-17
5,7.11072148984161e-30,5.1355789331160805e-30,1.0,4.1540741810552243e-16
10,1.4866853329146772e-29,1.0737292814514875e-29,1.0000000000000002,4.521121152593664e-16
25,3.4855889899605897e-29,2.5173981869372582e-29,1.0,9.170347456171984e-16
50,1.2581158590277865e-28,9.086494683096191e-29,1.0000000000000002,1.7005596242802213e-15
75,1.546910399619881e-28,1.1172256529882793e-28,1.0000000000000002,1.6669638292841861e-15
100,1.9069326767286917e-28,1.3772446713697337e-28,1.0,1.6952446197598406e-15
125,2.3244623207016692e-28,1.678797255956596e-28,1.0000000000000002,1.839063100772604e-15
150,2.9427268065293896e-28,2.1253266374049853e-28,1.0000000000000004,2.2031304256476855e-15
200,3.9627542782163136e-28,2.8620214442932933e-28,0.9999999999999997,2.6146703495615447e-15
250,4.846151095320735e-28,3.5000374444959043e-28,1.0000000000000004,3.2992851766582516e-15
300,5.030252339639022e-28,3.6330009522401035e-28,0.9999999999999998,2.999461751718229e-15
350,3.964394775192289e-28,2.86320626101291e-28,1.0,3.1352745391994704e-15
400,5.967027751409601e-28,4.309568594022061e-28,0.9999999999999997,4.095214017538606e-15
450,6.577944361000654e-28,4.75079111617944e-28,1.0000000000000002,4.407293093937785e-15
500,7.300703084176443e-28,5.272789408162929e-28,1.0000000000000004,4.43859506097422e-15
