step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,2.2235267695984013e-32,3.3352901543980535e-32,1.0000000000000002,6.165529015714358e-11
5,1.2877274912439431e-30,1.9315912368661704e-30,1.0000000000000002,6.165533822545279e-11
10,6.33547637823606e-30,9.503214567355365e-30,0.9999999999999997,6.165553221197324e-11
25,3.9850095381187657e-29,5.97751430717893e-29,1.0000000000000002,6.165591656442339e-11
50,1.5885711483756359e-28,2.382856722563757e-28,1.0000000000000002,6.16562934814492e-11
75,3.2782121665437283e-28,4.9173182498161825e-28,1.0000000000000002,6.165618075409024e-11
100,6.496239297863642e-28,9.74435894679659e-28,1.0,6.165693821543895e-11
125,9.281007178589179e-28,1.3921510767885388e-27,1.0,6.165679381294592e-11
150,1.3177930332389839e-27,1.9766895498587173e-27,1.0000000000000004,6.165662290618192e-11
200,2.2308385196821935e-27,3.346257779523697e-27,1.0000000000000004,6.165659545494192e-11
250,3.61183780630336e-27,5.417756709455659e-27,1.0000000000000002,6.165672324265063e-11
300,5.190697526985251e-27,7.786046290478774e-27,1.0,6.165607663240905e-11
350,6.94409241228319e-27,1.0416138618425959e-26,1.0,6.165535792865914e-11
400,8.90415101020755e-27,1.33562265153129e-26,1.0000000000000002,6.165508519939586e-11
450,1.1132043389562798e-26,1.669806508434618e-26,0.9999999999999999,6.165503275560886e-11
500,1.4136146307480154e-26,2.1204219461222765e-26,1.0,6.165574197238052e-11
