step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_of_step_generator,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error,measured_phase_advance,angle_times_sigma1_next
0.0,1.1999999999997517,2.523659576150209e-33,1.1999999999997517,14.999999999999998,0.9999999999999999,2.5070054107542028e-14,nan,0.28284271241454373,0.2828427125326572,3.539177508259008e-11,nan,nan,8.107335880228919e-05,0.0003242934352092017
1.0,1.1999999999997528,2.8356780826631548e-27,1.1999999999997528,14.999999999999996,0.9999999999999998,2.4507146999901743e-14,0.6399999999998672,0.28284271241454684,0.28284271253266524,3.539315335364729e-11,0.6399999999998673,6.516190355005165e-17,8.107335880228756e-05,0.0003242934352092022
2.0,1.1999999999997524,1.1305582204525056e-26,1.1999999999997524,15.000000000000009,1.0000000000000007,2.433641760192293e-14,0.6399999999998682,0.2828427124145496,0.28284271253267323,3.539453507528816e-11,0.6399999999998682,5.392050359139659e-17,8.107335880232422e-05,0.00032429343520920214
3.0,1.1999999999997524,2.548069382255112e-26,1.1999999999997524,15.0,1.0,2.4417222125336354e-14,0.6399999999998681,0.2828427124145529,0.28284271253268123,3.5395849565474687e-11,0.6399999999998677,4.7772856226192795e-17,8.107335880232483e-05,0.00032429343520920187
4.0,1.1999999999997506,4.53688823124193e-26,1.1999999999997506,15.000000000000004,1.0000000000000002,2.3950617710976262e-14,0.6399999999998676,0.2828427124145557,0.2828427125326893,3.539717024457658e-11,0.6399999999998681,6.770423717108498e-17,8.107335880234415e-05,0.00032429343520920143
5.0,1.199999999999751,7.086904823163696e-26,1.199999999999751,14.999999999999995,0.9999999999999997,2.4264017405350258e-14,0.6399999999998667,0.28284271241455905,0.28284271253269744,3.539855680552179e-11,0.6399999999998668,6.606341972478408e-17,8.107335880229834e-05,0.00032429343520920165
6.0,1.1999999999997493,1.0206924524787365e-25,1.1999999999997493,14.999999999999998,0.9999999999999999,2.46955641183102e-14,0.6399999999998671,0.282842712414562,0.2828427125327055,3.539999560212191e-11,0.6399999999998671,3.040718396337909e-17,8.107335880227805e-05,0.0003242934352092011
7.0,1.1999999999997497,1.390866093302432e-25,1.1999999999997497,14.999999999999995,0.9999999999999997,2.513264861627571e-14,0.639999999999866,0.2828427124145652,0.2828427125327137,3.540138778544159e-11,0.6399999999998663,5.4993743878695703e-17,8.107335880235863e-05,0.00032429343520920127
8.0,1.1999999999997504,1.815569481564698e-25,1.1999999999997504,15.000000000000002,1.0000000000000002,2.592099572484195e-14,0.6399999999998663,0.28284271241456793,0.2828427125327215,3.540283584813878e-11,0.6399999999998665,6.884743554198461e-17,8.107335880235419e-05,0.0003242934352092015
9.0,1.199999999999751,2.2976942032733514e-25,1.199999999999751,15.0,1.0,2.6611987752446204e-14,0.6399999999998668,0.2828427124145706,0.28284271253272947,3.540425751087394e-11,0.6399999999998669,6.661837878445029e-17,8.107335880231703e-05,0.00032429343520920143
10.0,1.1999999999997513,2.835882833879102e-25,1.1999999999997513,15.000000000000004,1.0000000000000002,2.770145520374771e-14,0.6399999999998667,0.2828427124145735,0.2828427125327374,3.5405634273950674e-11,0.6399999999998675,6.873533949014101e-17,8.107335880235176e-05,0.00032429343520920165
11.0,1.1999999999997493,3.4320769907378705e-25,1.1999999999997493,14.999999999999996,0.9999999999999998,2.9082732956167784e-14,0.6399999999998671,0.2828427124145767,0.28284271253274534,3.540698926969257e-11,0.6399999999998673,5.2113934299185405e-17,8.107335880225164e-05,0.0003242934352092012
12.0,1.1999999999997493,4.0848586840231876e-25,1.1999999999997493,14.999999999999998,0.9999999999999999,3.0414081218996027e-14,0.6399999999998662,0.28284271241457964,0.2828427125327531,3.54084431793173e-11,0.6399999999998665,6.45966162176853e-17,8.107335880229743e-05,0.0003242934352092013
13.0,1.1999999999997515,4.792735457814474e-25,1.1999999999997515,14.999999999999996,0.9999999999999998,3.1888624496800174e-14,0.6399999999998665,0.2828427124145826,0.28284271253276105,3.540983801114569e-11,0.6399999999998663,5.644685967850523e-17,8.107335880230152e-05,0.00032429343520920165
14.0,1.1999999999997497,5.556176811090763e-25,1.1999999999997497,14.999999999999996,0.9999999999999998,3.3414025950439404e-14,0.6399999999998671,0.28284271241458553,0.2828427125327683,3.5411099801192884e-11,0.6399999999998675,6.404763169842832e-17,8.107335880227561e-05,0.00032429343520920143
15.0,1.1999999999997502,6.37785670095085e-25,1.1999999999997502,15.000000000000002,1.0000000000000002,3.502804838344486e-14,0.6399999999998667,0.2828427124145884,0.2828427125327761,3.5412454703553124e-11,0.6399999999998667,3.810720012322896e-17,8.107335880228281e-05,0.00032429343520920143
16.0,1.1999999999997506,7.2581411167817775e-25,1.1999999999997506,15.000000000000004,1.0000000000000002,3.643905420717867e-14,0.6399999999998667,0.2828427124145914,0.2828427125327841,3.541388748124232e-11,0.6399999999998666,5.562031115267213e-17,8.107335880226267e-05,0.00032429343520920154
17.0,1.1999999999997493,8.193774173056719e-25,1.1999999999997493,14.999999999999993,0.9999999999999996,3.823282193404132e-14,0.6399999999998669,0.28284271241459397,0.2828427125327916,3.5415246986699306e-11,0.6399999999998668,5.75677662705985e-17,8.107335880229895e-05,0.0003242934352092011
18.0,1.1999999999997497,9.185507707906726e-25,1.1999999999997497,15.000000000000004,1.0000000000000002,3.9463135919089535e-14,0.639999999999866,0.2828427124145972,0.2828427125327996,3.54166234894022e-11,0.6399999999998663,5.4915883557688434e-17,8.107335880226018e-05,0.0003242934352092014
19.0,1.1999999999997477,1.0235491053445773e-24,1.1999999999997477,14.999999999999993,0.9999999999999996,4.110619743395599e-14,0.6399999999998666,0.28284271241460013,0.2828427125328075,3.5418064148021094e-11,0.6399999999998665,6.446035550077754e-17,8.10733588022829e-05,0.0003242934352092007
20.0,1.1999999999997482,1.1342277645614873e-24,1.1999999999997482,14.999999999999998,0.9999999999999999,4.268372775096835e-14,0.6399999999998652,0.2828427124146031,0.2828427125328159,3.5419475867261507e-11,0.6399999999998656,6.754918883080579e-17,8.107335880227317e-05,0.00032429343520920084
21.0,1.1999999999997464,1.250642193198679e-24,1.1999999999997464,15.0,1.0,4.475827558146635e-14,0.6399999999998656,0.2828427124146055,0.28284271253282345,3.542090201218291e-11,0.6399999999998657,5.667546950209543e-17,8.107335880229606e-05,0.0003242934352092003
22.0,1.1999999999997448,1.3724836201246305e-24,1.1999999999997448,14.999999999999996,0.9999999999999998,4.676799108849146e-14,0.6399999999998645,0.2828427124146082,0.2828427125328308,3.5422293796014455e-11,0.6399999999998648,5.898219257662075e-17,8.107335880232924e-05,0.0003242934352092001
