step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,1.2415562045460068e-32,4.2442768400487754e-33,0.8474576271186445,0.03909544906940961
5,2.1296377196284284e-08,7.280195627082689e-09,0.8474576271186438,0.03909544906940968
10,8.518550816234838e-08,2.9120782295429544e-08,0.8474576271186441,0.03909544906940963
25,5.324093987614011e-07,1.820048800298649e-07,0.8474576271186464,0.03909544906940938
50,2.1296372057109496e-06,7.280193870248742e-07,0.8474576271186453,0.03909544906940954
75,4.791682252849678e-06,1.638043121702979e-06,0.8474576271186436,0.039095449069409906
100,8.518542593499115e-06,2.912075418589481e-06,0.8474576271186436,0.03909544906940999
125,1.3310215502318955e-05,4.550115346023092e-06,0.8474576271186444,0.03909544906940995
150,1.9166697475294906e-05,6.552161706151711e-06,0.8474576271186444,0.03909544906940997
200,3.407407070444268e-05,1.1648267602184763e-05,0.8474576271186461,0.03909544906940978
250,5.324061867570642e-05,1.820037820017922e-05,0.8474576271186496,0.03909544906940924
300,7.666628532543076e-05,2.6208474334697778e-05,0.8474576271186507,0.039095449069409184
350,0.00010435100213170973,3.5672532581433415e-05,0.8474576271186535,0.039095449069408886
400,0.00013629468811458885,4.6592525257278065e-05,0.8474576271186529,0.039095449069408976
450,0.00017249724983633022,5.89684204204132e-05,0.8474576271186529,0.039095449069409094
500,0.00021295858140162358,7.280018187038278e-05,0.8474576271186535,0.039095449069409066
