step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,4.6268361412448296e-32,1.8984186286414247e-32,0.6275736279156697,0.08128991710153267
5,8.524348580518675e-12,3.4975913665997695e-12,0.6275736279088253,0.08128991710207224
10,3.409739429031321e-11,1.3990365453367132e-11,0.6275736278867735,0.08128991710381031
25,2.1310871371718638e-10,8.743978383848068e-11,0.6275736277293668,0.08128991711621639
50,8.524348510935933e-10,3.4975913380495305e-10,0.6275736271628667,0.08128991716086587
75,1.917978406977723e-09,7.86958047785726e-10,0.6275736262161684,0.08128991723548089
100,3.4097393769927605e-09,1.3990365239849645e-09,0.6275736248892767,0.08128991734006123
125,5.327717757598046e-09,2.1859945609499084e-09,0.6275736231821896,0.08128991747460704
150,7.671913546060009e-09,3.1478321575589735e-09,0.6275736210949089,0.08128991763911798
200,1.3638957339526225e-08,5.5961460268259e-09,0.6275736157797838,0.08128991805803523
250,2.1310870751950584e-08,8.74397812955326e-09,0.6275736089439153,0.08128991859681237
300,3.068765379015912e-08,1.2591328468541925e-08,0.6275736005873218,0.08128991925544726
350,4.176930647534606e-08,1.7138197052487916e-08,0.6275735907100218,0.0812899200339392
400,5.455582884093835e-08,2.2384583895106287e-08,0.6275735793120261,0.08128992093228803
450,6.904722093241289e-08,2.8330489015056742e-08,0.6275735663933578,0.0812899219504912
500,8.524348280900675e-08,3.4975912436644505e-08,0.627573551954037,0.08128992308854802
