step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_of_step_generator,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error,measured_phase_advance,angle_times_sigma1_next
0.0,2.647364834465127,5.7104252823535035e-33,2.647364834465127,46.16157409207344,0.6994177892738399,2.2314238766758046e-16,nan,0.016698686496539644,0.31253442567767176,0.07431413249660504,nan,nan,5.811943211275517e-09,3.904324042144449e-08
1.0,2.6473648344651277,1.4952886897235474e-17,2.6473648344651277,46.16157409207342,0.6994177892738397,1.2046256836870157e-09,0.7705266637173751,0.016698686496539605,0.3125344256776718,0.07431413249660504,0.7705266637173748,8.636063144326272e-17,5.811943285155494e-09,3.9043240421444503e-08
2.0,2.6473648344651295,5.981154666483527e-17,2.6473648344651295,46.161574092073415,0.6994177892738396,2.4092495874923703e-09,0.7705266637173753,0.01669868649653946,0.31253442567767237,0.07431413249660511,0.7705266637173753,7.784450559092127e-17,5.811943232349555e-09,3.9043240421444536e-08
3.0,2.647364834465132,1.3457597541870882e-16,2.647364834465132,46.161574092073394,0.6994177892738394,3.6138743845911557e-09,0.770526663717376,0.016698686496539106,0.3125344256776725,0.07431413249660519,0.7705266637173755,8.668130907801036e-17,5.811943289131684e-09,3.904324042144456e-08
4.0,2.6473648344651326,2.3924617707530716e-16,2.647364834465133,46.161574092073366,0.6994177892738389,4.8184976247064286e-09,0.7705266637173764,0.01669868649653905,0.3125344256776725,0.07431413249660523,0.7705266637173762,7.985217372240508e-17,5.811943228773557e-09,3.904324042144457e-08
5.0,2.6473648344651335,3.7382214634560633e-16,2.647364834465134,46.161574092073366,0.6994177892738389,6.023122199511101e-09,0.7705266637173767,0.016698686496538755,0.3125344256776724,0.07431413249660528,0.7705266637173764,8.5849212561786e-17,5.811943237014885e-09,3.904324042144456e-08
6.0,2.6473648344651344,5.383038840282789e-16,2.647364834465135,46.16157409207334,0.6994177892738385,7.2277483242804594e-09,0.7705266637173764,0.016698686496538898,0.3125344256776732,0.07431413249660528,0.7705266637173769,8.021004104442372e-17,5.811943208350704e-09,3.904324042144458e-08
7.0,2.6473648344651357,7.326913964481265e-16,2.6473648344651366,46.16157409207331,0.699417789273838,8.432371788041005e-09,0.7705266637173769,0.01669868649653887,0.3125344256776737,0.07431413249660536,0.770526663717377,9.06024061295846e-17,5.8119432195883105e-09,3.904324042144463e-08
8.0,2.6473648344651357,9.569846784909217e-16,2.6473648344651366,46.16157409207327,0.6994177892738375,9.636996580783596e-09,0.7705266637173778,0.016698686496538752,0.31253442567767376,0.07431413249660537,0.7705266637173773,8.643079448014382e-17,5.811943233435563e-09,3.904324042144458e-08
9.0,2.647364834465136,1.2111837511166253e-15,2.6473648344651375,46.16157409207325,0.6994177892738371,1.0841621373577397e-08,0.7705266637173769,0.016698686496538672,0.312534425677674,0.07431413249660544,0.7705266637173774,8.753590102468735e-17,5.811943259375073e-09,3.9043240421444616e-08
