N,iteration,sigma,sigma2,chi,norm2,r2,Nr2,phase_mix_rms,identity_error
3,381,0.707106781186548,0.5000000000000007,0.2828427124746189,0.20000000000000015,0.06666666666666672,0.20000000000000015,0.9886276689065763,8.326672684688674e-17
3,382,0.7071067811865479,0.5000000000000006,0.28284271247461923,0.20000000000000015,0.06666666666666672,0.20000000000000015,0.7151815368959701,1.1102230246251565e-16
3,383,0.7071067811865481,0.5000000000000009,0.2828427124746191,0.20000000000000015,0.06666666666666672,0.20000000000000015,1.2527566038279385,1.1102230246251565e-16
3,384,0.7071067811865459,0.4999999999999977,0.2828427124746184,0.19999999999999907,0.06666666666666636,0.19999999999999907,1.044411294657365,2.7755575615628914e-17
3,385,0.7071067811865481,0.5000000000000009,0.2828427124746191,0.20000000000000018,0.06666666666666672,0.20000000000000018,0.7669884404238169,8.326672684688674e-17
3,386,0.7071067811865478,0.5000000000000003,0.28284271247461906,0.19999999999999996,0.06666666666666665,0.19999999999999996,0.5734668765932394,1.6653345369377348e-16
3,387,0.7071067811865469,0.4999999999999991,0.2828427124746188,0.1999999999999997,0.06666666666666657,0.1999999999999997,1.0564861688543992,2.7755575615628914e-17
3,388,0.7071067811865482,0.500000000000001,0.28284271247461923,0.20000000000000023,0.06666666666666675,0.20000000000000026,1.0427834132423557,1.1102230246251565e-16
3,389,0.707106781186547,0.4999999999999993,0.2828427124746188,0.1999999999999997,0.06666666666666657,0.1999999999999997,0.5213917066211777,0.0
3,390,0.7071067811865481,0.5000000000000009,0.2828427124746194,0.20000000000000046,0.06666666666666682,0.20000000000000048,1.0824233508814545,0.0
3,391,0.7071067811865479,0.5000000000000006,0.28284271247461934,0.20000000000000034,0.06666666666666678,0.20000000000000032,0.7506917608162639,0.0
3,392,0.7071067811865468,0.49999999999999895,0.28284271247461884,0.19999999999999973,0.06666666666666658,0.19999999999999973,0.5666479064290424,5.551115123125783e-17
3,393,0.7071067811865468,0.49999999999999895,0.2828427124746188,0.19999999999999993,0.06666666666666664,0.19999999999999993,1.057884284021796,3.0531133177191805e-16
3,394,0.707106781186548,0.5000000000000007,0.2828427124746192,0.2000000000000003,0.06666666666666676,0.2000000000000003,0.5289421420108982,2.7755575615628914e-17
3,395,0.7071067811865468,0.49999999999999895,0.2828427124746187,0.19999999999999954,0.06666666666666651,0.19999999999999954,1.0725714724659674,2.7755575615628914e-17
3,396,0.7071067811865479,0.5000000000000006,0.2828427124746191,0.20000000000000023,0.06666666666666675,0.20000000000000026,0.988448839939541,5.551115123125783e-17
3,397,0.7071067811865476,0.5000000000000001,0.28284271247461873,0.19999999999999984,0.06666666666666661,0.19999999999999984,0.9875083979912302,2.7755575615628914e-17
3,398,0.7071067811865486,0.5000000000000014,0.28284271247461973,0.2000000000000008,0.06666666666666693,0.20000000000000076,0.7297066314247938,2.7755575615628914e-17
3,399,0.7071067811865467,0.49999999999999883,0.2828427124746187,0.19999999999999934,0.06666666666666644,0.19999999999999937,1.2606292173741238,1.6653345369377348e-16
3,400,0.707106781186548,0.5000000000000007,0.2828427124746193,0.20000000000000046,0.06666666666666682,0.20000000000000048,1.047572161333673,1.1102230246251565e-16
4,381,1.4142135623730945,1.9999999999999984,0.47140452079103146,0.6666666666666662,0.11111111111111104,0.44444444444444414,0.9770968752791673,1.1102230246251565e-16
4,382,1.414213562373097,2.0000000000000053,0.4714045207910322,0.6666666666666674,0.11111111111111123,0.4444444444444449,0.6775494272348921,8.881784197001252e-16
4,383,1.4142135623730927,1.9999999999999933,0.4714045207910309,0.6666666666666647,0.11111111111111079,0.44444444444444314,1.0318371946630007,3.3306690738754696e-16
4,384,1.4142135623730967,2.000000000000005,0.4714045207910322,0.6666666666666679,0.11111111111111131,0.44444444444444525,0.9384543224689343,3.3306690738754696e-16
4,385,1.4142135623730967,2.000000000000005,0.47140452079103146,0.6666666666666661,0.11111111111111101,0.44444444444444403,1.0021783063656402,9.992007221626409e-16
4,386,1.4142135623730947,1.9999999999999991,0.47140452079103146,0.6666666666666664,0.11111111111111106,0.44444444444444425,0.9874943370944207,2.220446049250313e-16
4,387,1.414213562373096,2.0000000000000027,0.47140452079103146,0.6666666666666663,0.11111111111111105,0.4444444444444442,0.6725535325035102,5.551115123125783e-16
4,388,1.4142135623730943,1.9999999999999978,0.4714045207910318,0.6666666666666665,0.11111111111111109,0.44444444444444436,0.58426957673734,1.1102230246251565e-16
4,389,1.4142135623730958,2.000000000000002,0.47140452079103157,0.6666666666666667,0.11111111111111112,0.4444444444444445,0.5257417970902113,1.1102230246251565e-16
4,390,1.4142135623730945,1.9999999999999984,0.47140452079103184,0.666666666666667,0.11111111111111116,0.44444444444444464,1.1162811609724526,3.3306690738754696e-16
