tag,N,method,t50,omega_early,omega_early_pred,omega_early_dev,omega_late,omega_late_pred,omega_late_dev,lambda_ratio_late_over_early,omega_ratio_meas,omega_ratio_pred,n_lines_early,n_lines_mid,n_lines_late,bright_first,bright_final,lines_mid
hm_N10,10,hm,20801,0.004971238124528141,0.004971238124528552,8.270162352069844e-14,-0.09940409236628561,-0.09942412380420908,0.0002014746236327108,-0.05001039701876711,-19.995842057097363,-19.999871523683645,1,3,1,0.639863387015959,0.1108870467268712,-0.01227:1.000;-0.05829:0.226;+0.00000:0.091
hm_N11,11,hm,20370,0.004490737004848574,0.004490737004848312,5.832967831108733e-14,-0.11114508776765551,-0.11114497656569795,1.0005126726815145e-06,-0.04040427782320245,-24.74985456677913,-24.74982980426221,1,5,1,0.6472135954999584,0.19939976232094347,-0.01534:1.000;-0.05522:0.312;-0.00614:0.204;-0.07056:0.029;-0.07977:0.012
hm_N12,12,hm,19755,0.004064976498205006,0.0040649764982050845,1.920369194100515e-14,-0.12194845234287992,-0.12194831798967236,1.101722514702148e-06,-0.03333356365011995,-29.999792716324276,-29.999759664913043,1,5,1,0.6387885621211156,0.4531579804488154,-0.01227:1.000;-0.06750:0.204;-0.06136:0.193;+0.00000:0.095;-0.07670:0.086
hm_N13,13,hm,18877,0.0038006358189997085,0.003800635818999342,9.642079687513568e-14,-0.13587027591735867,-0.1358722747775355,1.4711317522978556e-05,-0.027972533310460013,-35.74935415756789,-35.749880085408684,1,5,1,0.6439505508593787,0.3327573686557495,-0.01841:1.000;-0.05522:0.434;-0.00614:0.387;-0.07363:0.028;-0.09204:0.022
hm_N14,14,hm,19185,0.003491931058085288,0.003491931058084915,1.068078209824565e-13,-0.14665754790144447,-0.14665991220748412,1.6121010875132108e-05,-0.02381010120550976,-41.9989814981801,-41.999658575137225,1,4,1,0.6381715238891352,0.23017527976038127,-0.01227:1.000;-0.00307:0.201;-0.06750:0.194;-0.07977:0.047
hm_N15,15,hm,19452,0.00324221315826482,0.003242213158264404,1.2827656081319336e-13,-0.15805220146028015,-0.15805633061781538,2.612459443469485e-05,-0.020513558990695967,-48.74824502435464,-48.749518585762836,1,5,1,0.6419941724907049,0.1423407139496903,-0.01534:1.000;-0.05522:0.297;-0.00614:0.245;+0.00000:0.076;-0.07977:0.012
hm_N16,16,hm,17711,0.0030800056053419704,0.0030800056053416577,1.0152056411927672e-13,-0.1724795407022656,-0.17247980320432477,1.5219292595198452e-06,-0.017857222907722604,-55.999748962507276,-55.99983419029914,1,5,1,0.6377848155670416,0.3322973984584874,-0.01227:1.000;+0.00000:0.253;-0.07056:0.193;-0.09204:0.037;-0.08590:0.033
hm_N3,3,hm,,0.0033780566167635677,0.0033780566167633907,5.237975991034962e-14,0.003378056616768907,0.0033780566167692467,1.0052292159248199e-13,0.9999999999984194,1.0000000000015807,1.0000000000017335,1,,1,0.6666666666666669,0.6666666666667207,
hm_N4,4,hm,,0.011260188722541177,0.011260188722542539,1.2093562214597679e-13,0.011260188020648536,0.011260188722458542,6.232666460938463e-08,1.0000000623340073,0.9999999376659967,0.9999999999925403,1,,1,0.6666666666666666,0.6666668304426872,
hm_N5,5,hm,,0.00871183022217899,0.008711830222179737,8.562277680422839e-14,0.008089775267210284,0.006537707967869741,0.23740235981300203,1.0768939722578004,0.9285965245988094,0.7504402405851728,1,,1,0.7071067811865476,0.757006161992098,
hm_N6,6,hm,30546,0.008107335880230755,0.008107335880230047,8.729959985060521e-14,-0.04827071952408597,-0.048544872659694725,0.005647416927645446,-0.16795556312736093,-5.953955804617789,-5.987771245307929,1,7,1,0.647213595499958,0.20725924073474353,-0.00307:1.000;-0.02148:0.542;-0.03068:0.252;-0.04602:0.248;-0.05829:0.030
hm_N7,7,hm,28555,0.006681794953416776,0.006681794953417288,7.67175273597674e-14,-0.05836989773703289,-0.058405658516123234,0.0006122827821635057,-0.11447330237787103,-8.735661322139958,-8.741013294077913,1,6,1,0.6666666666666666,0.31625340042841865,-0.01227:1.000;-0.03068:0.377;-0.04602:0.324;-0.00307:0.108;-0.05216:0.043
hm_N8,8,hm,25595,0.005944632037821846,0.005944632037821408,7.368289153935064e-14,-0.07120531504153454,-0.07132232493843618,0.0016405788370280673,-0.08348579083393286,-11.978086210971716,-11.997769497702068,1,5,1,0.6419941724907047,0.14029179128493677,-0.00920:1.000;-0.04295:0.209;-0.05216:0.202;+0.00000:0.062;-0.03068:0.052
hm_N9,9,hm,25289,0.00515315865409322,0.0051531586540936435,8.213846235882828e-14,-0.08104422433958285,-0.08113534210102738,0.0011230341684031714,-0.06358452679491391,-15.727096675979183,-15.744778600319995,1,5,1,0.6532814824381883,0.23633310551240766,-0.01227:1.000;-0.02454:0.385;-0.03682:0.346;-0.00307:0.293;-0.05216:0.286
mp_N10,10,mp,18290,0.004971238124638287,0.004971238124528553,2.207383101206996e-11,-0.09942478710858713,-0.09942461338406777,1.7472989176462637e-06,-0.04999998762088303,-20.000004951648013,-19.999970006163547,1,10,1,0.08177613998669998,0.5546136276811976,-0.00307:1.000;-0.06136:0.693;-0.03988:0.393;-0.01534:0.268;-0.03068:0.084
mp_N11,11,mp,16364,0.004490737004875078,0.004490737004848311,5.960443287020383e-12,-0.11114564290353691,-0.11114565609154362,1.1865516984055339e-07,-0.040404076017380004,-24.74997818462289,-24.749981121483625,1,10,1,0.10589549758159465,0.39939154475239297,-0.00614:1.000;-0.07056:0.627;-0.07670:0.339;+0.00614:0.276;-0.06136:0.269
mp_N12,12,mp,16734,0.004064976498266052,0.0040649764982050845,1.4998296780279923e-11,-0.12194902204296997,-0.12194909914794665,6.322718020875898e-07,-0.03333340792871399,-29.99993286430765,-29.9999518328812,1,7,1,0.11270590524302057,0.4536455915442059,-0.07056:1.000;-0.00614:0.801;-0.07670:0.467;-0.06136:0.219;+0.00307:0.179
mp_N13,13,mp,15312,0.0038006358191480898,0.003800635818999342,3.9137600827699304e-11,-0.13587260986088265,-0.13587267112770715,4.5091352068140843e-07,-0.027972052815055864,-35.74996824908586,-35.74998437063635,1,9,1,0.12044801890847513,0.4994833321956428,-0.00920:1.000;-0.07977:0.625;-0.08590:0.622;-0.07363:0.590;-0.06136:0.221
mp_N14,14,mp,17644,0.0034919310580856107,0.003491931058084915,1.992090056463491e-13,-0.14665061400131404,-0.1466606991567033,6.876522099812369e-05,-0.02381122698916434,-41.99699580601475,-41.999883937323965,1,10,1,0.08331887905805122,0.07662794686240032,-0.00614:1.000;-0.01841:0.309;-0.06750:0.235;+0.00000:0.133;-0.03068:0.066
mp_N15,15,mp,15200,0.0032422131581503395,0.003242213158264406,3.5181619132977354e-11,-0.1580569362717323,-0.15805774146603568,5.094304751561844e-06,-0.020512944478287935,-48.74970539009925,-48.74995373550511,1,8,1,0.06698583097205729,0.28499923183636805,-0.00307:1.000;-0.01227:0.480;-0.06750:0.253;-0.08590:0.160;-0.03375:0.089
mp_N16,16,mp,16765,0.00308000560534117,0.003080005605341658,1.5854667849973033e-13,-0.17248085561855414,-0.1724799987539544,4.967907038130048e-06,-0.017857086772300582,-56.000175882617775,-55.99989768032308,1,7,1,0.13452360863377655,0.3326904561757787,-0.00614:1.000;+0.00000:0.331;-0.07363:0.275;-0.08283:0.131;-0.08897:0.096
mp_N3,3,mp,,0.0077592917456880545,0.0033780566167633907,1.2969691233660985,0.008152438671693275,0.003378056616764728,1.41335169790645,0.951775543265318,1.0506678881128162,1.000000000000396,1,,2,3.172052649598726e-10,6.513246268210796e-10,
mp_N4,4,mp,,0.011260188722354493,0.011260188722542535,1.6699745866244258e-11,0.011261257843657085,0.011257796949163262,0.000307422003563518,0.9999050619995177,1.000094947014562,0.9997875902937147,1,,1,0.3333333334032443,0.3334097200977117,
mp_N5,5,mp,9163,0.008711830246054552,0.008711830222179737,2.7405051189354747e-09,-0.0033347073058387668,-0.032669272262560334,0.8979252650919803,-2.6124722343100206,-0.3827791878002905,-3.7499895463282273,1,4,4,0.3732018428832318,0.00042421947377627005,+0.00920:1.000;+0.00307:0.105;-0.00307:0.093;+0.02761:0.014
mp_N6,6,mp,24415,0.008107335880658926,0.008107335880230045,5.290034796535461e-11,-0.04860954253269106,-0.04864122777911237,0.0006514072088228998,-0.16678486277064947,-5.995747955707036,-5.999656175307267,1,6,1,0.36219754985956926,0.19767181325408656,-0.00614:1.000;-0.05216:0.162;-0.04602:0.106;-0.03682:0.061;-0.02148:0.049
mp_N7,7,mp,23056,0.00668179495337745,0.006681794953417288,5.962159105979892e-12,-0.00937378086331907,-0.058463491897664324,0.8396643690095158,-0.7128174907015651,-1.4028836455959937,-8.74966866018003,1,10,2,0.2260545870370489,0.002603191324160112,-0.00614:1.000;-0.05216:0.149;-0.01534:0.144;-0.04602:0.108;-0.03682:0.090
mp_N8,8,mp,20440,0.005944632037522605,0.005944632037821408,5.0264425914122133e-11,-0.07132988233542259,-0.07133479768708864,6.890538454476163e-05,-0.08333999500473711,-11.999040795996677,-11.999867650888522,1,7,1,0.12955653911059198,0.14157796548947682,-0.00920:1.000;-0.04602:0.453;+0.00000:0.154;-0.05829:0.153;-0.03068:0.130
mp_N9,9,mp,21468,0.005153158654123133,0.005153158654093644,5.7224250886791874e-12,-0.08115827051246109,-0.08115979697073238,1.8808059264049086e-05,-0.06349517580382537,-15.74922799000666,-15.74952420808147,1,6,1,0.14934175682681075,0.2484452361394397,-0.05522:1.000;-0.01227:0.844;-0.03375:0.200;-0.09204:0.015;-0.07977:0.014
ne_N10,10,ne,427,0.005824134707363821,0.005866060986943693,0.007147262817960563,-0.09942476992842238,-0.09942476232162542,7.650807282404796e-08,-0.058578307111565024,-17.071165919756865,-16.949152513572354,1,,1,0.6315158506746968,0.33332535872861563,
ne_N11,11,ne,479,0.0045266832998045224,0.00529906966572101,0.14575886233633684,-0.11114575095552087,-0.11114574083936685,9.101701917840362e-08,-0.04072745256466029,-24.55346300906903,-20.974576265406387,2,,1,0.6513908604150184,0.3999885875141534,
ne_N12,12,ne,521,0.004931123308307064,0.004796672267882,0.028030066036684193,-0.12194939693887406,-0.1219492923433043,8.576972260445318e-07,-0.04043581544547318,-24.730551096427824,-25.42372827092308,1,,1,0.6287381863760478,0.09092714940318856,
ne_N13,13,ne,461,0.003993195063167801,0.004484750266419222,0.10960592542511753,-0.0044435814373312505,-0.13587162396108632,0.9672957361678116,-0.8986433847302356,-1.1127884731496585,-30.296363429299905,1,,1,0.6414213082144847,0.0002733770380857261,
ne_N14,14,ne,606,0.004195136316106102,0.0041204786485401984,0.018118688126767254,-0.14666102521119231,-0.14666109264700858,4.598071311711653e-07,-0.028604302404576083,-34.959775835680624,-35.59321747704423,1,,1,0.6272337549679524,0.38448739211833016,
ne_N15,15,ne,724,0.0034413280477678864,0.0038258115267520007,0.10049723471624572,-0.1580579004136086,-0.15805789105746634,5.919440141357608e-08,-0.021772578521937598,-45.92933257732522,-41.31355921540985,1,,1,0.6359807556354737,0.2856993425139983,
ne_N16,16,ne,687,0.0035971335671320585,0.0036344066143031554,0.010255607345751941,-0.17248032066197352,-0.17248028075545538,2.3136858295204423e-07,-0.02085532745606214,-47.9493789827464,-47.45761799922488,1,,1,0.6262554718688859,0.3330607824969055,
ne_N3,3,ne,18420,0.003795572093567363,0.0038289933280633588,0.008728465064445412,0.0019063333642080683,0.00188445522964124,0.01160979269907804,1.9910327148599873,0.5022519180807743,0.4921542212752734,1,2,2,0.5634626042269154,0.5544206092444209,+0.00307:1.000;-0.01227:0.022
ne_N4,4,ne,5098,0.011307869226041102,0.01194488170938328,0.053329325383086386,-0.015242087292437971,-0.019470229867601264,0.2171593557916325,-0.7418845601055739,-1.347918603209231,-1.630006084723841,1,3,3,0.6187695321919878,0.46817154336366645,+0.00614:1.000;-0.03068:0.102;-0.00920:0.024
ne_N5,5,ne,475,0.007729031821637658,0.00889700161143616,0.13127678748503316,-0.03266903048222387,-0.03266934394366325,9.59497196889217e-06,-0.23658589519034673,-4.226794666670401,-3.671949873727149,4,,1,0.6803446992353455,0.49989846798828674,
ne_N6,6,ne,261,0.008826701676707292,0.00956665633867146,0.0773472607114606,-0.04864401769848893,-0.04864401525826793,5.0164876223178596e-08,-0.18145502971029226,-5.511007336619886,-5.0847457602959345,2,,1,0.6513908604150185,0.5999875784608101,
ne_N7,7,ne,479,0.007074020657875241,0.007281817706663277,0.028536425540822044,-0.058465693741857234,-0.05846570556527027,2.022281766556665e-07,-0.1209943849996729,-8.264846339792573,-8.028998791300532,1,,1,0.648105315422792,0.6666304617450842,
ne_N8,8,ne,398,0.006079336587431367,0.007014665804629262,0.1333390988606519,-0.07133557519849414,-0.07133558410157342,1.248055847557811e-07,-0.08522166633570089,-11.73410522226649,-10.169491475202737,1,,1,0.6359807556354735,0.7142205592241483,
ne_N9,9,ne,351,0.007000380065740367,0.007008295769567355,0.0011294762788637994,-0.006502942270991035,-0.08116223115685431,0.9198772362674034,-1.0764942658292311,-0.9289413160317143,-11.580879835193473,1,,2,0.6594790504947485,0.0001116269088089661,
rb_N10,10,rb,241,0.0018063180777233732,0.007651953741810274,0.7639402773890737,-0.09942473048926719,-0.09942476247902952,3.217484411475261e-07,-0.018167693981512616,-55.042758922381495,-12.993382583558057,3,,1,0.05430738357783091,0.1111112420142076,
rb_N11,11,rb,235,0.008880063418599872,0.007155713377828161,0.24097528083147882,-0.1111457436780902,-0.11114574083490213,2.558071998537248e-08,-0.07989566783878896,-12.51632318810789,-15.532447286008553,1,,1,0.2121121400923527,0.19999427743648882,
rb_N12,12,rb,399,0.007698848760215154,0.005811943248434512,0.3246600028809459,-0.12194929361354788,-0.12194929484800167,1.0122680829996979e-08,-0.06313155683059943,-15.839938854720383,-20.982533661327402,2,,1,0.0739449409098569,0.6363358230183375,
rb_N13,13,rb,373,0.0046663309028981605,0.005649772373734043,0.1740674501167393,-0.1358727429228371,-0.13587273046757406,9.16686004638552e-08,-0.034343392225092535,-29.11768276837148,-24.04923977101279,2,,1,0.09620382585829722,0.1666577085842671,
rb_N14,14,rb,378,0.004103354576385508,0.005067616627760387,0.1902792026714599,-0.14666111797652825,-0.14666110433410728,9.302003440260795e-08,-0.02797847604736118,-35.74176085599616,-28.940844406164874,1,,1,0.09521812375832839,0.2307538494859641,
rb_N15,15,rb,356,0.004515386619598994,0.004955297306738977,0.08877584126823723,-0.15805789377732518,-0.15805789129852155,1.568288437996478e-08,-0.028567928571541973,-35.00428802514415,-31.896752407483213,1,,1,0.08321047330474714,0.14285002384021228,
rb_N16,16,rb,353,0.004441312742411663,0.005042816984692608,0.11927941150884556,-0.17248014118425387,-0.17248031380246195,1.0007994784045652e-06,-0.02574970493366642,-38.83539646672033,-34.20316746096938,1,,1,0.09460561274919464,0.0666547269947479,
rb_N5,5,rb,254,0.0069491446740194834,0.009384878073201207,0.2595380973714545,-0.013919167001834284,-0.03266936040523887,0.5739381846115909,-0.4992500393955843,-2.003004348704003,-3.481063914780863,5,,3,0.4170302795555042,0.00026065647655156314,
rb_N6,6,rb,159,0.00936858546876579,0.012788597461298358,0.26742666683210714,-0.04864402239622823,-0.048644015269241905,1.4651311755496792e-07,-0.1925947939184448,-5.192248345110797,-3.803702119521036,5,,1,0.16647654593545747,0.2000017627583937,
rb_N7,7,rb,351,0.007852186890063938,0.008984782927872088,0.12605713982189537,-0.05846569107371389,-0.05846570570287946,2.5021789094142545e-07,-0.13430418328868898,-7.445784453716412,-6.5071917899663925,5,,1,0.10812462925499325,0.6666349095683024,
rb_N8,8,rb,239,0.007323948319083359,0.007978978024074787,0.08209443653247593,-0.07133558192228659,-0.07133558439372574,3.464524993462475e-08,-0.10266893633898035,-9.740044415170685,-8.94044126684978,4,,1,0.2474977129628237,0.7142539489647854,
rb_N9,9,rb,306,0.005819453197434471,0.007357297946780946,0.20902303542285264,-0.08116214632153244,-0.08116224859450012,1.260105152939215e-06,-0.07170156854132578,-13.946696290523153,-11.031529398644405,2,,1,0.21687929608799042,0.25000266771508767,
