tag,window,all_edges_wave,tri,psd,min_eig,rank
hm_N12,late,True,False,False,-0.7611397943663094,10
mp_N5,late,True,False,False,-0.492218603655459,3
rb_N5,late,True,False,False,-0.49620580873272296,3
mp_N3,late,True,True,True,-4.163336345629451e-17,2
ne_N3,late,True,False,False,-0.017017602069551593,1
ne_N4,late,True,True,True,-2.2204358482528565e-16,3
hm_N12,early,True,True,True,-8.233264108184472e-239,11
hm_N3,late,True,True,True,-6.929116906437821e-53,2
hm_N4,late,True,True,True,-2.220446049250169e-16,3
hm_N5,late,True,True,True,-5.545086200768862e-56,4
