tag,N,method,star_vertex,star_frac,amp_uniformity,n_plus,n_minus,z2_alignment,mu_final_over_r2,star_mu_pred,mu_dev,residual_new_over_r2,landed
hm_N10,10,hm,1,0.9999967279431838,1.1679081379712152e-06,4,5,0.9999999999999728,39.999743047352176,40.0,6.4238161955998406e-06,0.07328019677913043,False
hm_N11,11,hm,2,0.9999966154514497,1.654897176377603e-06,6,4,0.9999999999999089,49.499659608192694,49.5,6.8766021678012486e-06,0.0946882938916072,False
hm_N12,12,hm,7,0.9999957658141925,7.233914566983531e-07,3,8,0.999999999999955,59.999519329586235,60.0,8.011173562749718e-06,0.11919214545553602,False
hm_N13,13,hm,2,0.9999982732255974,5.887323729970601e-07,8,4,0.9999999999999938,71.49976017005729,71.5,3.354264933065863e-06,0.09280050836103143,False
hm_N14,14,hm,5,0.9999958750725897,2.0882971371327373e-06,5,8,0.99999999999995,83.99931714969388,84.0,8.129170310952749e-06,0.17047634990858881,False
hm_N15,15,hm,5,0.9999951561921452,1.3693293271280787e-06,6,8,0.999999999999971,97.49903717197074,97.5,9.875159274449684e-06,0.22117561534691427,False
hm_N16,16,hm,9,0.999998489725196,3.2622681219446855e-07,10,5,0.9999999999999958,111.99966837978997,112.0,2.960894732443161e-06,0.1363200314456119,False
hm_N3,3,hm,2,0.6666666666668181,2.2144357717466405e-13,0,2,0.5000000000000328,-1.0,1.5,1.6666666666666667,6.699124369692756e-13,True
hm_N4,4,hm,2,0.5000000000134088,2.070995656771954e-06,1,2,1.974226239118692e-06,-1.9999999999828801,4.0,1.49999999999572,9.671738960255926e-06,False
hm_N5,5,hm,1,0.4000000000011686,0.25137967458730986,0,4,0.278747752484704,-1.5008804811700256,7.5,1.2001173974893367,1.734629099497724,False
hm_N6,6,hm,4,0.9986580020645887,0.0031070618738311996,2,3,0.9999993227712293,11.975542490597507,12.0,0.0020381257835411226,0.38508872273042555,False
hm_N7,7,hm,3,0.9994003321552154,0.0007638518536053527,4,2,0.9999999975546368,17.482026588144514,17.5,0.0010270521060277815,0.4001429295867122,False
hm_N8,8,hm,6,0.999908632526243,0.00011911931524616298,3,4,0.999999999940398,23.995538995340365,24.0,0.0001858751941514747,0.24550549183746853,False
hm_N9,9,hm,7,0.9998137537138921,6.008027431724511e-05,5,3,0.9999999997307829,31.48955720058586,31.5,0.0003315174417187179,0.3989761110738409,False
