k01,k02,k12,rank,sum_k
1,1,2,2,4
2,1,1,2,4
1,1,3,2,5
2,1,2,2,5
3,1,1,2,5
2,1,3,2,6
3,1,2,2,6
1,2,4,2,7
2,1,4,2,7
2,2,3,2,7
3,1,3,2,7
3,2,2,2,7
4,1,2,2,7
4,2,1,2,7
1,2,5,2,8
2,2,4,2,8
3,1,4,2,8
3,2,3,2,8
4,1,3,2,8
4,2,2,2,8
5,2,1,2,8
2,2,5,2,9
3,1,5,2,9
3,2,4,2,9
4,1,4,2,9
4,2,3,2,9
5,1,3,2,9
5,2,2,2,9
1,3,6,2,10
2,2,6,2,10
2,3,5,2,10
3,2,5,2,10
3,3,4,2,10
4,1,5,2,10
4,2,4,2,10
4,3,3,2,10
5,1,4,2,10
5,2,3,2,10
5,3,2,2,10
6,2,2,2,10
6,3,1,2,10
1,3,7,2,11
2,3,6,2,11
3,2,6,2,11
3,3,5,2,11
4,2,5,2,11
4,3,4,2,11
5,1,5,2,11
5,2,4,2,11
5,3,3,2,11
6,1,4,2,11
6,2,3,2,11
6,3,2,2,11
7,3,1,2,11
2,3,7,2,12
3,2,7,2,12
3,3,6,2,12
4,2,6,2,12
4,3,5,2,12
5,1,6,2,12
5,2,5,2,12
5,3,4,2,12
6,1,5,2,12
6,2,4,2,12
6,3,3,2,12
7,2,3,2,12
7,3,2,2,12
1,4,8,2,13
2,3,8,2,13
2,4,7,2,13
3,3,7,2,13
3,4,6,2,13
4,2,7,2,13
4,3,6,2,13
4,4,5,2,13
5,2,6,2,13
5,3,5,2,13
5,4,4,2,13
6,1,6,2,13
6,2,5,2,13
6,3,4,2,13
6,4,3,2,13
7,1,5,2,13
7,2,4,2,13
7,3,3,2,13
7,4,2,2,13
8,3,2,2,13
8,4,1,2,13
1,4,9,2,14
2,4,8,2,14
3,3,8,2,14
3,4,7,2,14
4,2,8,2,14
4,3,7,2,14
4,4,6,2,14
5,2,7,2,14
5,3,6,2,14
5,4,5,2,14
6,1,7,2,14
6,2,6,2,14
6,3,5,2,14
6,4,4,2,14
7,1,6,2,14
7,2,5,2,14
7,3,4,2,14
7,4,3,2,14
8,2,4,2,14
8,3,3,2,14
8,4,2,2,14
9,4,1,2,14
2,4,9,2,15
3,3,9,2,15
3,4,8,2,15
4,3,8,2,15
4,4,7,2,15
5,2,8,2,15
5,3,7,2,15
5,4,6,2,15
6,2,7,2,15
6,3,6,2,15
6,4,5,2,15
7,1,7,2,15
7,2,6,2,15
7,3,5,2,15
7,4,4,2,15
8,1,6,2,15
8,2,5,2,15
8,3,4,2,15
8,4,3,2,15
9,3,3,2,15
9,4,2,2,15
1,5,10,2,16
2,4,10,2,16
2,5,9,2,16
3,4,9,2,16
3,5,8,2,16
4,3,9,2,16
4,4,8,2,16
4,5,7,2,16
5,2,9,2,16
5,3,8,2,16
5,4,7,2,16
5,5,6,2,16
6,2,8,2,16
6,3,7,2,16
6,4,6,2,16
6,5,5,2,16
7,1,8,2,16
7,2,7,2,16
7,3,6,2,16
7,4,5,2,16
7,5,4,2,16
8,1,7,2,16
8,2,6,2,16
8,3,5,2,16
8,4,4,2,16
8,5,3,2,16
9,2,5,2,16
9,3,4,2,16
9,4,3,2,16
9,5,2,2,16
10,4,2,2,16
10,5,1,2,16
1,5,11,2,17
2,5,10,2,17
3,4,10,2,17
3,5,9,2,17
4,3,10,2,17
4,4,9,2,17
4,5,8,2,17
5,3,9,2,17
5,4,8,2,17
5,5,7,2,17
6,2,9,2,17
6,3,8,2,17
6,4,7,2,17
6,5,6,2,17
7,2,8,2,17
7,3,7,2,17
7,4,6,2,17
7,5,5,2,17
8,1,8,2,17
8,2,7,2,17
8,3,6,2,17
8,4,5,2,17
8,5,4,2,17
9,1,7,2,17
9,2,6,2,17
9,3,5,2,17
9,4,4,2,17
9,5,3,2,17
10,3,4,2,17
10,4,3,2,17
10,5,2,2,17
11,5,1,2,17
2,5,11,2,18
3,4,11,2,18
3,5,10,2,18
4,4,10,2,18
4,5,9,2,18
5,3,10,2,18
5,4,9,2,18
5,5,8,2,18
6,2,10,2,18
6,3,9,2,18
6,4,8,2,18
6,5,7,2,18
7,2,9,2,18
7,3,8,2,18
7,4,7,2,18
7,5,6,2,18
