tag,N,method,step,n_lines,angle_entropy,max_line_weight
hm_N10,10,hm,0,9,2.1972245773362196,0.11111111111111119
hm_N10,10,hm,25,9,2.197224577336219,0.11111111111111169
hm_N10,10,hm,50,9,2.1972245773362196,0.11111111111111185
hm_N10,10,hm,75,9,2.197224577336219,0.11111111111111252
hm_N10,10,hm,100,9,2.197224577336219,0.11111111111111266
hm_N10,10,hm,125,9,2.1972245773362196,0.11111111111111253
hm_N10,10,hm,150,9,2.1972245773362196,0.11111111111111256
hm_N10,10,hm,200,9,2.1972245773362196,0.11111111111111256
hm_N10,10,hm,300,9,2.1972245773362196,0.11111111111111319
hm_N10,10,hm,500,9,2.1972245773362196,0.11111111111111306
hm_N10,10,hm,750,9,2.1972245773362196,0.11111111111111399
hm_N10,10,hm,1000,9,2.1972245773362196,0.11111111111111677
hm_N10,10,hm,1500,9,2.197224577336219,0.11111111111111645
hm_N10,10,hm,2000,9,2.197224577336219,0.11111111111112258
hm_N10,10,hm,3000,9,2.1972245773362196,0.11111111111116195
hm_N10,10,hm,4000,9,2.197224577336219,0.11111111111133948
hm_N10,10,hm,5000,9,2.197224577336219,0.11111111111236045
hm_N10,10,hm,7500,9,2.1972245773362196,0.11111111118696246
hm_N10,10,hm,10000,9,2.1972245773362187,0.11111111569419689
hm_N10,10,hm,15000,9,2.197224570446257,0.11112950036904412
hm_N10,10,hm,20000,9,2.117978537417856,0.17341931657354206
hm_N10,10,hm,25000,1,0.23188635609721897,0.9667312947322556
hm_N10,10,hm,30000,1,0.015343388818497285,0.9984750407733343
hm_N10,10,hm,35000,1,0.0009427902841379687,0.9999289840925049
hm_N10,10,hm,40000,1,4.730877395970024e-05,0.9999970785539529
hm_N11,11,hm,0,5,1.6094379124340998,0.19999999999999996
hm_N11,11,hm,25,5,1.6094379124341003,0.2000000000000004
hm_N11,11,hm,50,5,1.6094379124341003,0.2000000000000008
hm_N11,11,hm,75,5,1.6094379124341005,0.20000000000000098
hm_N11,11,hm,100,5,1.6094379124341005,0.20000000000000162
hm_N11,11,hm,125,5,1.6094379124341003,0.20000000000000132
hm_N11,11,hm,150,5,1.6094379124341003,0.2000000000000014
hm_N11,11,hm,200,5,1.6094379124341003,0.20000000000000132
hm_N11,11,hm,300,5,1.6094379124341005,0.20000000000000126
hm_N11,11,hm,500,5,1.6094379124341005,0.2000000000000023
hm_N11,11,hm,750,5,1.6094379124341005,0.20000000000000392
hm_N11,11,hm,1000,5,1.6094379124341003,0.20000000000000331
hm_N11,11,hm,1500,5,1.6094379124341005,0.20000000000000953
hm_N11,11,hm,2000,5,1.6094379124341003,0.2000000000000176
hm_N11,11,hm,3000,5,1.6094379124341005,0.20000000000011214
hm_N11,11,hm,4000,5,1.6094379124341005,0.200000000000521
hm_N11,11,hm,5000,5,1.6094379124341003,0.20000000000323895
hm_N11,11,hm,7500,5,1.6094379124341003,0.20000000022371733
hm_N11,11,hm,10000,5,1.609437912434099,0.20000001517261293
hm_N11,11,hm,15000,5,1.6094378746263232,0.20006551071372003
hm_N11,11,hm,20000,5,1.311906972181367,0.39262319873139095
hm_N11,11,hm,25000,1,0.19371868410409093,0.9709460011008206
hm_N11,11,hm,30000,1,0.013863694137007766,0.9985463974933398
hm_N11,11,hm,35000,1,0.0009418376516591312,0.9999250472520622
hm_N11,11,hm,40000,1,5.190659729205385e-05,0.9999967756626787
hm_N12,12,hm,0,11,2.397895272798371,0.09090909090909097
hm_N12,12,hm,25,11,2.3978952727983707,0.09090909090909138
hm_N12,12,hm,50,11,2.3978952727983707,0.09090909090909191
hm_N12,12,hm,75,11,2.3978952727983707,0.09090909090909216
hm_N12,12,hm,100,11,2.397895272798371,0.09090909090909219
hm_N12,12,hm,125,11,2.3978952727983707,0.09090909090909248
hm_N12,12,hm,150,11,2.3978952727983707,0.09090909090909263
hm_N12,12,hm,200,11,2.3978952727983702,0.09090909090909319
hm_N12,12,hm,300,11,2.3978952727983707,0.09090909090909274
hm_N12,12,hm,500,11,2.3978952727983707,0.09090909090909335
hm_N12,12,hm,750,11,2.3978952727983702,0.09090909090909297
hm_N12,12,hm,1000,11,2.3978952727983707,0.09090909090909502
hm_N12,12,hm,1500,11,2.3978952727983707,0.0909090909090977
hm_N12,12,hm,2000,11,2.3978952727983707,0.09090909090910604
hm_N12,12,hm,3000,11,2.3978952727983707,0.0909090909091611
hm_N12,12,hm,4000,11,2.3978952727983702,0.09090909090949562
hm_N12,12,hm,5000,11,2.3978952727983707,0.0909090909113358
hm_N12,12,hm,7500,11,2.3978952727983702,0.09090909106635305
hm_N12,12,hm,10000,11,2.3978952727983662,0.09090910276162538
hm_N12,12,hm,15000,11,2.39789515435941,0.09097111705420317
hm_N12,12,hm,20000,11,1.9908066743609005,0.4167800718502127
hm_N12,12,hm,25000,1,0.1844603726093605,0.9729388261645812
hm_N12,12,hm,30000,1,0.014008760582402422,0.9986294453469179
hm_N12,12,hm,35000,1,0.0009872925530411804,0.9999240409927168
hm_N12,12,hm,40000,1,6.067286538297723e-05,0.9999961556176068
hm_N13,13,hm,0,6,1.7917594692280556,0.16666666666666677
hm_N13,13,hm,25,6,1.791759469228055,0.16666666666666718
hm_N13,13,hm,50,6,1.7917594692280552,0.1666666666666678
hm_N13,13,hm,75,6,1.7917594692280552,0.166666666666668
hm_N13,13,hm,100,6,1.7917594692280552,0.1666666666666671
hm_N13,13,hm,125,6,1.791759469228055,0.16666666666666713
hm_N13,13,hm,150,6,1.7917594692280547,0.16666666666666946
hm_N13,13,hm,200,6,1.7917594692280552,0.16666666666666757
hm_N13,13,hm,300,6,1.791759469228055,0.16666666666666827
hm_N13,13,hm,500,6,1.791759469228055,0.16666666666666843
hm_N13,13,hm,750,6,1.7917594692280552,0.16666666666667257
hm_N13,13,hm,1000,6,1.791759469228055,0.16666666666667262
hm_N13,13,hm,1500,6,1.7917594692280547,0.16666666666668103
hm_N13,13,hm,2000,6,1.7917594692280554,0.16666666666670682
hm_N13,13,hm,3000,6,1.791759469228055,0.16666666666686697
hm_N13,13,hm,4000,6,1.7917594692280552,0.16666666666791846
hm_N13,13,hm,5000,6,1.791759469228055,0.16666666667496674
hm_N13,13,hm,7500,6,1.791759469228055,0.16666666743787417
hm_N13,13,hm,10000,6,1.7917594692280094,0.16666673772468582
hm_N13,13,hm,15000,6,1.7917562231521509,0.16725445585758197
hm_N13,13,hm,20000,9,1.0419425464417753,0.7804913404123887
hm_N13,13,hm,25000,1,0.1140417298111919,0.9845663172342328
hm_N13,13,hm,30000,1,0.007912311583017521,0.9992250332700238
hm_N13,13,hm,35000,1,0.0004244777862950967,0.9999694667018985
hm_N13,13,hm,40000,1,1.8643154379701626e-05,0.9999989105910079
hm_N14,14,hm,0,13,2.5649493574615367,0.07692307692307694
